iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.352159999999991,0.336779692256023,0.336779692256028
2,0.400000013886706,0.252623487088631,0.252623487088632
3,0.39999605097828,0.220720208054689,0.220720208054692
4,0.400000632236721,0.149136049591891,0.149136049591886
5,0.40000462126923,0.0972305303078756,0.0972305303078779
6,0.400006285114278,0.0837603479626196,0.0837603479626194
7,0.400003246501165,0.0769241025593377,0.0769241025593359
8,0.40000328916341,0.0844342799877912,0.0844342799877736
9,0.399998759089555,0.0833448452558825,0.083344845255863
10,0.399997172933704,0.0759213973761563,0.0759213973761862
11,0.399998447476369,0.0550581315854414,0.0550581315854532
12,0.39907629190117,0.0185747534636008,0.0185747534636093
13,0.39853940090643,-0.0336409279233059,-0.0336409279235634
14,0.399978819943976,-0.0987118763984273,-0.0987118764017741
15,0.399987435215059,-0.172966814477791,-0.172966814438671
16,0.399990281105644,-0.247956416976101,-0.24795641699759
17,0.39998693187543,-0.319929677236401,-0.319929677252241
18,0.399987138100969,-0.381659988828748,-0.381659988891137
19,0.399982489812432,-0.429129465760396,-0.429129465971751
20,0.399976132135259,-0.468436751339081,-0.468436751727581
21,0.399978324745197,-0.500513755419104,-0.500513755772161
22,0.399977554563026,-0.524688279804225,-0.524688280229374
23,0.399979178790384,-0.541853904183045,-0.541853904725017
24,0.399983691008624,-0.553208041370035,-0.553208041991967
25,0.399984583633939,-0.559922681707157,-0.559922683365613
26,0.3999851968316,-0.5628129706491,-0.562812972002068
27,0.399985272651468,-0.559237977492097,-0.559237977680983
28,0.39998552896136,-0.560466217178591,-0.560466217908261
29,0.399984667113857,-0.561786012933966,-0.561786010072261
30,0.399983850978455,-0.559250402388961,-0.559250396558354
31,0.39998388875592,-0.562679715793981,-0.562679713013319
32,0.399983063879871,-0.561197943713455,-0.561197939153722
33,0.399981541204915,-0.564988223344554,-0.564988219920476
34,0.399980425987867,-0.564598359084772,-0.564598350320981
35,0.399979334088689,-0.568384594473531,-0.568384586200647
36,0.39997884592729,-0.568045042038701,-0.568045027626849
37,0.399978141961626,-0.57130159007812,-0.571301577946305
38,0.399977798528909,-0.570265467932561,-0.570265447487842
39,0.399977041711405,-0.572572524652137,-0.572572506437199
