iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.369419999999989,0.29166735434759,0.291667354347589
2,0.399978651673273,0.266615658481304,0.266615658481302
3,0.399960388476031,0.278423830003731,0.278423830003728
4,0.399997734326065,0.243712456216699,0.243712456216717
5,0.399957499307485,0.211146355472907,0.211146355472912
6,0.399952325113452,0.15357544124976,0.153575441249779
7,0.3999530771042,0.0891841976405781,0.089184197640609
8,0.399967431206669,0.0620773870807388,0.0620773870807804
9,0.399955934753773,0.0387121064570969,0.0387121064571773
10,0.399961368252095,0.0271223772461116,0.0271223772461862
11,0.399973604081376,-0.0159045761130487,-0.0159045761132638
12,0.399976741362429,-0.0831687337003537,-0.0831687337029982
13,0.399976613252192,-0.17169752323729,-0.171697523241728
14,0.39998189007442,-0.270596151945792,-0.270596151967843
15,0.399984986040286,-0.3456971141885,-0.345697114234503
16,0.39998629548434,-0.431419766882673,-0.431419766868177
17,0.399993493347032,-0.490318982431654,-0.49031898250443
18,0.399992696609884,-0.528804109437386,-0.528804109544834
19,0.399997189249554,-0.556888474404383,-0.556888474530436
20,0.399993580557759,-0.575963026260725,-0.575963026434083
21,0.399997303013678,-0.586662965025661,-0.586662965389444
22,0.399998017704518,-0.594222885793376,-0.594222885894004
23,0.399999811260027,-0.600579726336962,-0.600579726389516
24,0.399999385212579,-0.610453736456749,-0.61045373625821
25,0.399996625092302,-0.607057139126012,-0.607057139006807
26,0.399995152420205,-0.614743613315627,-0.614743613977112
27,0.399995462984806,-0.609324276843882,-0.609324277492335
28,0.399995109755335,-0.617924970124033,-0.617924971862372
29,0.399996041699892,-0.616029302802392,-0.616029302902128
30,0.399996083136619,-0.623402645411718,-0.623402646484969
31,0.399996609399696,-0.616138959614063,-0.616138960365733
32,0.399994213110575,-0.623447766115434,-0.623447768162928
33,0.399993127321841,-0.616100928098651,-0.616100928905317
34,0.399988610897224,-0.623354545312965,-0.623354546384643
35,0.399987085978169,-0.615465548409621,-0.615465549124914
36,0.399985651093135,-0.623220566736118,-0.623220567903835
37,0.399987110188713,-0.614639131398257,-0.614639132777749
38,0.399987595950898,-0.622570237458107,-0.622570238465439
