iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.370699999999988,0.254790586535693,0.279958133861217
2,0.399998784377203,0.252296895787195,0.267361111917307
3,0.399999085460921,0.279242609465386,0.299685662962826
4,0.399996771520311,0.234617248449907,0.271350832499131
5,0.399996941655394,0.182101614136425,0.243361061582502
6,0.399997416669428,0.078716012911649,0.114537265421032
7,0.399996163950114,0.0329508749186309,0.0487979310906216
8,0.399994510946836,0.00154276473960149,0.00252567140306591
9,0.399993531487295,-0.0328658615741148,-0.0528694760906866
10,0.400009953767123,-0.0854380751820909,-0.13376592132859
11,0.400036622159473,-0.150767988664309,-0.226199814880406
12,0.400055683533535,-0.213974790288901,-0.314669637939676
13,0.400076184926911,-0.26983528905287,-0.395096524233932
14,0.400120643241977,-0.318621503499395,-0.472360728732026
15,0.400205681620852,-0.358979961699016,-0.544501964990064
16,0.400301265975092,-0.391373938678449,-0.601398846190391
17,0.400404486463786,-0.412815079292776,-0.625043479908529
18,0.400510811890271,-0.4325423447323,-0.663604224186774
19,0.400607895724466,-0.441888496399823,-0.679129617226905
20,0.400661700239482,-0.448687385295568,-0.703972764038982
21,0.400680295784064,-0.451577032068542,-0.715385302390185
22,0.400665416359012,-0.453129759404244,-0.718405879635593
23,0.400645759682282,-0.458489943431443,-0.724090731326961
24,0.400630560292715,-0.461401051677899,-0.720858831545219
25,0.400622116213846,-0.466867616447251,-0.723736688608772
26,0.400608874824389,-0.468577924610184,-0.722147283955853
27,0.400584025444402,-0.471908269010271,-0.72561250673258
28,0.400554158510458,-0.472016383389287,-0.723745732906714
29,0.400523713096667,-0.473376094206161,-0.725813749930326
30,0.400486144823076,-0.472670567069338,-0.724404738232788
31,0.400445158475722,-0.473910484264713,-0.727268931824815
32,0.4004017878854,-0.47386438931268,-0.726726655771697
