iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.364539999999989,0.273544933193844,0.273544933193843
2,0.399996997880917,0.239880616381581,0.239880616381578
3,0.400006128049392,0.248280094678541,0.248280094678549
4,0.399989049874299,0.187119223215729,0.187119223215756
5,0.399986104031599,0.168405643619828,0.168405643619875
6,0.400000756151258,0.127783965231914,0.127783965231984
7,0.399997397606793,0.0988865812878948,0.0988865812879399
8,0.400011340186767,0.0661981200093164,0.0661981200093583
9,0.399983991986349,0.0519923215092337,0.0519923215092803
10,0.399951268541666,0.0484345031692243,0.0484345031692946
11,0.399901542535461,0.0294023484726541,0.0294023484727182
12,0.399919698535569,-0.0317084284955861,-0.0317084284955151
13,0.399947044039525,-0.115674146375485,-0.115674146375419
14,0.399967216099151,-0.211910621899782,-0.211910621899951
15,0.399981072869949,-0.292996983801405,-0.292996983799648
16,0.399985505381843,-0.358117693620699,-0.358117693617405
17,0.399979802059007,-0.415412646920804,-0.415412646917541
18,0.399979054727461,-0.459441045592891,-0.459441045589501
19,0.39998135705287,-0.490182810702105,-0.490182810696076
20,0.399980392146069,-0.513105522111525,-0.513105522102481
21,0.399977394671332,-0.528314746813072,-0.528314746800284
22,0.399974134483736,-0.53281392436447,-0.532813924331216
23,0.399974557189116,-0.537204608568273,-0.537204608536736
24,0.399975163438705,-0.537858305289039,-0.537858305246864
25,0.399970752381704,-0.537371452619081,-0.537371452500943
26,0.399964613800051,-0.541524294858101,-0.54152429456394
27,0.399960485153019,-0.545086378971701,-0.545086378901679
28,0.399956727863826,-0.549528469852807,-0.549528469644262
29,0.399950564000715,-0.55417017476462,-0.554170174580499
30,0.39994485627359,-0.555922843378468,-0.555922843047285
31,0.399938778369597,-0.558817604474307,-0.558817604108212
32,0.399934065248231,-0.562405964668623,-0.562405964151847
33,0.399922481734005,-0.566146437306213,-0.566146436672828
34,0.399919906625782,-0.567385218836776,-0.567385218131306
35,0.399912719883324,-0.570133580206981,-0.570133579307474
36,0.399912700771655,-0.570003060961482,-0.570003059725176
37,0.399907873381532,-0.570702525495863,-0.570702523917454
