iterations,volume_fractions,poisson_ratios_v12,poisson_ratios_v21
1,0.376879999999988,0.28145429773731,0.281454297737305
2,0.399998772418927,0.256738569748105,0.256738569748121
3,0.400000191731693,0.277918037068779,0.27791803706879
4,0.399997417131452,0.217040344909813,0.217040344909842
5,0.399999146850119,0.192935020412041,0.192935020412082
6,0.399995872319628,0.14777203085786,0.147772030857919
7,0.399994541040243,0.105023510472296,0.105023510472397
8,0.39999528812825,0.0490154211663531,0.0490154211664119
9,0.399997505408267,0.0113573108657094,0.0113573108657206
10,0.400000035896905,-0.0204908043233609,-0.0204908043233818
11,0.400001937277772,-0.0453460820704469,-0.0453460820705035
12,0.40000797741159,-0.0749781155470863,-0.0749781155471978
13,0.400011181729957,-0.108839464835511,-0.108839464835748
14,0.400024956232777,-0.141171102419691,-0.141171102419029
15,0.400054701122146,-0.167309235115343,-0.167309235113892
16,0.400099319069091,-0.196321374684958,-0.196321374684373
17,0.400162878475812,-0.208887630696046,-0.208887630697374
18,0.400248390496908,-0.231764762345947,-0.231764762346908
19,0.40030985948314,-0.247806316923827,-0.247806316922227
20,0.400346825029389,-0.26106618736142,-0.261066187359998
21,0.400369884273674,-0.273657021064156,-0.273657021077844
22,0.400386330523871,-0.278420134105291,-0.27842013412305
23,0.400394640005074,-0.288870768935521,-0.288870768950102
24,0.400404998149091,-0.293075058712268,-0.29307505872548
25,0.400419271130988,-0.297035349981804,-0.29703534999459
26,0.400426677297216,-0.306042140087944,-0.306042140099996
