seed,objective,batch_id,volfrac,penal,rmin,move,void_size_frac
circle,auxetic,1,0.613838,4.933098,2.443186,0.231317,0.400221
circle,auxetic,1,0.456512,2.360669,1.136855,0.090492,0.332027
circle,auxetic,1,0.547052,3.794045,1.822036,0.135583,0.534673
circle,auxetic,1,0.639513,3.471982,1.640818,0.192411,0.314621
circle,auxetic,1,0.671054,4.18031,1.316155,0.162539,0.258434
circle,auxetic,1,0.515621,3.107509,2.247405,0.109224,0.478502
circle,auxetic,1,0.488058,4.546658,1.468475,0.06685,0.38818
circle,auxetic,1,0.58241,2.724956,2.024774,0.211193,0.456427
circle,auxetic,1,0.478989,3.674466,1.555234,0.219353,0.510425
circle,auxetic,1,0.63433,3.247278,2.124004,0.052368,0.282766
circle,auxetic,1,0.661958,4.786053,1.215435,0.122927,0.452593
circle,auxetic,1,0.567575,2.107767,2.159116,0.155159,0.373259
circle,auxetic,1,0.536144,4.421586,1.92272,0.175682,0.354556
circle,auxetic,1,0.6935,2.494026,1.729053,0.146183,0.433947
circle,auxetic,1,0.602903,4.038759,2.356372,0.079108,0.30143
circle,auxetic,1,0.510534,2.860832,1.037588,0.24883,0.52911
circle,auxetic,1,0.651875,3.901334,2.071143,0.240419,0.39533
circle,auxetic,1,0.559216,2.828517,1.51471,0.081635,0.467733
circle,auxetic,1,0.459876,4.266218,2.199891,0.142289,0.267397
circle,auxetic,1,0.617431,2.444499,1.268775,0.185851,0.487996
circle,auxetic,1,0.585869,4.653945,1.688254,0.159102,0.544149
circle,auxetic,1,0.491319,2.081488,1.869401,0.112808,0.323602
circle,auxetic,1,0.527659,3.513427,1.09047,0.06112,0.411547
circle,auxetic,1,0.683321,3.191336,2.396872,0.217167,0.339159
circle,auxetic,1,0.564084,4.514704,1.177286,0.202685,0.289886
circle,auxetic,1,0.658726,2.587172,2.496136,0.069279,0.521611
circle,auxetic,1,0.622328,4.130411,1.587567,0.105427,0.344714
circle,auxetic,1,0.466697,2.952514,1.781168,0.172805,0.424746
circle,auxetic,1,0.498139,3.767406,2.300632,0.196451,0.443411
circle,auxetic,1,0.590768,3.340235,1.357045,0.12556,0.363399
circle,auxetic,1,0.690173,4.877529,1.984364,0.099148,0.502908
circle,auxetic,1,0.532526,2.199259,1.4155,0.229035,0.27124
circle,auxetic,1,0.577578,3.836425,1.206452,0.22734,0.338042
circle,auxetic,1,0.484965,3.408865,2.137702,0.094716,0.417497
circle,auxetic,1,0.518387,4.998916,1.522834,0.130772,0.317944
circle,auxetic,1,0.675988,2.32099,2.079133,0.197369,0.545559
circle,auxetic,1,0.64456,4.589216,2.315537,0.171008,0.489224
circle,auxetic,1,0.549934,2.662028,1.009207,0.100899,0.261629
circle,auxetic,1,0.453534,4.246306,1.905325,0.07459,0.473795
circle,auxetic,1,0.60912,3.068019,1.724106,0.203696,0.394396
circle,auxetic,1,0.505458,4.720058,1.818554,0.214202,0.27481
circle,auxetic,1,0.600054,2.147257,1.624888,0.057761,0.494796
circle,auxetic,1,0.696511,3.631907,2.41627,0.118506,0.371804
circle,auxetic,1,0.540834,3.310206,1.097485,0.159725,0.440133
circle,auxetic,1,0.572379,3.97294,1.422139,0.182982,0.421285
circle,auxetic,1,0.665084,2.900511,1.990909,0.139032,0.353009
circle,auxetic,1,0.631596,4.379206,1.293277,0.08724,0.51361
circle,auxetic,1,0.474026,2.557143,2.236958,0.240943,0.293639
circle,auxetic,1,0.680342,4.305692,1.584457,0.244789,0.464538
circle,auxetic,1,0.522939,2.378521,1.765604,0.077023,0.38461
circle,auxetic,1,0.496364,3.964246,1.150736,0.147491,0.48178
circle,auxetic,1,0.588749,2.785976,2.457138,0.180503,0.250029
circle,auxetic,1,0.620195,3.553078,1.937682,0.151021,0.306326
circle,auxetic,1,0.464807,3.125547,1.381249,0.12074,0.538134
circle,auxetic,1,0.554382,4.717034,2.277368,0.053769,0.328274
circle,auxetic,1,0.648781,2.039137,1.346252,0.224273,0.408223
