Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.983200
1,0.242886,0.242886,337.192600,0.885462
2,0.284414,0.284414,341.691421,0.787077
3,0.284414,0.284414,349.075782,0.688692
4,0.284414,0.284414,354.882031,0.680543
5,0.246584,0.246584,333.010785,0.680544
6,0.226453,0.226453,277.420801,0.680543
7,0.242476,0.242476,201.441783,0.680544
8,0.217554,0.217554,190.075772,0.680543
9,0.208800,0.208800,184.999243,0.680543
10,0.178388,0.178388,175.601452,0.680542
11,0.147527,0.147527,167.178250,0.680543
12,0.128170,0.128170,157.015108,0.680542
13,0.117661,0.117661,150.890585,0.680542
14,0.111773,0.111773,146.414620,0.680543
15,0.107905,0.107905,143.720120,0.680543
16,0.107388,0.107388,142.445159,0.680542
17,0.108370,0.108370,142.541275,0.680542
18,0.107692,0.107692,142.437777,0.680543
19,0.106429,0.106429,142.151238,0.680542
20,0.105331,0.105331,142.090940,0.680543
21,0.104232,0.104232,142.147288,0.680543
22,0.103761,0.103761,142.240773,0.680543
23,0.103321,0.103321,142.343072,0.680543
24,0.102735,0.102735,142.455485,0.680542
25,0.101961,0.101961,142.575823,0.680543
26,0.101023,0.101023,142.726221,0.680543
27,0.100077,0.100077,142.827226,0.680543
28,0.099200,0.099200,142.924713,0.680542
29,0.098653,0.098653,143.038697,0.680543
30,0.098337,0.098337,143.167393,0.680544
31,0.098211,0.098211,143.310709,0.680543
32,0.098105,0.098105,143.422794,0.680542
33,0.098187,0.098187,143.560584,0.680543
34,0.098235,0.098235,143.732185,0.680543
35,0.098282,0.098282,143.877246,0.680543
36,0.098279,0.098279,143.976709,0.680543
37,0.098415,0.098415,144.099896,0.680543
38,0.098585,0.098585,144.209120,0.680543
39,0.098607,0.098607,144.302300,0.680543
40,0.098542,0.098542,144.420486,0.680543
41,0.098325,0.098325,144.517329,0.680543
42,0.098017,0.098017,144.602174,0.680543
43,0.097718,0.097718,144.690448,0.680543
44,0.097447,0.097447,144.784468,0.680544
45,0.097333,0.097333,144.896457,0.680543
46,0.097553,0.097553,145.024244,0.680544
47,0.097601,0.097601,145.122167,0.680542
48,0.097674,0.097674,145.208406,0.680544
49,0.097863,0.097863,145.294835,0.680543
50,0.097962,0.097962,145.365484,0.680543
51,0.098028,0.098028,145.428991,0.680544
52,0.098082,0.098082,145.488012,0.680542
53,0.098128,0.098128,145.541644,0.680543
54,0.098175,0.098175,145.591074,0.680542
55,0.098213,0.098213,145.634416,0.680542
56,0.098263,0.098263,145.672269,0.680543
57,0.098327,0.098327,145.703361,0.680543
58,0.098362,0.098362,145.726987,0.680543
59,0.098402,0.098402,145.750223,0.680543
60,0.098440,0.098440,145.771824,0.680544
61,0.098480,0.098480,145.791765,0.680543
62,0.098517,0.098517,145.808932,0.680542
63,0.098578,0.098578,145.829324,0.680543
64,0.098747,0.098747,145.872144,0.680542
65,0.098885,0.098885,145.914243,0.680543
66,0.098959,0.098959,145.943076,0.680543
67,0.098968,0.098968,145.960604,0.680543
68,0.098933,0.098933,145.971862,0.680543
69,0.098871,0.098871,145.979207,0.680542
70,0.098797,0.098797,145.985590,0.680543
71,0.098807,0.098807,146.004279,0.680542
72,0.099002,0.099002,146.047355,0.680544
73,0.099104,0.099104,146.073957,0.680543
74,0.099159,0.099159,146.091781,0.680543
75,0.099202,0.099202,146.106081,0.680543
76,0.099240,0.099240,146.116930,0.680543
77,0.099385,0.099385,146.149463,0.680544
78,0.099513,0.099513,146.181162,0.680544
79,0.099533,0.099533,146.192072,0.680543
80,0.099517,0.099517,146.193640,0.680543
81,0.099505,0.099505,146.193558,0.680543
82,0.099496,0.099496,146.191086,0.680543
83,0.099447,0.099447,146.178345,0.680543
84,0.099447,0.099447,146.180225,0.680542
85,0.099492,0.099492,146.203356,0.680543
86,0.099461,0.099461,146.212843,0.680542
87,0.099370,0.099370,146.212218,0.680542
88,0.099241,0.099241,146.205780,0.680543
89,0.099077,0.099077,146.194727,0.680543
90,0.098892,0.098892,146.180277,0.680543
91,0.098723,0.098723,146.167119,0.680543
92,0.098561,0.098561,146.153635,0.680543
93,0.098405,0.098405,146.139227,0.680544
94,0.098432,0.098433,146.152269,0.680544
95,0.098503,0.098503,146.167058,0.680543
96,0.098501,0.098501,146.166261,0.680543
97,0.098471,0.098471,146.159178,0.680543
98,0.098422,0.098422,146.147766,0.680542
99,0.098355,0.098355,146.131932,0.680543
100,0.098276,0.098277,146.112718,0.680543
101,0.098179,0.098179,146.088188,0.680543
102,0.098255,0.098255,146.100873,0.680542
103,0.098373,0.098374,146.122505,0.680543
104,0.098441,0.098441,146.132773,0.680543
105,0.098479,0.098480,146.136382,0.680543
106,0.098508,0.098509,146.137556,0.680543
107,0.098530,0.098531,146.136871,0.680544
