Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.813600
1,0.117839,0.117839,6.578069,0.732257
2,0.105751,0.105751,3.927702,0.650895
3,0.105751,0.105751,2.157154,0.569533
4,0.105751,0.105751,1.122814,0.513771
5,0.181636,0.181636,0.600778,0.460569
6,0.254908,0.254908,0.375688,0.379207
7,0.269432,0.269432,0.140967,0.337526
8,0.288412,0.288412,0.049480,0.306084
9,0.299430,0.299430,-0.051287,0.304151
10,0.299033,0.299033,-0.200417,0.328939
11,0.294564,0.294564,-0.394552,0.360664
12,0.289423,0.289423,-0.559237,0.402154
13,0.282346,0.282346,-0.731813,0.430852
14,0.272420,0.272420,-0.848757,0.462903
15,0.263096,0.263096,-0.960984,0.484066
16,0.255582,0.255582,-1.034935,0.503153
17,0.251289,0.251289,-1.115444,0.515988
18,0.249293,0.249293,-1.161966,0.527574
19,0.248410,0.248410,-1.222602,0.532200
20,0.251197,0.251197,-1.279224,0.535945
21,0.252065,0.252065,-1.326788,0.541046
22,0.253453,0.253453,-1.371240,0.539665
23,0.254897,0.254897,-1.409199,0.539224
24,0.255719,0.255719,-1.434686,0.539526
25,0.256940,0.256940,-1.455841,0.538497
26,0.257738,0.257738,-1.472359,0.538531
27,0.258135,0.258135,-1.479998,0.539304
28,0.258401,0.258401,-1.485992,0.539388
29,0.257718,0.257718,-1.486715,0.539579
30,0.258343,0.258343,-1.492408,0.539965
31,0.258156,0.258156,-1.493095,0.540148
32,0.257969,0.257969,-1.494674,0.540318
33,0.257987,0.257987,-1.497396,0.540477
34,0.257600,0.257600,-1.495190,0.540731
35,0.257490,0.257490,-1.496659,0.540797
36,0.257212,0.257212,-1.494774,0.540811
37,0.257430,0.257430,-1.498328,0.540797
38,0.257212,0.257212,-1.496135,0.540811
39,0.257430,0.257430,-1.499418,0.540797
40,0.257212,0.257212,-1.497006,0.540811
41,0.257430,0.257430,-1.500116,0.540797
42,0.257212,0.257212,-1.497564,0.540811
43,0.257430,0.257430,-1.500562,0.540797
44,0.257212,0.257212,-1.497921,0.540811
45,0.257430,0.257430,-1.500848,0.540797
46,0.257212,0.257212,-1.498149,0.540811
47,0.257430,0.257430,-1.501031,0.540797
48,0.257212,0.257212,-1.498295,0.540811
49,0.257430,0.257430,-1.501148,0.540797
50,0.257212,0.257212,-1.498389,0.540811
51,0.257430,0.257430,-1.501223,0.540797
52,0.257212,0.257212,-1.498449,0.540811
53,0.257430,0.257430,-1.501271,0.540797
54,0.257212,0.257212,-1.498487,0.540811
55,0.257430,0.257430,-1.501301,0.540797
56,0.257212,0.257212,-1.498512,0.540811
57,0.257430,0.257430,-1.501321,0.540797
58,0.257212,0.257212,-1.498527,0.540811
59,0.257430,0.257430,-1.501334,0.540797
60,0.257212,0.257212,-1.498537,0.540811
61,0.257430,0.257430,-1.501342,0.540797
62,0.257212,0.257212,-1.498544,0.540811
63,0.257430,0.257430,-1.501347,0.540797
64,0.257212,0.257212,-1.498548,0.540811
65,0.257430,0.257430,-1.501350,0.540797
66,0.257212,0.257212,-1.498551,0.540811
67,0.257430,0.257430,-1.501352,0.540797
68,0.257212,0.257212,-1.498552,0.540811
69,0.257430,0.257430,-1.501354,0.540797
70,0.257212,0.257212,-1.498553,0.540811
71,0.257430,0.257430,-1.501354,0.540797
72,0.257212,0.257212,-1.498554,0.540811
73,0.257430,0.257430,-1.501355,0.540797
74,0.257212,0.257212,-1.498555,0.540811
75,0.257430,0.257430,-1.501355,0.540797
76,0.257212,0.257212,-1.498555,0.540811
77,0.257430,0.257430,-1.501356,0.540797
78,0.257212,0.257212,-1.498555,0.540811
79,0.257430,0.257430,-1.501356,0.540797
80,0.257212,0.257212,-1.498555,0.540811
81,0.257430,0.257430,-1.501356,0.540797
82,0.257212,0.257212,-1.498555,0.540811
83,0.257430,0.257430,-1.501356,0.540797
84,0.257212,0.257212,-1.498555,0.540811
85,0.257430,0.257430,-1.501356,0.540797
86,0.257212,0.257212,-1.498555,0.540811
87,0.257430,0.257430,-1.501356,0.540797
88,0.257212,0.257212,-1.498555,0.540811
89,0.257430,0.257430,-1.501356,0.540797
90,0.257212,0.257212,-1.498555,0.540811
91,0.257430,0.257430,-1.501356,0.540797
92,0.257212,0.257212,-1.498555,0.540811
93,0.257430,0.257430,-1.501356,0.540797
94,0.257212,0.257212,-1.498555,0.540811
95,0.257430,0.257430,-1.501356,0.540797
96,0.257212,0.257212,-1.498555,0.540811
97,0.257430,0.257430,-1.501356,0.540797
98,0.257212,0.257212,-1.498555,0.540811
99,0.257430,0.257430,-1.501356,0.540797
100,0.257212,0.257212,-1.498555,0.540811
101,0.257430,0.257430,-1.501356,0.540797
102,0.257212,0.257212,-1.498555,0.540811
103,0.257430,0.257430,-1.501356,0.540797
104,0.257212,0.257212,-1.498555,0.540811
105,0.257430,0.257430,-1.501356,0.540797
106,0.257212,0.257212,-1.498555,0.540811
107,0.257430,0.257430,-1.501356,0.540797
108,0.257212,0.257212,-1.498555,0.540811
109,0.257430,0.257430,-1.501356,0.540797
110,0.257212,0.257212,-1.498555,0.540811
111,0.257430,0.257430,-1.501356,0.540797
112,0.257212,0.257212,-1.498555,0.540811
113,0.257430,0.257430,-1.501356,0.540797
114,0.257212,0.257212,-1.498555,0.540811
115,0.257430,0.257430,-1.501356,0.540797
116,0.257212,0.257212,-1.498555,0.540811
117,0.257430,0.257430,-1.501356,0.540797
118,0.257212,0.257212,-1.498555,0.540811
119,0.257430,0.257430,-1.501356,0.540797
120,0.257212,0.257212,-1.498555,0.540811
121,0.257430,0.257430,-1.501356,0.540797
122,0.257212,0.257212,-1.498555,0.540811
123,0.257430,0.257430,-1.501356,0.540797
124,0.257212,0.257212,-1.498555,0.540811
125,0.257430,0.257430,-1.501356,0.540797
126,0.257212,0.257212,-1.498555,0.540811
127,0.257430,0.257430,-1.501356,0.540797
128,0.257212,0.257212,-1.498555,0.540811
129,0.257430,0.257430,-1.501356,0.540797
130,0.257212,0.257212,-1.498555,0.540811
131,0.257430,0.257430,-1.501356,0.540797
132,0.257212,0.257212,-1.498555,0.540811
133,0.257430,0.257430,-1.501356,0.540797
134,0.257212,0.257212,-1.498555,0.540811
135,0.257430,0.257430,-1.501356,0.540797
136,0.257212,0.257212,-1.498555,0.540811
137,0.257430,0.257430,-1.501356,0.540797
138,0.257212,0.257212,-1.498555,0.540811
139,0.257430,0.257430,-1.501356,0.540797
140,0.257212,0.257212,-1.498555,0.540811
141,0.257430,0.257430,-1.501356,0.540797
142,0.257212,0.257212,-1.498555,0.540811
143,0.257430,0.257430,-1.501356,0.540797
144,0.257212,0.257212,-1.498555,0.540811
145,0.257430,0.257430,-1.501356,0.540797
146,0.257212,0.257212,-1.498555,0.540811
147,0.257430,0.257430,-1.501356,0.540797
148,0.257212,0.257212,-1.498555,0.540811
149,0.257430,0.257430,-1.501356,0.540797
