Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.946800
1,0.320317,0.320317,2.177890,0.852120
2,0.327729,0.327729,1.226260,0.757440
3,0.327729,0.327729,0.629713,0.662760
4,0.327729,0.327729,0.297774,0.578960
5,0.349032,0.349032,0.138218,0.506603
6,0.395972,0.395972,0.065543,0.447268
7,0.392147,0.392147,0.017801,0.419407
8,0.343336,0.343336,-0.009560,0.418688
9,0.268911,0.268911,-0.000946,0.412403
10,0.255095,0.255095,-0.111465,0.406919
11,0.264371,0.264371,-0.320481,0.422684
12,0.269099,0.269099,-0.515748,0.454896
13,0.268761,0.268761,-0.715042,0.482571
14,0.261472,0.261472,-0.840265,0.511154
15,0.258804,0.258804,-0.986713,0.533121
16,0.255080,0.255080,-1.075970,0.551309
17,0.252426,0.252426,-1.166250,0.570039
18,0.251874,0.251874,-1.251287,0.586933
19,0.251727,0.251727,-1.342258,0.517811
20,0.253014,0.253014,-1.001608,0.576027
21,0.257399,0.257399,-1.442778,0.508044
22,0.258790,0.258790,-1.066180,0.569142
23,0.262250,0.262250,-1.514347,0.502475
24,0.263240,0.263240,-1.110602,0.566156
25,0.264436,0.264436,-1.555702,0.500268
26,0.265101,0.265101,-1.135104,0.565353
27,0.265024,0.265024,-1.575546,0.499792
28,0.265486,0.265486,-1.146212,0.565112
29,0.265199,0.265199,-1.587039,0.499619
30,0.265590,0.265590,-1.152574,0.565112
31,0.265199,0.265199,-1.593786,0.499619
32,0.265590,0.265590,-1.156478,0.565112
33,0.265199,0.265199,-1.598103,0.499619
34,0.265590,0.265590,-1.158977,0.565112
35,0.265199,0.265199,-1.600866,0.499619
36,0.265590,0.265590,-1.160576,0.565112
37,0.265199,0.265199,-1.602635,0.499619
38,0.265590,0.265590,-1.161600,0.565112
39,0.265199,0.265199,-1.603767,0.499619
40,0.265590,0.265590,-1.162255,0.565112
41,0.265199,0.265199,-1.604491,0.499619
42,0.265590,0.265590,-1.162674,0.565112
43,0.265199,0.265199,-1.604955,0.499619
44,0.265590,0.265590,-1.162942,0.565112
45,0.265199,0.265199,-1.605251,0.499619
46,0.265590,0.265590,-1.163114,0.565112
47,0.265199,0.265199,-1.605441,0.499619
48,0.265590,0.265590,-1.163224,0.565112
49,0.265199,0.265199,-1.605563,0.499619
50,0.265590,0.265590,-1.163294,0.565112
51,0.265199,0.265199,-1.605640,0.499619
52,0.265590,0.265590,-1.163339,0.565112
53,0.265199,0.265199,-1.605690,0.499619
54,0.265590,0.265590,-1.163368,0.565112
55,0.265199,0.265199,-1.605722,0.499619
56,0.265590,0.265590,-1.163387,0.565112
57,0.265199,0.265199,-1.605743,0.499619
58,0.265590,0.265590,-1.163398,0.565112
59,0.265199,0.265199,-1.605756,0.499619
60,0.265590,0.265590,-1.163406,0.565112
61,0.265199,0.265199,-1.605764,0.499619
62,0.265590,0.265590,-1.163411,0.565112
63,0.265199,0.265199,-1.605769,0.499619
64,0.265590,0.265590,-1.163414,0.565112
65,0.265199,0.265199,-1.605773,0.499619
66,0.265590,0.265590,-1.163416,0.565112
67,0.265199,0.265199,-1.605775,0.499619
68,0.265590,0.265590,-1.163417,0.565112
69,0.265199,0.265199,-1.605776,0.499619
70,0.265590,0.265590,-1.163418,0.565112
71,0.265199,0.265199,-1.605777,0.499619
72,0.265590,0.265590,-1.163418,0.565112
73,0.265199,0.265199,-1.605778,0.499619
74,0.265590,0.265590,-1.163419,0.565112
75,0.265199,0.265199,-1.605778,0.499619
76,0.265590,0.265590,-1.163419,0.565112
77,0.265199,0.265199,-1.605778,0.499619
78,0.265590,0.265590,-1.163419,0.565112
79,0.265199,0.265199,-1.605778,0.499619
80,0.265590,0.265590,-1.163419,0.565112
81,0.265199,0.265199,-1.605779,0.499619
82,0.265590,0.265590,-1.163419,0.565112
83,0.265199,0.265199,-1.605779,0.499619
84,0.265590,0.265590,-1.163419,0.565112
85,0.265199,0.265199,-1.605779,0.499619
86,0.265590,0.265590,-1.163419,0.565112
87,0.265199,0.265199,-1.605779,0.499619
88,0.265590,0.265590,-1.163419,0.565112
89,0.265199,0.265199,-1.605779,0.499619
90,0.265590,0.265590,-1.163419,0.565112
91,0.265199,0.265199,-1.605779,0.499619
92,0.265590,0.265590,-1.163419,0.565112
93,0.265199,0.265199,-1.605779,0.499619
94,0.265590,0.265590,-1.163419,0.565112
95,0.265199,0.265199,-1.605779,0.499619
96,0.265590,0.265590,-1.163419,0.565112
97,0.265199,0.265199,-1.605779,0.499619
98,0.265590,0.265590,-1.163419,0.565112
99,0.265199,0.265199,-1.605779,0.499619
100,0.265590,0.265590,-1.163419,0.565112
101,0.265199,0.265199,-1.605779,0.499619
