Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.980800
1,0.247588,0.247588,344.840060,0.882720
2,0.349447,0.349447,354.273814,0.784640
3,0.349447,0.349447,361.650535,0.692083
4,0.336493,0.336493,371.521170,0.692083
5,0.318526,0.318526,351.603609,0.692084
6,0.362585,0.362585,303.727629,0.692082
7,0.371997,0.371997,247.162270,0.692083
8,0.372565,0.372565,232.825076,0.692082
9,0.372378,0.372378,221.400098,0.692083
10,0.371973,0.371973,210.893803,0.692083
11,0.366945,0.366945,202.243850,0.692083
12,0.359684,0.359684,197.216474,0.692083
13,0.341381,0.341381,196.828075,0.692083
14,0.326390,0.326390,198.311013,0.692083
15,0.308986,0.308986,199.999901,0.692083
16,0.289442,0.289442,201.588600,0.692083
17,0.275428,0.275428,202.724650,0.692083
18,0.259770,0.259770,203.457483,0.692082
19,0.244996,0.244996,203.714955,0.692083
20,0.229731,0.229731,203.436075,0.692084
21,0.212542,0.212542,202.652679,0.692083
22,0.196570,0.196570,201.732368,0.692082
23,0.184891,0.184891,200.857126,0.692082
24,0.171868,0.171868,199.430699,0.692082
25,0.157804,0.157804,197.382336,0.692084
26,0.145210,0.145210,195.037475,0.692083
27,0.134772,0.134772,192.563443,0.692082
28,0.124334,0.124334,189.588393,0.692084
29,0.115195,0.115195,186.431604,0.692083
30,0.109290,0.109290,183.939717,0.692084
31,0.103397,0.103397,181.154220,0.692083
32,0.097918,0.097918,178.130005,0.692084
33,0.093321,0.093321,175.236111,0.692083
34,0.089609,0.089609,172.613754,0.692083
35,0.086659,0.086659,170.198993,0.692083
36,0.084214,0.084214,167.581839,0.692084
37,0.082410,0.082410,164.967009,0.692082
38,0.082043,0.082043,162.547964,0.692083
39,0.083034,0.083034,160.638444,0.692083
40,0.084555,0.084555,158.921200,0.692082
41,0.086508,0.086508,157.204380,0.692082
42,0.088852,0.088852,155.599538,0.692082
43,0.090871,0.090871,154.352507,0.692083
44,0.092228,0.092228,153.540135,0.692083
45,0.093320,0.093320,152.983048,0.692082
46,0.094614,0.094614,152.573024,0.692084
47,0.096279,0.096279,152.271280,0.692082
48,0.098045,0.098045,152.037556,0.692083
49,0.099434,0.099434,151.863793,0.692083
50,0.099737,0.099737,151.773893,0.692083
51,0.099871,0.099871,151.723531,0.692084
52,0.099915,0.099915,151.701536,0.692084
