Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.916800
1,0.327813,0.327813,2.764493,0.825120
2,0.390598,0.390598,1.547153,0.733440
3,0.390598,0.390598,0.773850,0.641760
4,0.390598,0.390598,0.350797,0.562895
5,0.431486,0.431486,0.132848,0.525534
6,0.484023,0.484023,0.034118,0.512099
7,0.434772,0.434772,-0.025845,0.512991
8,0.376094,0.376094,-0.118652,0.520973
9,0.328072,0.328072,-0.270310,0.517780
10,0.305266,0.305266,-0.497427,0.528382
11,0.300127,0.300127,-0.824657,0.554194
12,0.300232,0.300232,-1.140277,0.598864
13,0.302015,0.302015,-1.478604,0.621124
14,0.294988,0.294988,-1.662873,0.651545
15,0.284608,0.284608,-1.781129,0.674146
16,0.267805,0.267805,-1.775543,0.698088
17,0.248659,0.248659,-1.716403,0.713391
18,0.228667,0.228667,-1.590367,0.724232
19,0.214607,0.214607,-1.491820,0.724495
20,0.209217,0.209217,-1.440603,0.720652
21,0.214746,0.214746,-1.477853,0.715009
22,0.224349,0.224349,-1.549886,0.700309
23,0.236459,0.236459,-1.638061,0.686839
24,0.247023,0.247023,-1.727070,0.677041
25,0.251870,0.251870,-1.780677,0.672569
26,0.253954,0.253954,-1.824851,0.668729
27,0.252746,0.252746,-1.839384,0.667682
28,0.250406,0.250406,-1.846890,0.671761
29,0.247615,0.247615,-1.852751,0.674995
30,0.245562,0.245562,-1.857364,0.677915
31,0.244662,0.244662,-1.871469,0.680700
32,0.243782,0.243782,-1.880730,0.683859
33,0.242940,0.242940,-1.890424,0.686298
34,0.242131,0.242131,-1.891203,0.688057
35,0.242981,0.242981,-1.906152,0.689818
36,0.242031,0.242031,-1.903960,0.690819
37,0.243005,0.243005,-1.914454,0.691940
38,0.241925,0.241925,-1.910192,0.692421
39,0.243450,0.243450,-1.923349,0.692898
40,0.241991,0.241991,-1.914849,0.692778
41,0.243376,0.243376,-1.924965,0.693058
42,0.241706,0.241706,-1.912537,0.693492
43,0.242776,0.242776,-1.919601,0.692892
44,0.241949,0.241949,-1.913469,0.693132
45,0.243076,0.243076,-1.921178,0.693132
46,0.241609,0.241609,-1.910471,0.692852
47,0.243253,0.243253,-1.922217,0.692972
48,0.241850,0.241850,-1.913374,0.692972
49,0.243323,0.243323,-1.924326,0.692972
50,0.241850,0.241850,-1.913501,0.692972
51,0.243323,0.243323,-1.924427,0.692972
52,0.241850,0.241850,-1.913582,0.692972
53,0.243323,0.243323,-1.924492,0.692972
54,0.241850,0.241850,-1.913634,0.692972
55,0.243323,0.243323,-1.924534,0.692972
56,0.241850,0.241850,-1.913668,0.692972
57,0.243323,0.243323,-1.924561,0.692972
58,0.241850,0.241850,-1.913689,0.692972
59,0.243323,0.243323,-1.924578,0.692972
60,0.241850,0.241850,-1.913703,0.692972
61,0.243323,0.243323,-1.924589,0.692972
62,0.241850,0.241850,-1.913711,0.692972
63,0.243323,0.243323,-1.924596,0.692972
64,0.241850,0.241850,-1.913717,0.692972
65,0.243323,0.243323,-1.924600,0.692972
66,0.241850,0.241850,-1.913721,0.692972
67,0.243323,0.243323,-1.924603,0.692972
68,0.241850,0.241850,-1.913723,0.692972
69,0.243323,0.243323,-1.924605,0.692972
70,0.241850,0.241850,-1.913724,0.692972
71,0.243323,0.243323,-1.924606,0.692972
72,0.241850,0.241850,-1.913725,0.692972
73,0.243323,0.243323,-1.924607,0.692972
74,0.241850,0.241850,-1.913726,0.692972
75,0.243323,0.243323,-1.924607,0.692972
76,0.241850,0.241850,-1.913726,0.692972
77,0.243323,0.243323,-1.924607,0.692972
78,0.241850,0.241850,-1.913726,0.692972
79,0.243323,0.243323,-1.924608,0.692972
80,0.241850,0.241850,-1.913727,0.692972
81,0.243323,0.243323,-1.924608,0.692972
82,0.241850,0.241850,-1.913727,0.692972
83,0.243323,0.243323,-1.924608,0.692972
84,0.241850,0.241850,-1.913727,0.692972
85,0.243323,0.243323,-1.924608,0.692972
86,0.241850,0.241850,-1.913727,0.692972
87,0.243323,0.243323,-1.924608,0.692972
88,0.241850,0.241850,-1.913727,0.692972
89,0.243323,0.243323,-1.924608,0.692972
90,0.241850,0.241850,-1.913727,0.692972
91,0.243323,0.243323,-1.924608,0.692972
92,0.241850,0.241850,-1.913727,0.692972
93,0.243323,0.243323,-1.924608,0.692972
94,0.241850,0.241850,-1.913727,0.692972
95,0.243323,0.243323,-1.924608,0.692972
96,0.241850,0.241850,-1.913727,0.692972
97,0.243323,0.243323,-1.924608,0.692972
98,0.241850,0.241850,-1.913727,0.692972
99,0.243323,0.243323,-1.924608,0.692972
100,0.241850,0.241850,-1.913727,0.692972
101,0.243323,0.243323,-1.924608,0.692972
102,0.241850,0.241850,-1.913727,0.692972
103,0.243323,0.243323,-1.924608,0.692972
104,0.241850,0.241850,-1.913727,0.692972
105,0.243323,0.243323,-1.924608,0.692972
106,0.241850,0.241850,-1.913727,0.692972
107,0.243323,0.243323,-1.924608,0.692972
108,0.241850,0.241850,-1.913727,0.692972
109,0.243323,0.243323,-1.924608,0.692972
110,0.241850,0.241850,-1.913727,0.692972
111,0.243323,0.243323,-1.924608,0.692972
112,0.241850,0.241850,-1.913727,0.692972
113,0.243323,0.243323,-1.924608,0.692972
114,0.241850,0.241850,-1.913727,0.692972
115,0.243323,0.243323,-1.924608,0.692972
116,0.241850,0.241850,-1.913727,0.692972
117,0.243323,0.243323,-1.924608,0.692972
118,0.241850,0.241850,-1.913727,0.692972
119,0.243323,0.243323,-1.924608,0.692972
120,0.241850,0.241850,-1.913727,0.692972
121,0.243323,0.243323,-1.924608,0.692972
122,0.241850,0.241850,-1.913727,0.692972
123,0.243323,0.243323,-1.924608,0.692972
124,0.241850,0.241850,-1.913727,0.692972
125,0.243323,0.243323,-1.924608,0.692972
126,0.241850,0.241850,-1.913727,0.692972
127,0.243323,0.243323,-1.924608,0.692972
128,0.241850,0.241850,-1.913727,0.692972
129,0.243323,0.243323,-1.924608,0.692972
130,0.241850,0.241850,-1.913727,0.692972
131,0.243323,0.243323,-1.924608,0.692972
132,0.241850,0.241850,-1.913727,0.692972
133,0.243323,0.243323,-1.924608,0.692972
134,0.241850,0.241850,-1.913727,0.692972
135,0.243323,0.243323,-1.924608,0.692972
136,0.241850,0.241850,-1.913727,0.692972
137,0.243323,0.243323,-1.924608,0.692972
138,0.241850,0.241850,-1.913727,0.692972
139,0.243323,0.243323,-1.924608,0.692972
140,0.241850,0.241850,-1.913727,0.692972
141,0.243323,0.243323,-1.924608,0.692972
142,0.241850,0.241850,-1.913727,0.692972
143,0.243323,0.243323,-1.924608,0.692972
144,0.241850,0.241850,-1.913727,0.692972
145,0.243323,0.243323,-1.924608,0.692972
146,0.241850,0.241850,-1.913727,0.692972
147,0.243323,0.243323,-1.924608,0.692972
