Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.921200
1,0.352167,0.352167,214.780178,0.829080
2,0.419333,0.419333,239.668271,0.736960
3,0.419333,0.419333,260.566505,0.644840
4,0.419333,0.419333,277.460020,0.629054
5,0.198245,0.198245,278.035871,0.629055
6,0.161072,0.161072,252.746593,0.629056
7,0.193652,0.193652,214.604681,0.629055
8,0.188336,0.188336,194.392351,0.629055
9,0.186745,0.186745,179.830385,0.629055
10,0.184186,0.184186,167.694887,0.629055
11,0.179903,0.179903,158.683237,0.629055
12,0.176448,0.176448,152.765550,0.629055
13,0.175630,0.175630,149.584237,0.629055
14,0.175143,0.175143,148.918321,0.629055
15,0.175006,0.175006,148.482214,0.629055
16,0.175127,0.175127,148.079096,0.629056
17,0.175342,0.175342,147.744847,0.629055
18,0.175510,0.175510,147.524050,0.629056
19,0.175643,0.175643,147.351715,0.629055
20,0.175683,0.175683,147.252821,0.629055
21,0.175654,0.175654,147.211744,0.629056
22,0.175620,0.175620,147.184665,0.629055
23,0.175587,0.175587,147.163805,0.629055
24,0.175565,0.175565,147.142362,0.629056
25,0.175548,0.175548,147.122906,0.629056
26,0.175536,0.175536,147.104402,0.629056
27,0.175529,0.175529,147.085921,0.629055
28,0.175527,0.175527,147.069685,0.629055
29,0.175529,0.175529,147.055165,0.629056
30,0.175539,0.175539,147.041276,0.629056
31,0.175559,0.175559,147.028789,0.629054
32,0.175580,0.175580,147.017699,0.629055
33,0.175601,0.175601,147.007421,0.629054
34,0.175625,0.175625,146.997325,0.629056
35,0.175642,0.175642,146.987527,0.629054
36,0.175663,0.175663,146.978356,0.629055
37,0.175687,0.175687,146.969045,0.629055
38,0.175713,0.175713,146.959311,0.629056
39,0.175742,0.175742,146.948793,0.629055
40,0.175775,0.175775,146.937443,0.629055
41,0.175812,0.175812,146.924071,0.629055
42,0.175837,0.175837,146.914510,0.629056
43,0.175855,0.175855,146.907439,0.629055
44,0.175873,0.175873,146.900907,0.629055
45,0.175892,0.175892,146.894618,0.629055
46,0.175913,0.175913,146.888449,0.629055
47,0.175940,0.175940,146.882563,0.629055
48,0.175967,0.175967,146.876240,0.629054
49,0.175995,0.175995,146.869763,0.629054
50,0.176024,0.176024,146.862766,0.629055
51,0.176055,0.176055,146.855878,0.629056
52,0.176087,0.176087,146.848554,0.629055
53,0.176122,0.176122,146.840961,0.629055
54,0.176158,0.176158,146.832638,0.629055
55,0.176197,0.176197,146.823013,0.629055
56,0.176240,0.176240,146.811158,0.629054
57,0.176288,0.176288,146.796251,0.629055
58,0.176343,0.176343,146.776778,0.629055
59,0.176400,0.176400,146.755419,0.629055
60,0.176446,0.176446,146.740436,0.629055
61,0.176474,0.176474,146.737794,0.629055
62,0.176503,0.176503,146.735198,0.629056
63,0.176533,0.176533,146.732325,0.629055
64,0.176565,0.176565,146.729371,0.629056
65,0.176599,0.176599,146.725968,0.629055
66,0.176635,0.176635,146.722556,0.629055
67,0.176672,0.176672,146.718440,0.629055
68,0.176713,0.176713,146.713994,0.629055
69,0.176755,0.176755,146.709005,0.629056
70,0.176801,0.176801,146.703188,0.629055
71,0.176851,0.176851,146.696773,0.629055
72,0.176884,0.176884,146.692828,0.629055
73,0.176914,0.176914,146.689253,0.629055
74,0.176947,0.176947,146.685025,0.629055
75,0.176984,0.176984,146.680042,0.629056
76,0.177004,0.177004,146.676685,0.629056
77,0.177009,0.177009,146.675736,0.629055
78,0.177015,0.177015,146.674777,0.629055
79,0.177020,0.177020,146.673453,0.629055
80,0.177025,0.177025,146.672050,0.629055
81,0.177030,0.177030,146.670533,0.629055
82,0.177036,0.177036,146.668861,0.629054
83,0.177041,0.177041,146.666980,0.629054
84,0.177046,0.177046,146.664826,0.629055
85,0.177051,0.177051,146.662321,0.629056
86,0.177056,0.177056,146.659368,0.629054
