Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.956400
1,0.382779,0.382779,1.607075,0.860760
2,0.387900,0.387900,0.811151,0.765120
3,0.387900,0.387900,0.406215,0.669480
4,0.387900,0.387900,0.184516,0.573840
5,0.387900,0.387900,0.072056,0.499707
6,0.498667,0.498667,0.005769,0.496751
7,0.453969,0.453969,-0.020191,0.521053
8,0.349459,0.349459,-0.014579,0.531749
9,0.300805,0.300805,-0.049806,0.539116
10,0.266285,0.266285,-0.111353,0.538922
11,0.262480,0.262480,-0.259410,0.542791
12,0.269674,0.269674,-0.433013,0.560898
13,0.266581,0.266581,-0.616865,0.568795
14,0.277252,0.277252,-0.830543,0.586637
15,0.277274,0.277274,-1.020187,0.599886
16,0.276751,0.276751,-1.179049,0.608990
17,0.275182,0.275182,-1.341666,0.618414
18,0.269457,0.269457,-1.431768,0.543515
19,0.268741,0.268741,-1.071345,0.603073
20,0.269829,0.269829,-1.517999,0.530635
21,0.270672,0.270672,-1.126163,0.593924
22,0.272348,0.272348,-1.587986,0.524144
23,0.273248,0.273248,-1.168932,0.589547
24,0.271920,0.271920,-1.621105,0.521899
25,0.273021,0.273021,-1.189036,0.588501
26,0.272039,0.272039,-1.644456,0.521249
27,0.273298,0.273298,-1.202281,0.588014
28,0.272239,0.272239,-1.659011,0.521169
29,0.273330,0.273330,-1.210207,0.588014
30,0.272239,0.272239,-1.667620,0.521169
31,0.273330,0.273330,-1.215197,0.588014
32,0.272239,0.272239,-1.673130,0.521169
33,0.273330,0.273330,-1.218390,0.588014
34,0.272239,0.272239,-1.676656,0.521169
35,0.273330,0.273330,-1.220434,0.588014
36,0.272239,0.272239,-1.678913,0.521169
37,0.273330,0.273330,-1.221742,0.588014
38,0.272239,0.272239,-1.680358,0.521169
39,0.273330,0.273330,-1.222579,0.588014
40,0.272239,0.272239,-1.681282,0.521169
41,0.273330,0.273330,-1.223114,0.588014
42,0.272239,0.272239,-1.681874,0.521169
43,0.273330,0.273330,-1.223457,0.588014
44,0.272239,0.272239,-1.682252,0.521169
45,0.273330,0.273330,-1.223677,0.588014
46,0.272239,0.272239,-1.682495,0.521169
47,0.273330,0.273330,-1.223817,0.588014
48,0.272239,0.272239,-1.682650,0.521169
49,0.273330,0.273330,-1.223907,0.588014
50,0.272239,0.272239,-1.682749,0.521169
51,0.273330,0.273330,-1.223965,0.588014
52,0.272239,0.272239,-1.682812,0.521169
53,0.273330,0.273330,-1.224001,0.588014
54,0.272239,0.272239,-1.682853,0.521169
55,0.273330,0.273330,-1.224025,0.588014
56,0.272239,0.272239,-1.682879,0.521169
57,0.273330,0.273330,-1.224040,0.588014
58,0.272239,0.272239,-1.682896,0.521169
59,0.273330,0.273330,-1.224050,0.588014
60,0.272239,0.272239,-1.682906,0.521169
61,0.273330,0.273330,-1.224056,0.588014
62,0.272239,0.272239,-1.682913,0.521169
63,0.273330,0.273330,-1.224060,0.588014
64,0.272239,0.272239,-1.682918,0.521169
65,0.273330,0.273330,-1.224062,0.588014
66,0.272239,0.272239,-1.682920,0.521169
67,0.273330,0.273330,-1.224064,0.588014
68,0.272239,0.272239,-1.682922,0.521169
69,0.273330,0.273330,-1.224065,0.588014
70,0.272239,0.272239,-1.682923,0.521169
71,0.273330,0.273330,-1.224066,0.588014
72,0.272239,0.272239,-1.682924,0.521169
73,0.273330,0.273330,-1.224066,0.588014
74,0.272239,0.272239,-1.682925,0.521169
75,0.273330,0.273330,-1.224066,0.588014
76,0.272239,0.272239,-1.682925,0.521169
77,0.273330,0.273330,-1.224067,0.588014
78,0.272239,0.272239,-1.682925,0.521169
79,0.273330,0.273330,-1.224067,0.588014
80,0.272239,0.272239,-1.682925,0.521169
81,0.273330,0.273330,-1.224067,0.588014
82,0.272239,0.272239,-1.682925,0.521169
83,0.273330,0.273330,-1.224067,0.588014
84,0.272239,0.272239,-1.682925,0.521169
85,0.273330,0.273330,-1.224067,0.588014
86,0.272239,0.272239,-1.682925,0.521169
87,0.273330,0.273330,-1.224067,0.588014
88,0.272239,0.272239,-1.682925,0.521169
89,0.273330,0.273330,-1.224067,0.588014
90,0.272239,0.272239,-1.682925,0.521169
91,0.273330,0.273330,-1.224067,0.588014
92,0.272239,0.272239,-1.682925,0.521169
93,0.273330,0.273330,-1.224067,0.588014
94,0.272239,0.272239,-1.682925,0.521169
95,0.273330,0.273330,-1.224067,0.588014
96,0.272239,0.272239,-1.682925,0.521169
97,0.273330,0.273330,-1.224067,0.588014
98,0.272239,0.272239,-1.682925,0.521169
99,0.273330,0.273330,-1.224067,0.588014
100,0.272239,0.272239,-1.682925,0.521169
101,0.273330,0.273330,-1.224067,0.588014
102,0.272239,0.272239,-1.682925,0.521169
103,0.273330,0.273330,-1.224067,0.588014
104,0.272239,0.272239,-1.682925,0.521169
105,0.273330,0.273330,-1.224067,0.588014
106,0.272239,0.272239,-1.682925,0.521169
107,0.273330,0.273330,-1.224067,0.588014
108,0.272239,0.272239,-1.682925,0.521169
109,0.273330,0.273330,-1.224067,0.588014
110,0.272239,0.272239,-1.682925,0.521169
111,0.273330,0.273330,-1.224067,0.588014
112,0.272239,0.272239,-1.682925,0.521169
113,0.273330,0.273330,-1.224067,0.588014
114,0.272239,0.272239,-1.682925,0.521169
115,0.273330,0.273330,-1.224067,0.588014
116,0.272239,0.272239,-1.682925,0.521169
117,0.273330,0.273330,-1.224067,0.588014
118,0.272239,0.272239,-1.682925,0.521169
119,0.273330,0.273330,-1.224067,0.588014
120,0.272239,0.272239,-1.682925,0.521169
121,0.273330,0.273330,-1.224067,0.588014
122,0.272239,0.272239,-1.682925,0.521169
123,0.273330,0.273330,-1.224067,0.588014
124,0.272239,0.272239,-1.682925,0.521169
125,0.273330,0.273330,-1.224067,0.588014
126,0.272239,0.272239,-1.682925,0.521169
127,0.273330,0.273330,-1.224067,0.588014
128,0.272239,0.272239,-1.682925,0.521169
129,0.273330,0.273330,-1.224067,0.588014
130,0.272239,0.272239,-1.682925,0.521169
131,0.273330,0.273330,-1.224067,0.588014
132,0.272239,0.272239,-1.682925,0.521169
133,0.273330,0.273330,-1.224067,0.588014
134,0.272239,0.272239,-1.682925,0.521169
135,0.273330,0.273330,-1.224067,0.588014
136,0.272239,0.272239,-1.682925,0.521169
137,0.273330,0.273330,-1.224067,0.588014
138,0.272239,0.272239,-1.682925,0.521169
139,0.273330,0.273330,-1.224067,0.588014
140,0.272239,0.272239,-1.682925,0.521169
141,0.273330,0.273330,-1.224067,0.588014
142,0.272239,0.272239,-1.682925,0.521169
143,0.273330,0.273330,-1.224067,0.588014
144,0.272239,0.272239,-1.682925,0.521169
145,0.273330,0.273330,-1.224067,0.588014
146,0.272239,0.272239,-1.682925,0.521169
147,0.273330,0.273330,-1.224067,0.588014
148,0.272239,0.272239,-1.682925,0.521169
149,0.273330,0.273330,-1.224067,0.588014
