Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.970000
1,0.303708,0.331251,278.269620,0.873000
2,0.329151,0.339946,288.445565,0.776000
3,0.329151,0.339946,299.872536,0.679000
4,0.329151,0.339946,308.927941,0.643261
5,0.222404,0.228127,296.958973,0.643262
6,0.296016,0.299064,254.389790,0.643261
7,0.326144,0.328573,199.456246,0.643261
8,0.318294,0.319498,182.216511,0.643262
9,0.302182,0.302415,165.990867,0.643263
10,0.303389,0.303394,159.024805,0.643263
11,0.301092,0.301821,153.019310,0.643262
12,0.298337,0.298508,148.165894,0.643263
13,0.293259,0.293562,144.624303,0.643261
14,0.290119,0.290708,143.145190,0.643262
15,0.282068,0.283040,143.015915,0.643262
16,0.269874,0.270848,143.289240,0.643263
17,0.260627,0.261790,143.422263,0.643262
18,0.254752,0.255919,143.597318,0.643261
19,0.250792,0.251909,143.766417,0.643262
20,0.246026,0.247063,143.853465,0.643263
21,0.241495,0.242398,143.878674,0.643263
22,0.237422,0.238090,143.885195,0.643261
23,0.233318,0.233650,143.865671,0.643262
24,0.230643,0.230411,143.821664,0.643262
25,0.228515,0.227569,143.598248,0.643262
26,0.226458,0.224588,143.017629,0.643262
27,0.224181,0.221229,142.058388,0.643263
28,0.222790,0.218775,141.187623,0.643262
29,0.222643,0.217558,140.397824,0.643262
30,0.223911,0.217909,139.654469,0.643263
31,0.224928,0.218196,139.116907,0.643262
32,0.225675,0.218341,138.781181,0.643262
33,0.226783,0.219014,138.565407,0.643262
34,0.227885,0.219790,138.484308,0.643262
35,0.228794,0.220545,138.610584,0.643263
36,0.229508,0.221195,138.803047,0.643261
37,0.230004,0.221679,138.970791,0.643263
38,0.230415,0.222084,139.126327,0.643262
39,0.230846,0.222465,139.277731,0.643262
40,0.231293,0.222797,139.423109,0.643262
41,0.231793,0.223114,139.571323,0.643261
42,0.232347,0.223435,139.721310,0.643261
43,0.232867,0.223714,139.846881,0.643262
44,0.233149,0.223824,139.888282,0.643262
45,0.233315,0.223853,139.907088,0.643262
46,0.233468,0.223866,139.937130,0.643262
47,0.233604,0.223846,139.966438,0.643262
48,0.233720,0.223787,139.992194,0.643262
49,0.233809,0.223684,140.014968,0.643262
50,0.233868,0.223538,140.035659,0.643263
51,0.233895,0.223348,140.054449,0.643262
52,0.233889,0.223116,140.074037,0.643262
53,0.233853,0.222849,140.098929,0.643263
