Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.929200
1,0.341664,0.341664,49.403391,0.836280
2,0.414340,0.414340,60.881016,0.743360
3,0.414340,0.414340,70.633999,0.650440
4,0.414340,0.414340,78.754185,0.557520
5,0.414340,0.414340,85.158613,0.464600
6,0.414340,0.414340,89.907129,0.371680
7,0.414340,0.414340,93.164756,0.349322
8,0.182993,0.182993,92.379239,0.349323
9,0.259813,0.259813,84.921840,0.349322
10,0.273704,0.273704,76.773077,0.349322
11,0.260659,0.260659,69.435148,0.349322
12,0.247452,0.247452,63.387282,0.349322
13,0.249394,0.249394,56.847002,0.349322
14,0.251043,0.251043,54.193522,0.349323
15,0.252620,0.252620,53.103243,0.349323
16,0.253909,0.253909,52.401980,0.349322
17,0.255210,0.255210,51.943280,0.349322
18,0.256818,0.256818,51.545393,0.349323
19,0.258649,0.258649,51.185437,0.349323
20,0.260716,0.260716,50.827472,0.349323
21,0.263074,0.263074,50.469035,0.349322
22,0.265589,0.265589,50.119629,0.349323
23,0.268043,0.268043,49.864356,0.349323
24,0.271060,0.271060,49.486903,0.349322
25,0.274583,0.274583,48.965328,0.349322
26,0.277605,0.277605,48.409329,0.349321
27,0.279692,0.279692,47.913890,0.349322
28,0.281309,0.281309,47.487319,0.349321
29,0.283292,0.283292,46.976450,0.349322
30,0.285323,0.285323,46.414383,0.349322
31,0.287350,0.287350,45.787453,0.349322
32,0.288721,0.288721,45.216290,0.349322
33,0.289645,0.289645,44.730726,0.349323
34,0.290297,0.290297,44.371863,0.349322
35,0.290793,0.290793,44.104088,0.349322
36,0.291219,0.291219,43.883600,0.349323
37,0.291601,0.291601,43.686491,0.349323
38,0.292015,0.292015,43.489561,0.349321
39,0.292299,0.292299,43.349645,0.349323
40,0.292503,0.292503,43.254051,0.349322
41,0.292713,0.292713,43.157671,0.349321
42,0.292867,0.292866,43.076874,0.349322
43,0.293097,0.293093,42.977384,0.349323
44,0.293333,0.293323,42.861570,0.349321
45,0.293630,0.293592,42.733300,0.349322
46,0.293878,0.293810,42.624012,0.349322
47,0.294154,0.293984,42.525676,0.349321
48,0.294576,0.294238,42.427915,0.349322
49,0.296119,0.295678,42.137688,0.349322
50,0.299412,0.298904,41.492953,0.349323
51,0.303345,0.302887,40.550084,0.349321
52,0.306222,0.305910,39.580365,0.349322
53,0.307277,0.307080,38.816558,0.349322
54,0.307255,0.306963,38.239243,0.349321
55,0.306694,0.306343,37.861821,0.349323
56,0.306094,0.305592,37.590575,0.349322
57,0.305608,0.304841,37.426676,0.349323
58,0.305041,0.304205,37.391017,0.349322
59,0.304308,0.303732,37.474212,0.349322
60,0.303547,0.303377,37.573123,0.349322
61,0.302652,0.303298,37.645505,0.349322
62,0.301971,0.303064,37.695607,0.349322
63,0.301324,0.302710,37.759783,0.349322
64,0.300806,0.302555,37.799064,0.349321
65,0.300663,0.302485,37.809009,0.349322
66,0.300877,0.302421,37.808551,0.349322
67,0.300998,0.302199,37.879954,0.349322
68,0.300961,0.301701,38.000989,0.349322
69,0.300829,0.301085,38.090107,0.349323
70,0.300667,0.300215,38.148021,0.349322
71,0.300498,0.299187,38.157816,0.349321
72,0.300411,0.298038,38.102889,0.349322
73,0.300262,0.296956,38.031887,0.349322
74,0.299779,0.296186,38.000562,0.349322
75,0.299423,0.295775,37.966091,0.349322
76,0.299117,0.295970,37.909650,0.349321
77,0.298738,0.296979,37.834742,0.349323
78,0.298430,0.298316,37.728745,0.349321
79,0.298351,0.299516,37.607564,0.349321
80,0.298507,0.300307,37.533355,0.349321
81,0.299026,0.300891,37.473476,0.349322
82,0.299693,0.301500,37.380280,0.349321
83,0.300396,0.302127,37.269559,0.349322
84,0.300750,0.302417,37.226685,0.349321
85,0.300872,0.302459,37.236542,0.349322
86,0.300940,0.302390,37.274056,0.349321
87,0.300968,0.302274,37.318849,0.349321
88,0.300860,0.302147,37.360495,0.349323
89,0.300614,0.301954,37.396719,0.349321
90,0.300138,0.301490,37.451542,0.349322
91,0.299436,0.300700,37.534279,0.349322
92,0.298618,0.299892,37.623737,0.349322
93,0.297776,0.298980,37.728851,0.349322
94,0.296852,0.298061,37.855211,0.349321
95,0.296089,0.297281,37.961475,0.349322
96,0.295410,0.296569,38.059547,0.349322
97,0.294818,0.295886,38.159307,0.349322
98,0.294304,0.295300,38.246698,0.349322
99,0.293808,0.294647,38.337682,0.349322
100,0.293533,0.294145,38.420129,0.349321
101,0.293418,0.293770,38.490494,0.349322
102,0.293490,0.293637,38.515187,0.349323
103,0.293781,0.293800,38.484801,0.349321
104,0.294320,0.294300,38.374702,0.349322
105,0.295053,0.295094,38.200350,0.349323
106,0.295759,0.295899,38.039067,0.349321
107,0.296269,0.296504,37.930623,0.349322
108,0.296632,0.296900,37.854158,0.349322
109,0.296833,0.297091,37.814420,0.349323
110,0.296967,0.297308,37.775633,0.349322
111,0.297005,0.297511,37.750164,0.349321
112,0.296967,0.297739,37.726788,0.349322
113,0.296859,0.297963,37.711750,0.349322
114,0.296788,0.298189,37.693537,0.349322
115,0.296713,0.298378,37.676820,0.349322
116,0.296617,0.298526,37.662090,0.349322
117,0.296436,0.298600,37.654240,0.349321
118,0.296178,0.298550,37.660819,0.349322
119,0.295872,0.298360,37.680755,0.349322
120,0.295571,0.298099,37.704871,0.349322
121,0.295241,0.297743,37.746903,0.349322
122,0.294875,0.297353,37.797010,0.349321
123,0.294538,0.297032,37.841919,0.349322
124,0.294204,0.296708,37.887684,0.349322
125,0.293939,0.296392,37.927285,0.349322
126,0.293764,0.296092,37.958202,0.349322
127,0.293619,0.295827,37.976287,0.349321
128,0.293505,0.295633,37.976601,0.349323
129,0.293420,0.295467,37.963209,0.349322
130,0.293337,0.295313,37.951244,0.349323
131,0.293268,0.295189,37.937282,0.349323
132,0.293357,0.295157,37.895485,0.349322
133,0.293521,0.295329,37.833097,0.349323
134,0.293680,0.295465,37.780473,0.349322
135,0.293838,0.295562,37.739985,0.349322
136,0.294002,0.295655,37.698670,0.349322
137,0.294134,0.295731,37.666913,0.349322
138,0.294237,0.295769,37.642164,0.349321
139,0.294278,0.295727,37.636508,0.349322
140,0.294278,0.295678,37.641964,0.349321
141,0.294286,0.295677,37.651215,0.349323
142,0.294284,0.295740,37.671010,0.349321
143,0.294377,0.295860,37.688990,0.349322
144,0.294550,0.296066,37.681468,0.349322
145,0.294670,0.296277,37.670573,0.349322
146,0.294790,0.296543,37.660333,0.349322
147,0.294960,0.296803,37.648154,0.349321
148,0.295186,0.297087,37.629301,0.349322
149,0.295480,0.297393,37.601218,0.349321
