Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.959600
1,0.343627,0.343627,1.575151,0.863640
2,0.384267,0.384267,0.743765,0.767680
3,0.384267,0.384267,0.373077,0.671720
4,0.384267,0.384267,0.169921,0.575760
5,0.384267,0.384267,0.066696,0.500870
6,0.499587,0.499587,0.005229,0.496853
7,0.442199,0.442199,-0.012678,0.515315
8,0.345300,0.345300,-0.009623,0.515770
9,0.309438,0.309438,-0.059672,0.520183
10,0.283383,0.283383,-0.131033,0.531305
11,0.275325,0.275325,-0.259907,0.535793
12,0.283912,0.283912,-0.428368,0.565185
13,0.264898,0.264898,-0.561944,0.578167
14,0.265417,0.265417,-0.733986,0.600908
15,0.263683,0.263683,-0.899058,0.616885
16,0.272615,0.272615,-1.090108,0.629429
17,0.278852,0.278852,-1.286752,0.633174
18,0.285740,0.285740,-1.468599,0.634951
19,0.285626,0.285626,-1.640300,0.630048
20,0.279369,0.279369,-1.689682,0.625861
21,0.273319,0.273319,-1.736057,0.624780
22,0.270229,0.270229,-1.790510,0.624629
23,0.267794,0.267794,-1.804813,0.625279
24,0.265660,0.265660,-1.828523,0.628780
25,0.265409,0.265409,-1.851150,0.630749
26,0.264045,0.264045,-1.869801,0.635522
27,0.264268,0.264268,-1.882677,0.637436
28,0.263151,0.263151,-1.899239,0.641449
29,0.263567,0.263567,-1.913350,0.643018
30,0.262721,0.262721,-1.925450,0.646459
31,0.263260,0.263260,-1.936475,0.647369
32,0.262511,0.262511,-1.945554,0.649711
33,0.263157,0.263157,-1.950702,0.650024
34,0.262496,0.262496,-1.956700,0.651443
35,0.263175,0.263175,-1.958194,0.650472
36,0.262503,0.262503,-1.959972,0.651443
37,0.263175,0.263175,-1.960374,0.650472
38,0.262503,0.262503,-1.961721,0.651443
39,0.263175,0.263175,-1.961769,0.650472
40,0.262503,0.262503,-1.962840,0.651443
41,0.263175,0.263175,-1.962662,0.650472
42,0.262503,0.262503,-1.963556,0.651443
43,0.263175,0.263175,-1.963233,0.650472
44,0.262503,0.262503,-1.964015,0.651443
45,0.263175,0.263175,-1.963599,0.650472
46,0.262503,0.262503,-1.964308,0.651443
47,0.263175,0.263175,-1.963833,0.650472
48,0.262503,0.262503,-1.964496,0.651443
49,0.263175,0.263175,-1.963983,0.650472
50,0.262503,0.262503,-1.964616,0.651443
51,0.263175,0.263175,-1.964079,0.650472
52,0.262503,0.262503,-1.964693,0.651443
53,0.263175,0.263175,-1.964140,0.650472
54,0.262503,0.262503,-1.964742,0.651443
55,0.263175,0.263175,-1.964179,0.650472
56,0.262503,0.262503,-1.964774,0.651443
57,0.263175,0.263175,-1.964204,0.650472
58,0.262503,0.262503,-1.964794,0.651443
59,0.263175,0.263175,-1.964220,0.650472
60,0.262503,0.262503,-1.964807,0.651443
61,0.263175,0.263175,-1.964231,0.650472
62,0.262503,0.262503,-1.964815,0.651443
63,0.263175,0.263175,-1.964237,0.650472
64,0.262503,0.262503,-1.964820,0.651443
65,0.263175,0.263175,-1.964242,0.650472
66,0.262503,0.262503,-1.964824,0.651443
67,0.263175,0.263175,-1.964244,0.650472
68,0.262503,0.262503,-1.964826,0.651443
69,0.263175,0.263175,-1.964246,0.650472
70,0.262503,0.262503,-1.964827,0.651443
71,0.263175,0.263175,-1.964247,0.650472
72,0.262503,0.262503,-1.964828,0.651443
73,0.263175,0.263175,-1.964248,0.650472
74,0.262503,0.262503,-1.964829,0.651443
75,0.263175,0.263175,-1.964248,0.650472
76,0.262503,0.262503,-1.964829,0.651443
77,0.263175,0.263175,-1.964249,0.650472
78,0.262503,0.262503,-1.964829,0.651443
79,0.263175,0.263175,-1.964249,0.650472
80,0.262503,0.262503,-1.964830,0.651443
81,0.263175,0.263175,-1.964249,0.650472
82,0.262503,0.262503,-1.964830,0.651443
83,0.263175,0.263175,-1.964249,0.650472
84,0.262503,0.262503,-1.964830,0.651443
85,0.263175,0.263175,-1.964249,0.650472
86,0.262503,0.262503,-1.964830,0.651443
87,0.263175,0.263175,-1.964249,0.650472
88,0.262503,0.262503,-1.964830,0.651443
89,0.263175,0.263175,-1.964249,0.650472
90,0.262503,0.262503,-1.964830,0.651443
91,0.263175,0.263175,-1.964249,0.650472
92,0.262503,0.262503,-1.964830,0.651443
93,0.263175,0.263175,-1.964249,0.650472
94,0.262503,0.262503,-1.964830,0.651443
95,0.263175,0.263175,-1.964249,0.650472
96,0.262503,0.262503,-1.964830,0.651443
97,0.263175,0.263175,-1.964249,0.650472
98,0.262503,0.262503,-1.964830,0.651443
99,0.263175,0.263175,-1.964249,0.650472
100,0.262503,0.262503,-1.964830,0.651443
101,0.263175,0.263175,-1.964249,0.650472
102,0.262503,0.262503,-1.964830,0.651443
103,0.263175,0.263175,-1.964249,0.650472
104,0.262503,0.262503,-1.964830,0.651443
105,0.263175,0.263175,-1.964249,0.650472
106,0.262503,0.262503,-1.964830,0.651443
107,0.263175,0.263175,-1.964249,0.650472
108,0.262503,0.262503,-1.964830,0.651443
