Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.986800
1,0.245743,0.245743,212.559671,0.888120
2,0.314314,0.314314,218.261237,0.789440
3,0.314314,0.314314,223.181553,0.690760
4,0.314314,0.314314,227.052086,0.592080
5,0.314314,0.314314,229.982944,0.544724
6,0.296442,0.296442,219.351063,0.544725
7,0.394037,0.394037,192.912316,0.544725
8,0.422677,0.422677,158.606955,0.544724
9,0.429639,0.429639,124.734744,0.544725
10,0.422363,0.422363,115.880971,0.544723
11,0.401919,0.401919,105.195764,0.544724
12,0.401295,0.401295,103.566269,0.544725
13,0.400865,0.400865,102.653567,0.544724
14,0.400275,0.400275,101.838242,0.544724
15,0.396483,0.396483,101.490638,0.544724
16,0.391764,0.391764,101.496322,0.544724
17,0.388408,0.388408,101.582880,0.544723
18,0.385861,0.385861,101.670720,0.544724
19,0.382161,0.382161,101.784721,0.544724
20,0.377996,0.377996,101.879681,0.544724
21,0.373419,0.373419,101.951040,0.544725
22,0.369407,0.369407,102.007484,0.544724
23,0.365949,0.365949,102.053974,0.544724
24,0.363125,0.363125,102.104536,0.544724
25,0.359850,0.359850,102.152758,0.544725
26,0.357111,0.357111,102.185455,0.544724
27,0.353965,0.353965,102.223439,0.544724
28,0.350491,0.350491,102.268880,0.544724
29,0.347245,0.347245,102.337815,0.544723
30,0.344970,0.344970,102.446364,0.544724
31,0.342488,0.342488,102.554002,0.544724
32,0.339983,0.339983,102.652512,0.544724
33,0.337343,0.337343,102.727161,0.544723
34,0.335807,0.335807,102.785344,0.544724
35,0.334025,0.334025,102.809464,0.544723
36,0.331732,0.331732,102.791128,0.544724
37,0.329779,0.329779,102.778785,0.544724
38,0.328370,0.328370,102.799060,0.544724
39,0.327182,0.327182,102.849050,0.544724
40,0.326273,0.326273,102.932748,0.544724
41,0.325653,0.325653,103.046716,0.544725
42,0.325571,0.325571,103.194142,0.544724
43,0.326586,0.326586,103.392787,0.544724
44,0.328513,0.328513,103.607134,0.544724
45,0.330422,0.330422,103.820751,0.544724
46,0.332292,0.332292,104.037285,0.544724
47,0.333554,0.333554,104.241718,0.544724
48,0.334327,0.334327,104.391227,0.544724
49,0.334724,0.334724,104.501389,0.544723
50,0.335310,0.335310,104.618064,0.544724
51,0.335955,0.335955,104.706653,0.544723
52,0.336720,0.336720,104.775012,0.544723
53,0.336136,0.336136,104.808368,0.544725
54,0.336407,0.336407,104.852670,0.544724
55,0.336866,0.336866,104.859226,0.544724
56,0.337296,0.337296,104.790550,0.544724
57,0.337622,0.337622,104.656634,0.544725
58,0.337669,0.337669,104.455283,0.544723
59,0.337631,0.337631,104.264205,0.544723
60,0.337570,0.337570,104.111367,0.544724
61,0.337276,0.337276,103.948829,0.544724
62,0.336588,0.336588,103.829122,0.544724
63,0.336344,0.336344,103.851535,0.544725
