Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.913200
1,0.323916,0.323916,3.932010,0.821880
2,0.333809,0.333809,2.066274,0.730560
3,0.333809,0.333809,1.058573,0.639240
4,0.333809,0.333809,0.498732,0.575444
5,0.396730,0.396730,0.243437,0.516835
6,0.426385,0.426385,0.102899,0.478216
7,0.399261,0.399261,0.029876,0.455991
8,0.356805,0.356805,-0.051602,0.456403
9,0.319350,0.319350,-0.197626,0.451310
10,0.302948,0.302948,-0.419924,0.464853
11,0.300000,0.300000,-0.734097,0.498197
12,0.300000,0.300000,-1.048431,0.542274
13,0.300000,0.300000,-1.398032,0.585831
14,0.300665,0.300665,-1.690648,0.620924
15,0.300001,0.300001,-1.999339,0.656313
16,0.300818,0.300818,-2.250725,0.572913
17,0.300001,0.300001,-1.678637,0.656313
18,0.300818,0.300818,-2.437266,0.572913
19,0.300001,0.300001,-1.785380,0.656313
20,0.300818,0.300818,-2.556652,0.572913
21,0.300001,0.300001,-1.853695,0.656313
22,0.300818,0.300818,-2.633059,0.572913
23,0.300001,0.300001,-1.897417,0.656313
24,0.300818,0.300818,-2.681960,0.572913
25,0.300001,0.300001,-1.925399,0.656313
26,0.300818,0.300818,-2.713257,0.572913
27,0.300001,0.300001,-1.943307,0.656313
28,0.300818,0.300818,-2.733286,0.572913
29,0.300001,0.300001,-1.954769,0.656313
30,0.300818,0.300818,-2.746105,0.572913
31,0.300001,0.300001,-1.962104,0.656313
32,0.300818,0.300818,-2.754309,0.572913
33,0.300001,0.300001,-1.966799,0.656313
34,0.300818,0.300818,-2.759560,0.572913
35,0.300001,0.300001,-1.969803,0.656313
36,0.300818,0.300818,-2.762921,0.572913
37,0.300001,0.300001,-1.971726,0.656313
38,0.300818,0.300818,-2.765071,0.572913
39,0.300001,0.300001,-1.972957,0.656313
40,0.300818,0.300818,-2.766448,0.572913
41,0.300001,0.300001,-1.973744,0.656313
42,0.300818,0.300818,-2.767329,0.572913
43,0.300001,0.300001,-1.974249,0.656313
44,0.300818,0.300818,-2.767892,0.572913
45,0.300001,0.300001,-1.974571,0.656313
46,0.300818,0.300818,-2.768253,0.572913
47,0.300001,0.300001,-1.974778,0.656313
48,0.300818,0.300818,-2.768484,0.572913
49,0.300001,0.300001,-1.974910,0.656313
50,0.300818,0.300818,-2.768632,0.572913
51,0.300001,0.300001,-1.974994,0.656313
52,0.300818,0.300818,-2.768726,0.572913
53,0.300001,0.300001,-1.975048,0.656313
54,0.300818,0.300818,-2.768787,0.572913
55,0.300001,0.300001,-1.975083,0.656313
56,0.300818,0.300818,-2.768826,0.572913
57,0.300001,0.300001,-1.975105,0.656313
58,0.300818,0.300818,-2.768851,0.572913
59,0.300001,0.300001,-1.975119,0.656313
60,0.300818,0.300818,-2.768866,0.572913
61,0.300001,0.300001,-1.975129,0.656313
62,0.300818,0.300818,-2.768877,0.572913
63,0.300001,0.300001,-1.975134,0.656313
64,0.300818,0.300818,-2.768883,0.572913
65,0.300001,0.300001,-1.975138,0.656313
66,0.300818,0.300818,-2.768887,0.572913
67,0.300001,0.300001,-1.975140,0.656313
68,0.300818,0.300818,-2.768890,0.572913
69,0.300001,0.300001,-1.975142,0.656313
70,0.300818,0.300818,-2.768892,0.572913
71,0.300001,0.300001,-1.975143,0.656313
72,0.300818,0.300818,-2.768893,0.572913
73,0.300001,0.300001,-1.975144,0.656313
74,0.300818,0.300818,-2.768893,0.572913
75,0.300001,0.300001,-1.975144,0.656313
76,0.300818,0.300818,-2.768894,0.572913
77,0.300001,0.300001,-1.975144,0.656313
78,0.300818,0.300818,-2.768894,0.572913
79,0.300001,0.300001,-1.975144,0.656313
80,0.300818,0.300818,-2.768894,0.572913
81,0.300001,0.300001,-1.975145,0.656313
82,0.300818,0.300818,-2.768894,0.572913
83,0.300001,0.300001,-1.975145,0.656313
84,0.300818,0.300818,-2.768894,0.572913
85,0.300001,0.300001,-1.975145,0.656313
86,0.300818,0.300818,-2.768895,0.572913
87,0.300001,0.300001,-1.975145,0.656313
88,0.300818,0.300818,-2.768895,0.572913
