Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.950000
1,0.302145,0.302145,4.344031,0.782988
2,0.301156,0.301156,2.504664,0.615976
3,0.301156,0.301156,1.951428,0.519792
4,0.233656,0.233656,1.763079,0.519793
5,0.123201,0.123201,1.632811,0.519793
6,0.127976,0.127976,1.533633,0.519793
7,0.081640,0.081640,1.371990,0.519793
8,0.098711,0.098711,1.248863,0.519793
9,0.104859,0.104859,1.216067,0.519793
10,0.108051,0.108051,1.202869,0.519794
11,0.102090,0.102090,1.191962,0.519793
12,0.103202,0.103202,1.184686,0.519794
13,0.101030,0.101030,1.180161,0.519793
14,0.093457,0.093457,1.187017,0.519793
15,0.092235,0.092235,1.233039,0.519791
16,0.092600,0.092600,1.228369,0.519794
17,0.094929,0.094929,1.255752,0.518776
18,0.093982,0.093982,1.235855,0.519793
19,0.095344,0.095344,1.258158,0.519373
20,0.094269,0.094269,1.234870,0.519793
21,0.095264,0.095264,1.259203,0.519362
22,0.094223,0.094223,1.235014,0.519793
23,0.095276,0.095276,1.259153,0.519503
24,0.094223,0.094223,1.235013,0.519793
25,0.095274,0.095274,1.259158,0.519506
26,0.094223,0.094223,1.235013,0.519793
27,0.095273,0.095273,1.259162,0.519507
28,0.094224,0.094224,1.235013,0.519792
29,0.095273,0.095273,1.259165,0.519508
30,0.094224,0.094224,1.235012,0.519793
31,0.095273,0.095273,1.259166,0.519508
32,0.094224,0.094224,1.235012,0.519793
33,0.095273,0.095273,1.259166,0.519509
34,0.094224,0.094224,1.235012,0.519793
35,0.095273,0.095273,1.259166,0.519509
36,0.094224,0.094224,1.235012,0.519793
37,0.095273,0.095273,1.259166,0.519509
38,0.094224,0.094224,1.235012,0.519793
39,0.095273,0.095273,1.259166,0.519509
40,0.094224,0.094224,1.235012,0.519793
41,0.095273,0.095273,1.259166,0.519509
42,0.094224,0.094224,1.235012,0.519793
43,0.095273,0.095273,1.259166,0.519509
44,0.094224,0.094224,1.235012,0.519793
45,0.095273,0.095273,1.259166,0.519509
46,0.094224,0.094224,1.235012,0.519793
47,0.095273,0.095273,1.259166,0.519509
48,0.094224,0.094224,1.235012,0.519793
49,0.095273,0.095273,1.259166,0.519509
50,0.094224,0.094224,1.235012,0.519793
51,0.095273,0.095273,1.259166,0.519509
52,0.094224,0.094224,1.235012,0.519793
53,0.095273,0.095273,1.259166,0.519509
54,0.094224,0.094224,1.235012,0.519793
55,0.095273,0.095273,1.259166,0.519509
56,0.094224,0.094224,1.235012,0.519793
57,0.095273,0.095273,1.259166,0.519509
58,0.094224,0.094224,1.235012,0.519793
59,0.095273,0.095273,1.259166,0.519509
60,0.094224,0.094224,1.235012,0.519793
61,0.095273,0.095273,1.259166,0.519509
62,0.094224,0.094224,1.235012,0.519793
63,0.095273,0.095273,1.259166,0.519509
64,0.094224,0.094224,1.235012,0.519793
65,0.095273,0.095273,1.259166,0.519509
66,0.094224,0.094224,1.235012,0.519793
67,0.095273,0.095273,1.259166,0.519509
68,0.094224,0.094224,1.235012,0.519793
69,0.095273,0.095273,1.259166,0.519509
70,0.094224,0.094224,1.235012,0.519793
71,0.095273,0.095273,1.259166,0.519509
72,0.094224,0.094224,1.235012,0.519793
73,0.095273,0.095273,1.259166,0.519509
74,0.094224,0.094224,1.235012,0.519793
75,0.095273,0.095273,1.259166,0.519509
76,0.094224,0.094224,1.235012,0.519793
77,0.095273,0.095273,1.259166,0.519509
78,0.094224,0.094224,1.235012,0.519793
79,0.095273,0.095273,1.259166,0.519509
80,0.094224,0.094224,1.235012,0.519793
81,0.095273,0.095273,1.259166,0.519509
82,0.094224,0.094224,1.235012,0.519793
83,0.095273,0.095273,1.259166,0.519509
84,0.094224,0.094224,1.235012,0.519793
85,0.095273,0.095273,1.259166,0.519509
86,0.094224,0.094224,1.235012,0.519793
87,0.095273,0.095273,1.259166,0.519509
88,0.094224,0.094224,1.235012,0.519793
89,0.095273,0.095273,1.259166,0.519509
90,0.094224,0.094224,1.235012,0.519793
91,0.095273,0.095273,1.259166,0.519509
92,0.094224,0.094224,1.235012,0.519793
93,0.095273,0.095273,1.259166,0.519509
94,0.094224,0.094224,1.235012,0.519793
95,0.095273,0.095273,1.259166,0.519509
96,0.094224,0.094224,1.235012,0.519793
97,0.095273,0.095273,1.259166,0.519509
98,0.094224,0.094224,1.235012,0.519793
99,0.095273,0.095273,1.259166,0.519509
100,0.094224,0.094224,1.235012,0.519793
101,0.095273,0.095273,1.259166,0.519509
102,0.094224,0.094224,1.235012,0.519793
103,0.095273,0.095273,1.259166,0.519509
104,0.094224,0.094224,1.235012,0.519793
105,0.095273,0.095273,1.259166,0.519509
106,0.094224,0.094224,1.235012,0.519793
107,0.095273,0.095273,1.259166,0.519509
108,0.094224,0.094224,1.235012,0.519793
109,0.095273,0.095273,1.259166,0.519509
110,0.094224,0.094224,1.235012,0.519793
111,0.095273,0.095273,1.259166,0.519509
112,0.094224,0.094224,1.235012,0.519793
113,0.095273,0.095273,1.259166,0.519509
114,0.094224,0.094224,1.235012,0.519793
115,0.095273,0.095273,1.259166,0.519509
116,0.094224,0.094224,1.235012,0.519793
117,0.095273,0.095273,1.259166,0.519509
118,0.094224,0.094224,1.235012,0.519793
119,0.095273,0.095273,1.259166,0.519509
120,0.094224,0.094224,1.235012,0.519793
121,0.095273,0.095273,1.259166,0.519509
122,0.094224,0.094224,1.235012,0.519793
123,0.095273,0.095273,1.259166,0.519509
124,0.094224,0.094224,1.235012,0.519793
125,0.095273,0.095273,1.259166,0.519509
126,0.094224,0.094224,1.235012,0.519793
127,0.095273,0.095273,1.259166,0.519509
128,0.094224,0.094224,1.235012,0.519793
129,0.095273,0.095273,1.259166,0.519509
130,0.094224,0.094224,1.235012,0.519793
131,0.095273,0.095273,1.259166,0.519509
132,0.094224,0.094224,1.235012,0.519793
133,0.095273,0.095273,1.259166,0.519509
134,0.094224,0.094224,1.235012,0.519793
135,0.095273,0.095273,1.259166,0.519509
136,0.094224,0.094224,1.235012,0.519793
137,0.095273,0.095273,1.259166,0.519509
138,0.094224,0.094224,1.235012,0.519793
139,0.095273,0.095273,1.259166,0.519509
140,0.094224,0.094224,1.235012,0.519793
141,0.095273,0.095273,1.259166,0.519509
142,0.094224,0.094224,1.235012,0.519793
143,0.095273,0.095273,1.259166,0.519509
144,0.094224,0.094224,1.235012,0.519793
145,0.095273,0.095273,1.259166,0.519509
146,0.094224,0.094224,1.235012,0.519793
147,0.095273,0.095273,1.259166,0.519509
148,0.094224,0.094224,1.235012,0.519793
149,0.095273,0.095273,1.259166,0.519509
