Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.910000
1,0.471070,0.471070,193.468430,0.819000
2,0.437057,0.437057,218.879424,0.728000
3,0.437057,0.437057,242.400174,0.637000
4,0.437057,0.437057,261.569235,0.618280
5,0.208852,0.208852,250.345806,0.618281
6,0.171346,0.171346,209.678270,0.618279
7,0.183067,0.183067,157.478541,0.618280
8,0.192308,0.192308,142.075380,0.618279
9,0.184886,0.184886,132.669298,0.618279
10,0.182622,0.182622,126.589649,0.618280
11,0.177499,0.177499,120.118199,0.618281
12,0.174104,0.174104,113.931405,0.618281
13,0.168521,0.168521,108.738084,0.618281
14,0.165231,0.165231,106.920725,0.618281
15,0.163523,0.163523,105.661791,0.618281
16,0.162703,0.162703,104.885608,0.618280
17,0.162497,0.162497,104.479716,0.618281
18,0.162518,0.162518,104.297252,0.618280
19,0.162562,0.162562,104.181710,0.618280
20,0.162319,0.162319,104.132217,0.618280
21,0.161917,0.161917,104.116213,0.618280
22,0.161691,0.161691,104.108121,0.618280
23,0.161559,0.161559,104.101138,0.618280
24,0.161435,0.161435,104.090636,0.618280
25,0.161311,0.161311,104.083969,0.618280
26,0.161178,0.161178,104.080886,0.618281
27,0.161038,0.161038,104.076989,0.618280
28,0.160893,0.160893,104.072243,0.618280
29,0.160742,0.160742,104.066130,0.618281
30,0.160588,0.160588,104.058545,0.618281
31,0.160498,0.160498,104.053556,0.618280
