Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.910000
1,0.471070,0.471070,2.820493,0.819000
2,0.437057,0.437057,1.569470,0.728000
3,0.437057,0.437057,0.767526,0.637000
4,0.437057,0.437057,0.334771,0.551120
5,0.426894,0.426894,0.125548,0.509084
6,0.493362,0.493362,0.022237,0.482535
7,0.447845,0.447845,-0.040789,0.480812
8,0.370032,0.370032,-0.096951,0.482785
9,0.321273,0.321273,-0.242042,0.468816
10,0.303107,0.303107,-0.482176,0.470582
11,0.300000,0.300000,-0.814168,0.493445
12,0.300000,0.300000,-1.113207,0.435621
13,0.300000,0.300000,-0.927787,0.493445
14,0.300000,0.300000,-1.452029,0.435621
15,0.300000,0.300000,-1.121022,0.493445
16,0.300000,0.300000,-1.668875,0.435621
17,0.300000,0.300000,-1.244692,0.493445
18,0.300000,0.300000,-1.807656,0.435621
19,0.300000,0.300000,-1.323841,0.493445
20,0.300000,0.300000,-1.896477,0.435621
21,0.300000,0.300000,-1.374497,0.493445
22,0.300000,0.300000,-1.953321,0.435621
23,0.300000,0.300000,-1.406916,0.493445
24,0.300000,0.300000,-1.989702,0.435621
25,0.300000,0.300000,-1.427664,0.493445
26,0.300000,0.300000,-2.012986,0.435621
27,0.300000,0.300000,-1.440943,0.493445
28,0.300000,0.300000,-2.027887,0.435621
29,0.300000,0.300000,-1.449442,0.493445
30,0.300000,0.300000,-2.037424,0.435621
31,0.300000,0.300000,-1.454881,0.493445
32,0.300000,0.300000,-2.043528,0.435621
33,0.300000,0.300000,-1.458362,0.493445
34,0.300000,0.300000,-2.047434,0.435621
35,0.300000,0.300000,-1.460590,0.493445
36,0.300000,0.300000,-2.049934,0.435621
37,0.300000,0.300000,-1.462016,0.493445
38,0.300000,0.300000,-2.051535,0.435621
39,0.300000,0.300000,-1.462928,0.493445
40,0.300000,0.300000,-2.052559,0.435621
41,0.300000,0.300000,-1.463512,0.493445
42,0.300000,0.300000,-2.053214,0.435621
43,0.300000,0.300000,-1.463886,0.493445
44,0.300000,0.300000,-2.053633,0.435621
45,0.300000,0.300000,-1.464125,0.493445
46,0.300000,0.300000,-2.053902,0.435621
47,0.300000,0.300000,-1.464278,0.493445
48,0.300000,0.300000,-2.054074,0.435621
49,0.300000,0.300000,-1.464376,0.493445
50,0.300000,0.300000,-2.054184,0.435621
51,0.300000,0.300000,-1.464439,0.493445
52,0.300000,0.300000,-2.054254,0.435621
53,0.300000,0.300000,-1.464479,0.493445
54,0.300000,0.300000,-2.054299,0.435621
55,0.300000,0.300000,-1.464505,0.493445
56,0.300000,0.300000,-2.054328,0.435621
57,0.300000,0.300000,-1.464521,0.493445
58,0.300000,0.300000,-2.054346,0.435621
59,0.300000,0.300000,-1.464532,0.493445
60,0.300000,0.300000,-2.054358,0.435621
61,0.300000,0.300000,-1.464539,0.493445
62,0.300000,0.300000,-2.054366,0.435621
63,0.300000,0.300000,-1.464543,0.493445
64,0.300000,0.300000,-2.054370,0.435621
65,0.300000,0.300000,-1.464546,0.493445
66,0.300000,0.300000,-2.054374,0.435621
67,0.300000,0.300000,-1.464547,0.493445
68,0.300000,0.300000,-2.054376,0.435621
69,0.300000,0.300000,-1.464549,0.493445
70,0.300000,0.300000,-2.054377,0.435621
71,0.300000,0.300000,-1.464549,0.493445
72,0.300000,0.300000,-2.054378,0.435621
73,0.300000,0.300000,-1.464550,0.493445
74,0.300000,0.300000,-2.054378,0.435621
75,0.300000,0.300000,-1.464550,0.493445
76,0.300000,0.300000,-2.054378,0.435621
77,0.300000,0.300000,-1.464550,0.493445
78,0.300000,0.300000,-2.054379,0.435621
79,0.300000,0.300000,-1.464550,0.493445
80,0.300000,0.300000,-2.054379,0.435621
81,0.300000,0.300000,-1.464550,0.493445
82,0.300000,0.300000,-2.054379,0.435621
83,0.300000,0.300000,-1.464550,0.493445
84,0.300000,0.300000,-2.054379,0.435621
85,0.300000,0.300000,-1.464551,0.493445
86,0.300000,0.300000,-2.054379,0.435621
87,0.300000,0.300000,-1.464551,0.493445
88,0.300000,0.300000,-2.054379,0.435621
89,0.300000,0.300000,-1.464551,0.493445
90,0.300000,0.300000,-2.054379,0.435621
91,0.300000,0.300000,-1.464551,0.493445
92,0.300000,0.300000,-2.054379,0.435621
93,0.300000,0.300000,-1.464551,0.493445
94,0.300000,0.300000,-2.054379,0.435621
95,0.300000,0.300000,-1.464551,0.493445
96,0.300000,0.300000,-2.054379,0.435621
97,0.300000,0.300000,-1.464551,0.493445
98,0.300000,0.300000,-2.054379,0.435621
99,0.300000,0.300000,-1.464551,0.493445
100,0.300000,0.300000,-2.054379,0.435621
101,0.300000,0.300000,-1.464551,0.493445
102,0.300000,0.300000,-2.054379,0.435621
103,0.300000,0.300000,-1.464551,0.493445
104,0.300000,0.300000,-2.054379,0.435621
105,0.300000,0.300000,-1.464551,0.493445
106,0.300000,0.300000,-2.054379,0.435621
107,0.300000,0.300000,-1.464551,0.493445
108,0.300000,0.300000,-2.054379,0.435621
109,0.300000,0.300000,-1.464551,0.493445
110,0.300000,0.300000,-2.054379,0.435621
111,0.300000,0.300000,-1.464551,0.493445
112,0.300000,0.300000,-2.054379,0.435621
113,0.300000,0.300000,-1.464551,0.493445
114,0.300000,0.300000,-2.054379,0.435621
115,0.300000,0.300000,-1.464551,0.493445
116,0.300000,0.300000,-2.054379,0.435621
117,0.300000,0.300000,-1.464551,0.493445
118,0.300000,0.300000,-2.054379,0.435621
119,0.300000,0.300000,-1.464551,0.493445
120,0.300000,0.300000,-2.054379,0.435621
121,0.300000,0.300000,-1.464551,0.493445
122,0.300000,0.300000,-2.054379,0.435621
123,0.300000,0.300000,-1.464551,0.493445
124,0.300000,0.300000,-2.054379,0.435621
125,0.300000,0.300000,-1.464551,0.493445
126,0.300000,0.300000,-2.054379,0.435621
127,0.300000,0.300000,-1.464551,0.493445
128,0.300000,0.300000,-2.054379,0.435621
129,0.300000,0.300000,-1.464551,0.493445
130,0.300000,0.300000,-2.054379,0.435621
131,0.300000,0.300000,-1.464551,0.493445
132,0.300000,0.300000,-2.054379,0.435621
133,0.300000,0.300000,-1.464551,0.493445
134,0.300000,0.300000,-2.054379,0.435621
135,0.300000,0.300000,-1.464551,0.493445
136,0.300000,0.300000,-2.054379,0.435621
137,0.300000,0.300000,-1.464551,0.493445
138,0.300000,0.300000,-2.054379,0.435621
