sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,move,nelx,nely,nu,penal,rmin,save_every,scale_factor,tol_change,tol_obj,verbose,void_size_frac,volfrac,window_size
0,hourglass,auxetic,True,-0.5586929217418088,-0.4601169734552224,0.08607719914883571,53,True,7.65,,199.0,1e-09,2,150,0.122385,50,50,0.3,3.417294,1.211893,9999,1,0.01,0.05,False,0.324776,0.540265,20
1,hourglass,auxetic,True,-0.6320741803860686,-0.4328514839252103,0.14180611831324752,150,True,20.03,,199.0,1e-09,2,150,0.080584,50,50,0.3,2.695072,1.200298,9999,1,0.01,0.05,False,0.314517,0.519489,20
2,hourglass,auxetic,True,-0.6308691692401586,-0.3855671131025802,0.18207960198096185,44,True,6.77,,199.0,1e-09,2,150,0.086404,50,50,0.3,3.35314,1.098234,9999,1,0.01,0.05,False,0.345742,0.507681,20
3,hourglass,auxetic,True,-0.6200391221206423,-0.42701368782031324,0.16331850355375,150,True,20.3,,199.0,1e-09,2,150,0.094306,50,50,0.3,2.585133,1.225695,9999,1,0.01,0.05,False,0.371547,0.514158,20
4,hourglass,auxetic,True,-0.6258514925897068,-0.41387643052531564,0.1591085606672159,47,True,7.05,,199.0,1e-09,2,150,0.105518,50,50,0.3,3.466325,1.136042,9999,1,0.01,0.05,False,0.350228,0.502478,20
5,hourglass,auxetic,True,-0.6393794332508261,-0.3959224540917852,0.1331499453944195,150,True,20.82,,199.0,1e-09,2,150,0.097488,50,50,0.3,3.52248,1.107106,9999,1,0.01,0.05,False,0.340369,0.575243,20
6,hourglass,auxetic,True,-0.6556207387182961,-0.457879535289573,0.0619735056892079,96,True,14.49,,199.0,1e-09,2,150,0.102443,50,50,0.3,3.238291,1.122802,9999,1,0.01,0.05,False,0.378756,0.545032,20
7,hourglass,auxetic,True,-0.5372775871803919,-0.4483017106624035,0.08747884831117192,73,True,10.9,,199.0,1e-09,2,150,0.113549,50,50,0.3,3.37647,1.161993,9999,1,0.01,0.05,False,0.36127,0.537943,20
8,hourglass,auxetic,True,-0.6400113270979695,-0.42085068624001587,0.09052435683835958,90,True,12.16,,199.0,1e-09,2,150,0.076651,50,50,0.3,3.201182,1.155125,9999,1,0.01,0.05,False,0.318864,0.581603,20
9,hourglass,auxetic,True,-0.5518287470502434,-0.45756844891474974,0.08180444577118762,97,True,14.06,,199.0,1e-09,2,150,0.11484,50,50,0.3,3.578867,1.150008,9999,1,0.01,0.05,False,0.335588,0.546597,20
