Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.922000
1,0.296185,0.294014,4.098844,0.831676
2,0.294810,0.292755,3.039516,0.741353
3,0.294810,0.292755,2.397637,0.651029
4,0.294810,0.292755,2.075637,0.560705
5,0.294810,0.292755,1.945456,0.545635
6,0.226093,0.226744,1.725651,0.545637
7,0.152607,0.156589,1.591218,0.545635
8,0.130372,0.147297,1.562474,0.545637
9,0.077662,0.124658,1.543283,0.545636
10,0.085566,0.157631,1.481442,0.545636
11,0.039195,0.127336,1.404810,0.545635
12,0.042322,0.142160,1.329253,0.545637
13,0.019517,0.089669,1.260814,0.545636
14,0.024836,0.097540,1.198935,0.545636
15,0.014282,0.051679,1.128835,0.545636
16,0.014959,0.046186,1.063488,0.545636
17,0.009796,0.026833,1.007390,0.545637
18,0.003878,0.010073,0.956746,0.545637
19,-0.002319,-0.005668,0.911593,0.545636
20,-0.010060,-0.024245,0.870801,0.545637
21,-0.019873,-0.049592,0.830520,0.545636
22,-0.035087,-0.093724,0.782477,0.545636
23,-0.054579,-0.159997,0.726839,0.545635
24,-0.072107,-0.230428,0.678887,0.545636
25,-0.081452,-0.267031,0.654874,0.545635
26,-0.089628,-0.299873,0.634898,0.545636
27,-0.096774,-0.330622,0.619479,0.545636
28,-0.103213,-0.361165,0.605652,0.545636
29,-0.108449,-0.389196,0.592133,0.545636
30,-0.113224,-0.415101,0.578755,0.545636
31,-0.117434,-0.438159,0.567216,0.545636
32,-0.120315,-0.455387,0.558388,0.545636
33,-0.122281,-0.469161,0.551420,0.545635
34,-0.124000,-0.481624,0.544880,0.545636
35,-0.125678,-0.493356,0.539122,0.545635
36,-0.127050,-0.504433,0.534656,0.545637
37,-0.128232,-0.514772,0.530867,0.545637
38,-0.129303,-0.523641,0.527930,0.545636
39,-0.130122,-0.530821,0.525699,0.545637
40,-0.130812,-0.537151,0.523915,0.545637
41,-0.131129,-0.539108,0.522653,0.545636
42,-0.131411,-0.541328,0.521676,0.545636
43,-0.131597,-0.542982,0.520862,0.545637
44,-0.131916,-0.545511,0.520345,0.545636
45,-0.132156,-0.547227,0.519853,0.545636
