Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.495838
1,0.273024,0.242770,1.872009,0.516261
2,0.118914,0.070538,1.666310,0.533044
3,0.100381,0.046152,1.482191,0.533045
4,-0.041577,-0.012207,1.252196,0.533045
5,-0.280331,-0.087536,0.930571,0.533045
6,-0.480021,-0.164008,0.697001,0.533046
7,-0.543034,-0.217738,0.554029,0.533044
8,-0.593040,-0.263217,0.456091,0.533045
9,-0.622283,-0.296790,0.381725,0.533045
10,-0.636074,-0.324911,0.324233,0.533044
11,-0.656951,-0.347593,0.283810,0.533044
12,-0.669311,-0.360233,0.260167,0.533045
13,-0.680051,-0.369304,0.246581,0.533045
14,-0.687328,-0.375220,0.237971,0.533044
15,-0.693505,-0.379541,0.231346,0.533045
16,-0.697409,-0.382683,0.226246,0.533045
17,-0.701538,-0.388524,0.221855,0.533045
18,-0.704144,-0.394260,0.217749,0.533046
19,-0.706606,-0.400587,0.212674,0.533046
20,-0.708746,-0.407162,0.207038,0.533044
21,-0.710243,-0.413410,0.201389,0.533046
22,-0.711781,-0.418530,0.197676,0.533044
23,-0.712369,-0.422037,0.195511,0.533045
24,-0.711246,-0.422384,0.193621,0.533046
25,-0.711035,-0.423006,0.191837,0.533045
26,-0.710387,-0.423620,0.189747,0.533044
27,-0.708946,-0.424047,0.187266,0.533045
28,-0.707513,-0.424597,0.184604,0.533045
29,-0.705571,-0.425009,0.181950,0.533045
30,-0.703705,-0.425459,0.179448,0.533044
31,-0.701647,-0.425296,0.178479,0.533045
32,-0.699935,-0.425132,0.178176,0.533044
33,-0.699285,-0.425066,0.178036,0.533045
34,-0.699530,-0.425185,0.177959,0.533044
35,-0.699423,-0.425138,0.177907,0.533045
36,-0.699411,-0.425137,0.177864,0.533046
37,-0.699306,-0.425114,0.177826,0.533045
38,-0.699179,-0.425104,0.177785,0.533045
39,-0.698978,-0.425095,0.177728,0.533046
40,-0.698701,-0.425110,0.177631,0.533045
41,-0.698298,-0.425166,0.177439,0.533046
42,-0.697819,-0.425333,0.176967,0.533045
43,-0.696976,-0.425515,0.176243,0.533044
44,-0.695732,-0.425678,0.175384,0.533045
45,-0.694204,-0.425897,0.174478,0.533045
46,-0.692717,-0.426187,0.173621,0.533046
47,-0.691509,-0.426483,0.172865,0.533045
48,-0.690621,-0.426617,0.172486,0.533044
49,-0.689897,-0.426558,0.172460,0.533044
50,-0.689210,-0.426493,0.172435,0.533046
51,-0.688400,-0.426404,0.172409,0.533045
52,-0.687562,-0.426319,0.172391,0.533045
53,-0.686736,-0.426224,0.172372,0.533044
54,-0.686092,-0.426137,0.172362,0.533046
55,-0.685585,-0.426045,0.172349,0.533046
56,-0.685177,-0.425962,0.172337,0.533045
57,-0.684806,-0.425879,0.172325,0.533045
58,-0.684439,-0.425793,0.172307,0.533044
59,-0.684144,-0.425708,0.172289,0.533045
60,-0.683948,-0.425625,0.172263,0.533046
61,-0.683771,-0.425548,0.172234,0.533045
62,-0.683606,-0.425477,0.172208,0.533046
63,-0.683455,-0.425411,0.172179,0.533045
64,-0.683324,-0.425359,0.172154,0.533045
65,-0.683174,-0.425336,0.172132,0.533044
66,-0.683060,-0.425323,0.172115,0.533044
67,-0.682967,-0.425310,0.172103,0.533045
