Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.178974
1,0.148231,0.261854,1.997413,0.262978
2,0.090450,0.208524,1.955089,0.326258
3,0.015766,0.047727,1.829921,0.398523
4,0.013419,0.034666,1.648566,0.458112
5,0.016917,0.035189,1.456443,0.515476
6,0.020485,0.035368,1.263217,0.515476
7,0.001860,0.003178,1.174799,0.515476
8,-0.015136,-0.023577,1.085526,0.515476
9,-0.035208,-0.045797,0.978955,0.515476
10,-0.064233,-0.070310,0.852817,0.515476
11,-0.085847,-0.090297,0.773239,0.515477
12,-0.097863,-0.100192,0.714815,0.515475
13,-0.105451,-0.108206,0.676351,0.515475
14,-0.116442,-0.120099,0.644624,0.515475
15,-0.130689,-0.135913,0.617543,0.515476
16,-0.150266,-0.159885,0.587018,0.515476
17,-0.172890,-0.189288,0.553246,0.515476
18,-0.188478,-0.208836,0.527693,0.515476
19,-0.199349,-0.222891,0.508338,0.515476
20,-0.207260,-0.234766,0.491458,0.515476
21,-0.213687,-0.245878,0.478212,0.515475
22,-0.217420,-0.251588,0.468867,0.515475
23,-0.220308,-0.257105,0.462172,0.515476
24,-0.221531,-0.259673,0.459007,0.515476
25,-0.223807,-0.265671,0.457715,0.515475
26,-0.223526,-0.266680,0.456000,0.515476
27,-0.226372,-0.273547,0.455747,0.515476
28,-0.226349,-0.274798,0.454755,0.515476
29,-0.230038,-0.282466,0.454543,0.515476
30,-0.230880,-0.283529,0.453662,0.515477
31,-0.235624,-0.291125,0.453076,0.515475
32,-0.237142,-0.291182,0.452717,0.515476
33,-0.240717,-0.294053,0.451402,0.515476
34,-0.242754,-0.294417,0.450875,0.515476
35,-0.247111,-0.297721,0.449301,0.515477
36,-0.249378,-0.298177,0.448884,0.515476
37,-0.252967,-0.301058,0.447573,0.515476
38,-0.253539,-0.300409,0.447805,0.515476
39,-0.254910,-0.302001,0.447136,0.515477
40,-0.254912,-0.302355,0.447308,0.515476
41,-0.255800,-0.303513,0.447294,0.515476
42,-0.254981,-0.302365,0.447282,0.515476
43,-0.255919,-0.303577,0.447246,0.515476
44,-0.255196,-0.302558,0.447204,0.515476
45,-0.256259,-0.303885,0.447089,0.515476
46,-0.255597,-0.302883,0.446989,0.515476
47,-0.256609,-0.304051,0.446837,0.515476
48,-0.255900,-0.302985,0.446749,0.515476
49,-0.256878,-0.304152,0.446604,0.515476
50,-0.256141,-0.303125,0.446553,0.515477
51,-0.257074,-0.304262,0.446428,0.515477
52,-0.256764,-0.303961,0.446194,0.515477
53,-0.257477,-0.304797,0.446406,0.515476
54,-0.256691,-0.303771,0.446154,0.515475
55,-0.257381,-0.304593,0.446396,0.515477
56,-0.256631,-0.303644,0.446145,0.515475
57,-0.257340,-0.304508,0.446396,0.515476
58,-0.256605,-0.303589,0.446143,0.515476
59,-0.257321,-0.304469,0.446395,0.515476
60,-0.256594,-0.303566,0.446142,0.515476
61,-0.257312,-0.304451,0.446394,0.515476
62,-0.256588,-0.303554,0.446142,0.515476
63,-0.257308,-0.304443,0.446395,0.515475
64,-0.256586,-0.303549,0.446142,0.515475
65,-0.257306,-0.304439,0.446395,0.515477
66,-0.256582,-0.303541,0.446140,0.515476
67,-0.257302,-0.304430,0.446395,0.515476
68,-0.256580,-0.303537,0.446140,0.515476
69,-0.257300,-0.304427,0.446395,0.515475
70,-0.256580,-0.303537,0.446141,0.515475
71,-0.257300,-0.304427,0.446395,0.515476
72,-0.256579,-0.303535,0.446140,0.515476
73,-0.257300,-0.304425,0.446395,0.515475
74,-0.256579,-0.303535,0.446141,0.515475
