sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,move,nelx,nely,nu,penal,rmin,save_every,scale_factor,tol_change,tol_obj,verbose,void_size_frac,volfrac,window_size
0,hourglass,auxetic,True,-0.5160938189228306,-0.4222695044712916,0.16925057365383311,67,True,9.92,,199.0,1e-09,2,150,0.104845,50,50,0.3,3.059103,1.204016,9999,1,0.01,0.05,False,0.314803,0.513029,20
1,hourglass,auxetic,True,-0.6593314417300881,-0.4283482328565648,0.13182021145906897,119,True,16.5,,199.0,1e-09,2,150,0.100429,50,50,0.3,3.066222,1.195568,9999,1,0.01,0.05,False,0.337547,0.531455,20
2,hourglass,auxetic,True,-0.5304649484981351,-0.49240735547196945,0.10831204792286486,68,True,9.46,,199.0,1e-09,2,150,0.121868,50,50,0.3,3.101585,1.134257,9999,1,0.01,0.05,False,0.314011,0.527783,20
3,hourglass,auxetic,True,-0.5924561847505553,-0.4409029954619766,0.08425271019505332,150,True,20.3,,199.0,1e-09,2,150,0.12124,50,50,0.3,2.884405,1.10116,9999,1,0.01,0.05,False,0.290793,0.55778,20
4,hourglass,auxetic,True,-0.6172639936643852,-0.42328400801282423,0.11529020492855901,84,True,11.26,,199.0,1e-09,2,150,0.103975,50,50,0.3,3.285472,1.195118,9999,1,0.01,0.05,False,0.29824,0.568341,20
5,hourglass,auxetic,True,-0.6313254427846714,-0.40912181236655687,0.17858931472334327,52,True,7.54,,199.0,1e-09,2,150,0.09345,50,50,0.3,3.061795,1.236991,9999,1,0.01,0.05,False,0.304456,0.550082,20
6,hourglass,auxetic,True,-0.6029331990046548,-0.4517661304529354,0.09719184802327574,59,True,9.29,,199.0,1e-09,2,150,0.129796,50,50,0.3,3.406023,1.144495,9999,1,0.01,0.05,False,0.304255,0.510676,20
7,hourglass,auxetic,True,-0.5792481914999609,-0.41119854076855655,0.15587622175888138,99,True,14.09,,199.0,1e-09,2,150,0.078646,50,50,0.3,2.980802,1.161972,9999,1,0.01,0.05,False,0.339618,0.507677,20
8,hourglass,auxetic,True,-0.6282482886619533,-0.45554197279312747,0.09564438792064389,150,True,22.04,,199.0,1e-09,2,150,0.135579,50,50,0.3,3.041056,1.177155,9999,1,0.01,0.05,False,0.303883,0.567931,20
9,hourglass,auxetic,True,-0.6498570980024595,-0.4215523155957119,0.1477376278367709,63,True,9.46,,199.0,1e-09,2,150,0.102055,50,50,0.3,2.599826,1.165992,9999,1,0.01,0.05,False,0.371684,0.50382,20
10,hourglass,auxetic,True,-0.6699799448952896,-0.4216048707160487,0.07076773472889575,56,True,8.11,,199.0,1e-09,2,150,0.129385,50,50,0.3,3.376436,1.06421,9999,1,0.01,0.05,False,0.347894,0.552594,20
11,hourglass,auxetic,True,-0.6434840210124383,-0.4246802599336859,0.07781043511737373,80,True,10.85,,199.0,1e-09,2,150,0.124028,50,50,0.3,3.458117,1.126995,9999,1,0.01,0.05,False,0.338582,0.558733,20
12,hourglass,auxetic,True,-0.6024567622233733,-0.4813588768716689,0.10875604054133792,37,True,4.93,,199.0,1e-09,2,150,0.129917,50,50,0.3,2.656048,1.076357,9999,1,0.01,0.05,False,0.317536,0.545547,20
13,hourglass,auxetic,True,-0.6452010304628742,-0.44663392454794726,0.08009941077296834,58,True,8.48,,199.0,1e-09,2,150,0.14394,50,50,0.3,3.243953,1.146619,9999,1,0.01,0.05,False,0.348425,0.579734,20
14,hourglass,auxetic,True,-0.6486979804146483,-0.4217114468314699,0.10160835896152598,108,True,15.97,,199.0,1e-09,2,150,0.07575,50,50,0.3,2.675933,1.244379,9999,1,0.01,0.05,False,0.378161,0.55634,20
15,hourglass,auxetic,True,-0.668078005407571,-0.4534831063112149,0.03924839027663174,150,True,21.42,,199.0,1e-09,2,150,0.142022,50,50,0.3,3.3037,1.120433,9999,1,0.01,0.05,False,0.336254,0.581402,20
16,hourglass,auxetic,True,-0.635683149418986,-0.44270832455459525,0.039696642390601,150,True,21.3,,199.0,1e-09,2,150,0.131413,50,50,0.3,3.016713,1.078818,9999,1,0.01,0.05,False,0.362738,0.54068,20
17,hourglass,auxetic,True,-0.52825284606,-0.4558553863987189,0.06977008087304482,79,True,11.11,,199.0,1e-09,2,150,0.125837,50,50,0.3,3.421374,1.140177,9999,1,0.01,0.05,False,0.295495,0.519003,20
18,hourglass,auxetic,True,-0.6451240167469677,-0.42527228002712664,0.14293277969289853,39,True,5.08,,199.0,1e-09,2,150,0.113641,50,50,0.3,3.030503,1.226902,9999,1,0.01,0.05,False,0.351686,0.554433,20
19,hourglass,auxetic,True,-0.7000633686832675,-0.40445052709348006,0.13556412430123144,49,True,7.31,,199.0,1e-09,2,150,0.098545,50,50,0.3,3.064496,1.124866,9999,1,0.01,0.05,False,0.361562,0.579622,20
20,hourglass,auxetic,True,-0.575507134623852,-0.4739659360014553,0.1046482451757681,58,True,7.81,,199.0,1e-09,2,150,0.118174,50,50,0.3,3.361305,1.208073,9999,1,0.01,0.05,False,0.330226,0.51473,20
21,hourglass,auxetic,True,-0.6001256549833014,-0.47485612581080566,0.15266207964617495,48,True,7.03,,199.0,1e-09,2,150,0.134675,50,50,0.3,3.141484,1.222747,9999,1,0.01,0.05,False,0.336693,0.504707,20
