Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.941200
1,0.295178,0.295832,4.318361,0.811990
2,0.294718,0.295472,2.875221,0.682780
3,0.294718,0.295472,2.210910,0.581712
4,0.273167,0.273799,1.933041,0.581713
5,0.188291,0.190177,1.675345,0.581712
6,0.130533,0.137969,1.543813,0.581712
7,0.064009,0.084162,1.414869,0.581712
8,0.085724,0.106485,1.303780,0.581713
9,0.087831,0.107150,1.233233,0.581712
10,0.085320,0.108023,1.197608,0.581712
11,0.075973,0.103441,1.170551,0.581713
12,0.069467,0.096711,1.143016,0.581711
13,0.062032,0.086853,1.110381,0.581712
14,0.053209,0.076266,1.077428,0.581711
15,0.045875,0.066795,1.042724,0.581712
16,0.036554,0.054249,0.999360,0.581713
17,0.021866,0.033560,0.943481,0.581713
18,0.009708,0.015264,0.897089,0.581711
19,0.003081,0.004827,0.865330,0.581712
20,-0.003491,-0.005518,0.846437,0.581713
21,-0.009418,-0.014770,0.830346,0.581712
22,-0.015414,-0.023754,0.813843,0.581712
23,-0.024079,-0.036765,0.793970,0.581712
24,-0.032631,-0.049350,0.775772,0.581711
25,-0.043742,-0.066328,0.757607,0.581712
26,-0.055193,-0.083653,0.740186,0.581711
27,-0.066070,-0.097859,0.726190,0.581712
28,-0.079647,-0.115310,0.713665,0.581712
29,-0.093531,-0.129823,0.704157,0.581713
30,-0.109237,-0.144108,0.696004,0.581712
31,-0.127602,-0.159208,0.689410,0.581713
32,-0.145564,-0.171495,0.684404,0.581712
33,-0.161917,-0.183960,0.679948,0.581712
34,-0.168408,-0.188515,0.674716,0.581711
35,-0.177542,-0.195151,0.670011,0.581712
36,-0.184685,-0.201259,0.665141,0.581711
37,-0.189723,-0.205893,0.661592,0.581711
38,-0.192257,-0.209039,0.658627,0.581712
39,-0.196700,-0.215723,0.656613,0.581712
40,-0.197363,-0.218330,0.653186,0.581713
41,-0.205128,-0.228156,0.649659,0.581712
42,-0.207095,-0.232767,0.644547,0.581712
43,-0.210780,-0.240975,0.639257,0.581712
44,-0.217260,-0.249460,0.634600,0.581711
45,-0.221269,-0.258185,0.629606,0.581713
46,-0.229907,-0.264714,0.627763,0.581713
47,-0.242373,-0.273718,0.626842,0.581713
48,-0.256629,-0.281259,0.625581,0.581711
49,-0.280961,-0.295148,0.624201,0.581711
50,-0.301255,-0.302300,0.623808,0.581712
51,-0.282245,-0.296303,0.623273,0.581713
52,-0.302392,-0.303143,0.622826,0.581712
53,-0.283270,-0.297038,0.622497,0.581711
54,-0.303086,-0.303586,0.622090,0.581712
55,-0.283885,-0.297398,0.621847,0.581713
56,-0.308027,-0.306755,0.621299,0.581711
57,-0.332681,-0.314908,0.621014,0.581712
58,-0.308157,-0.306499,0.620899,0.581712
59,-0.333000,-0.315005,0.620608,0.581711
60,-0.308445,-0.306583,0.620633,0.581712
61,-0.333158,-0.315066,0.620462,0.581713
62,-0.308603,-0.306656,0.620552,0.581712
63,-0.333201,-0.315073,0.620410,0.581713
64,-0.308682,-0.306673,0.620474,0.581712
65,-0.333316,-0.315089,0.620243,0.581713
66,-0.308834,-0.306706,0.620261,0.581711
67,-0.333503,-0.315146,0.619988,0.581712
68,-0.309054,-0.306794,0.620007,0.581711
69,-0.333798,-0.315300,0.619692,0.581712
70,-0.309388,-0.306969,0.619692,0.581712
71,-0.334204,-0.315575,0.619327,0.581712
72,-0.309768,-0.307227,0.619342,0.581712
73,-0.334624,-0.315865,0.618880,0.581713
74,-0.310134,-0.307432,0.618964,0.581713
75,-0.334902,-0.315986,0.618512,0.581711
76,-0.310319,-0.307476,0.618712,0.581712
77,-0.335011,-0.315998,0.618327,0.581712
78,-0.310382,-0.307481,0.618624,0.581711
79,-0.335008,-0.315986,0.618301,0.581712
80,-0.310404,-0.307489,0.618621,0.581712
81,-0.335020,-0.315989,0.618298,0.581711
82,-0.310423,-0.307498,0.618621,0.581712
83,-0.335036,-0.315996,0.618294,0.581712
84,-0.310448,-0.307513,0.618619,0.581712
85,-0.335064,-0.316019,0.618289,0.581713
86,-0.310491,-0.307548,0.618616,0.581712
87,-0.335014,-0.316037,0.618233,0.581711
88,-0.310557,-0.307616,0.618601,0.581712
89,-0.334815,-0.316014,0.618108,0.581711
90,-0.310623,-0.307696,0.618563,0.581712
91,-0.334677,-0.315994,0.618036,0.581713
92,-0.310622,-0.307716,0.618551,0.581713
93,-0.334726,-0.316035,0.618038,0.581712
94,-0.310614,-0.307723,0.618550,0.581712
