Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.495764
1,0.281333,0.256111,1.857705,0.502028
2,0.195781,0.151826,1.691649,0.532964
3,0.096926,0.071299,1.487164,0.532964
4,0.041571,0.031692,1.355822,0.532965
5,0.002258,0.001912,1.191913,0.532965
6,-0.066882,-0.053702,0.949461,0.532965
7,-0.142417,-0.115768,0.770127,0.532965
8,-0.241856,-0.181270,0.619677,0.532965
9,-0.362443,-0.245516,0.505661,0.532964
10,-0.453828,-0.298541,0.408525,0.532964
11,-0.485225,-0.323711,0.351266,0.532965
12,-0.488918,-0.339588,0.309282,0.532966
13,-0.494488,-0.353611,0.283562,0.532965
14,-0.503725,-0.366855,0.262587,0.532965
15,-0.521548,-0.380996,0.242524,0.532964
16,-0.537630,-0.392957,0.222664,0.532965
17,-0.554188,-0.403636,0.210112,0.532965
18,-0.571543,-0.411765,0.200006,0.532965
19,-0.589786,-0.418477,0.190766,0.532965
20,-0.609518,-0.425541,0.182344,0.532964
21,-0.628606,-0.432866,0.175169,0.532966
22,-0.646654,-0.439108,0.168956,0.532966
23,-0.661690,-0.443149,0.164023,0.532965
24,-0.673668,-0.445640,0.159956,0.532965
25,-0.677603,-0.446414,0.156011,0.532965
26,-0.680719,-0.446205,0.151493,0.532965
27,-0.682957,-0.445263,0.146949,0.532966
28,-0.685003,-0.443784,0.142336,0.532966
29,-0.686139,-0.441267,0.137334,0.532966
30,-0.686395,-0.438588,0.132665,0.532964
31,-0.687504,-0.436062,0.128488,0.532966
32,-0.687588,-0.433445,0.124524,0.532965
33,-0.687761,-0.431648,0.121556,0.532964
34,-0.687211,-0.429972,0.119132,0.532965
35,-0.687023,-0.429520,0.118025,0.532964
36,-0.686081,-0.429499,0.117369,0.532965
37,-0.685904,-0.429452,0.116745,0.532966
38,-0.684896,-0.429413,0.116154,0.532966
39,-0.685107,-0.429335,0.115701,0.532965
40,-0.684412,-0.429285,0.115291,0.532966
41,-0.684741,-0.429295,0.114933,0.532965
42,-0.684189,-0.429347,0.114649,0.532966
43,-0.684611,-0.429381,0.114508,0.532966
44,-0.684215,-0.429364,0.114479,0.532966
45,-0.684636,-0.429373,0.114435,0.532966
46,-0.684159,-0.429406,0.114349,0.532966
47,-0.684501,-0.429488,0.114200,0.532965
48,-0.683944,-0.429592,0.113993,0.532964
49,-0.684171,-0.429707,0.113753,0.532966
50,-0.683547,-0.429827,0.113498,0.532965
51,-0.683793,-0.429958,0.113252,0.532965
52,-0.683203,-0.430085,0.113024,0.532965
53,-0.683438,-0.430211,0.112810,0.532965
54,-0.682846,-0.430332,0.112616,0.532965
55,-0.683140,-0.430440,0.112440,0.532965
