Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.195178
1,0.107488,0.191431,1.999677,0.303211
2,0.092667,0.299415,1.982852,0.331649
3,0.000449,0.189756,1.898269,0.401033
4,0.002807,0.104792,1.751181,0.460988
5,-0.005349,-0.191164,1.566451,0.526117
6,-0.019023,-0.574881,1.349209,0.561629
7,-0.032960,-1.103432,1.126041,0.561628
8,-0.048805,-1.395125,0.981449,0.561630
9,-0.058022,-1.518232,0.899985,0.561629
10,-0.064103,-1.624505,0.850708,0.561630
11,-0.067411,-1.694437,0.824432,0.561630
12,-0.070222,-1.754429,0.804408,0.561630
13,-0.072148,-1.794347,0.790750,0.561629
14,-0.073552,-1.815122,0.779602,0.561628
15,-0.075652,-1.859819,0.767488,0.561628
16,-0.076962,-1.869727,0.760075,0.561629
17,-0.077486,-1.866471,0.756988,0.561629
18,-0.077735,-1.861339,0.755481,0.561629
19,-0.077959,-1.853676,0.754120,0.561629
20,-0.078255,-1.845045,0.752683,0.561628
21,-0.078482,-1.838231,0.751381,0.561630
22,-0.078756,-1.834038,0.750057,0.561628
23,-0.079052,-1.830644,0.748642,0.561629
24,-0.079343,-1.827932,0.747189,0.561629
25,-0.079543,-1.825912,0.746098,0.561628
26,-0.079655,-1.824277,0.745407,0.561630
27,-0.079724,-1.824193,0.745034,0.561629
28,-0.079779,-1.824806,0.744941,0.561630
29,-0.079817,-1.825810,0.744900,0.561630
30,-0.079861,-1.827032,0.744841,0.561629
31,-0.079926,-1.828557,0.744762,0.561628
32,-0.079993,-1.829912,0.744660,0.561629
33,-0.080055,-1.830576,0.744537,0.561628
34,-0.080085,-1.829869,0.744437,0.561630
35,-0.080103,-1.829643,0.744366,0.561629
36,-0.080138,-1.830284,0.744299,0.561630
37,-0.080173,-1.830681,0.744228,0.561628
38,-0.080213,-1.831615,0.744161,0.561628
39,-0.080244,-1.832329,0.744112,0.561629
40,-0.080299,-1.833638,0.744004,0.561629
41,-0.080365,-1.834702,0.743833,0.561628
42,-0.080434,-1.835551,0.743617,0.561629
43,-0.080501,-1.836074,0.743381,0.561629
44,-0.080576,-1.836526,0.743145,0.561629
45,-0.080665,-1.836878,0.742926,0.561629
46,-0.080701,-1.836687,0.742811,0.561630
47,-0.080740,-1.836704,0.742694,0.561629
48,-0.080787,-1.836770,0.742562,0.561629
49,-0.080842,-1.836915,0.742405,0.561629
50,-0.080887,-1.837047,0.742257,0.561629
51,-0.080912,-1.837241,0.742153,0.561630
52,-0.080936,-1.837779,0.742045,0.561629
53,-0.080959,-1.838415,0.741938,0.561629
54,-0.080964,-1.838859,0.741870,0.561629
55,-0.080956,-1.839025,0.741838,0.561629
56,-0.080955,-1.839179,0.741824,0.561629
57,-0.080954,-1.839179,0.741817,0.561630
