seed,objective,batch_id
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
circle,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
cross_rectangular,auxetic,2
