Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.882800
1,0.356407,0.356407,3.352031,0.794520
2,0.380946,0.380946,1.872697,0.706240
3,0.380946,0.380946,0.940744,0.617960
4,0.380946,0.380946,0.429511,0.550800
5,0.424844,0.424844,0.192835,0.492382
6,0.453150,0.453150,0.062647,0.465106
7,0.406806,0.406806,0.017224,0.447072
8,0.363187,0.363187,-0.062869,0.450702
9,0.321466,0.321466,-0.197501,0.450711
10,0.303099,0.303099,-0.416481,0.463767
11,0.300000,0.300000,-0.741286,0.494735
12,0.300000,0.300000,-1.063958,0.536357
13,0.300000,0.300000,-1.422361,0.575724
14,0.300700,0.300700,-1.705060,0.606638
15,0.300001,0.300001,-1.995610,0.636827
16,0.300874,0.300874,-2.217092,0.660617
17,0.300071,0.300071,-2.441963,0.687704
18,0.301450,0.301450,-2.653632,0.711592
19,0.301013,0.301013,-2.879930,0.731096
20,0.302268,0.302268,-3.060602,0.750602
21,0.304185,0.304185,-3.257544,0.671842
22,0.302989,0.302989,-2.385871,0.750602
23,0.304185,0.304185,-3.333252,0.671842
24,0.302989,0.302989,-2.429847,0.750602
25,0.304185,0.304185,-3.381706,0.671842
26,0.302989,0.302989,-2.457992,0.750602
27,0.304185,0.304185,-3.412716,0.671842
28,0.302989,0.302989,-2.476005,0.750602
29,0.304185,0.304185,-3.432563,0.671842
30,0.302989,0.302989,-2.487533,0.750602
31,0.304185,0.304185,-3.445264,0.671842
32,0.302989,0.302989,-2.494911,0.750602
33,0.304185,0.304185,-3.453393,0.671842
34,0.302989,0.302989,-2.499633,0.750602
35,0.304185,0.304185,-3.458596,0.671842
36,0.302989,0.302989,-2.502655,0.750602
37,0.304185,0.304185,-3.461926,0.671842
38,0.302989,0.302989,-2.504589,0.750602
39,0.304185,0.304185,-3.464057,0.671842
40,0.302989,0.302989,-2.505827,0.750602
41,0.304185,0.304185,-3.465421,0.671842
42,0.302989,0.302989,-2.506619,0.750602
43,0.304185,0.304185,-3.466294,0.671842
44,0.302989,0.302989,-2.507126,0.750602
45,0.304185,0.304185,-3.466852,0.671842
46,0.302989,0.302989,-2.507450,0.750602
47,0.304185,0.304185,-3.467210,0.671842
48,0.302989,0.302989,-2.507658,0.750602
