Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.902800
1,0.331081,0.344410,3.163252,0.812520
2,0.361641,0.365994,1.752687,0.722240
3,0.361641,0.365994,0.887015,0.631960
4,0.361641,0.365994,0.409894,0.561520
5,0.398174,0.411460,0.191362,0.497784
6,0.414427,0.454113,0.069268,0.464964
7,0.369034,0.405649,0.041125,0.437647
8,0.345752,0.366662,-0.038811,0.436418
9,0.323154,0.327192,-0.173602,0.445917
10,0.304410,0.305004,-0.366672,0.470645
11,0.300000,0.300000,-0.664373,0.510385
12,0.300000,0.300000,-0.986290,0.562081
13,0.300038,0.300033,-1.366589,0.485366
14,0.300000,0.300000,-1.068510,0.560898
15,0.300020,0.300019,-1.650922,0.485366
16,0.300000,0.300000,-1.228082,0.560898
17,0.300020,0.300019,-1.833035,0.485366
18,0.300000,0.300000,-1.330207,0.560898
19,0.300020,0.300019,-1.949588,0.485366
20,0.300000,0.300000,-1.395568,0.560898
21,0.300020,0.300019,-2.024181,0.485366
22,0.300000,0.300000,-1.437399,0.560898
23,0.300020,0.300019,-2.071921,0.485366
24,0.300000,0.300000,-1.464170,0.560898
25,0.300020,0.300019,-2.102474,0.485366
26,0.300000,0.300000,-1.481304,0.560898
27,0.300020,0.300019,-2.122029,0.485366
28,0.300000,0.300000,-1.492270,0.560898
29,0.300020,0.300019,-2.134543,0.485366
30,0.300000,0.300000,-1.499288,0.560898
31,0.300020,0.300019,-2.142553,0.485366
32,0.300000,0.300000,-1.503779,0.560898
33,0.300020,0.300019,-2.147679,0.485366
34,0.300000,0.300000,-1.506654,0.560898
35,0.300020,0.300019,-2.150959,0.485366
36,0.300000,0.300000,-1.508494,0.560898
37,0.300020,0.300019,-2.153059,0.485366
38,0.300000,0.300000,-1.509671,0.560898
39,0.300020,0.300019,-2.154403,0.485366
40,0.300000,0.300000,-1.510425,0.560898
41,0.300020,0.300019,-2.155263,0.485366
42,0.300000,0.300000,-1.510907,0.560898
43,0.300020,0.300019,-2.155813,0.485366
44,0.300000,0.300000,-1.511216,0.560898
45,0.300020,0.300019,-2.156165,0.485366
46,0.300000,0.300000,-1.511413,0.560898
47,0.300020,0.300019,-2.156391,0.485366
48,0.300000,0.300000,-1.511539,0.560898
49,0.300020,0.300019,-2.156535,0.485366
50,0.300000,0.300000,-1.511620,0.560898
51,0.300020,0.300019,-2.156627,0.485366
52,0.300000,0.300000,-1.511672,0.560898
53,0.300020,0.300019,-2.156687,0.485366
54,0.300000,0.300000,-1.511705,0.560898
55,0.300020,0.300019,-2.156724,0.485366
56,0.300000,0.300000,-1.511727,0.560898
57,0.300020,0.300019,-2.156749,0.485366
58,0.300000,0.300000,-1.511740,0.560898
