Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.298564
1,0.366669,0.566377,79.338048,0.320968
2,0.222369,0.266587,76.899642,0.320969
3,0.214538,0.227725,69.527808,0.320968
4,0.163696,0.172589,59.323527,0.320967
5,0.145438,0.151366,48.600309,0.320968
6,0.152382,0.156008,38.333727,0.320967
7,0.168918,0.171793,28.463768,0.320967
8,0.183897,0.186498,20.854185,0.320968
9,0.168251,0.170409,20.725705,0.320968
10,0.155263,0.157033,20.825760,0.320968
11,0.144904,0.146466,20.978669,0.320967
12,0.137835,0.139007,21.096445,0.320967
13,0.133712,0.134526,21.178319,0.320967
14,0.130687,0.131321,21.253710,0.320969
15,0.127765,0.128235,21.327768,0.320968
16,0.124978,0.125294,21.396033,0.320969
17,0.122773,0.123013,21.457204,0.320968
18,0.121406,0.121683,21.496023,0.320967
19,0.120296,0.120556,21.529252,0.320968
20,0.119299,0.119525,21.559875,0.320969
21,0.118352,0.118544,21.588944,0.320967
22,0.117444,0.117602,21.616579,0.320968
23,0.116556,0.116680,21.642132,0.320969
24,0.115707,0.115805,21.665126,0.320968
25,0.114953,0.115044,21.684598,0.320968
26,0.114309,0.114418,21.699914,0.320968
27,0.113845,0.113972,21.710935,0.320968
28,0.113423,0.113571,21.720197,0.320968
29,0.112997,0.113174,21.728232,0.320968
30,0.112579,0.112788,21.734863,0.320968
31,0.112243,0.112479,21.739968,0.320969
32,0.112046,0.112311,21.744054,0.320967
33,0.111923,0.112214,21.747966,0.320969
34,0.111821,0.112125,21.751601,0.320968
35,0.111724,0.112036,21.755578,0.320968
36,0.111624,0.111943,21.759503,0.320967
37,0.111522,0.111848,21.763665,0.320969
38,0.111413,0.111748,21.767598,0.320968
39,0.111303,0.111646,21.771868,0.320968
40,0.111189,0.111540,21.776149,0.320968
41,0.111070,0.111430,21.780400,0.320967
42,0.110949,0.111317,21.784862,0.320968
43,0.110822,0.111198,21.789197,0.320969
44,0.110693,0.111077,21.793625,0.320969
45,0.110559,0.110952,21.798078,0.320968
46,0.110424,0.110823,21.802620,0.320968
47,0.110285,0.110692,21.807109,0.320967
48,0.110158,0.110566,21.811900,0.320969
49,0.110024,0.110433,21.816457,0.320967
50,0.109891,0.110300,21.821417,0.320967
51,0.109754,0.110162,21.826264,0.320969
52,0.109612,0.110019,21.830936,0.320969
53,0.109471,0.109876,21.835808,0.320968
54,0.109330,0.109731,21.840703,0.320967
55,0.109189,0.109585,21.845550,0.320968
56,0.109051,0.109438,21.850388,0.320967
57,0.108916,0.109292,21.855287,0.320968
58,0.108780,0.109142,21.859911,0.320968
59,0.108648,0.108997,21.864517,0.320968
60,0.108517,0.108852,21.868849,0.320967
61,0.108393,0.108711,21.872983,0.320968
62,0.108272,0.108573,21.876667,0.320968
63,0.108167,0.108465,21.880029,0.320968
64,0.108066,0.108359,21.883277,0.320968
65,0.107968,0.108257,21.886380,0.320968
66,0.107875,0.108158,21.889324,0.320967
67,0.107787,0.108064,21.892136,0.320968
68,0.107702,0.107971,21.894815,0.320968
69,0.107621,0.107881,21.897241,0.320968
70,0.107546,0.107798,21.899502,0.320968
71,0.107477,0.107720,21.901506,0.320968
72,0.107413,0.107646,21.903257,0.320967
73,0.107357,0.107581,21.904859,0.320968
74,0.107302,0.107517,21.906051,0.320968
75,0.107255,0.107463,21.907276,0.320968
76,0.107207,0.107413,21.908388,0.320968
77,0.107167,0.107369,21.909535,0.320968
78,0.107132,0.107328,21.910679,0.320968
79,0.107098,0.107289,21.911663,0.320968
80,0.107067,0.107253,21.912576,0.320968
81,0.107041,0.107221,21.913421,0.320968
82,0.107016,0.107190,21.914121,0.320968
83,0.106993,0.107161,21.914682,0.320968
84,0.106974,0.107136,21.915195,0.320968
85,0.106956,0.107113,21.915587,0.320968
86,0.106940,0.107091,21.915865,0.320967
87,0.106930,0.107074,21.916125,0.320968
88,0.106917,0.107056,21.916209,0.320967
89,0.106910,0.107043,21.916296,0.320967
90,0.106903,0.107029,21.916290,0.320968
