Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.462497
1,0.366669,0.566377,0.388747,0.362497
2,0.406190,0.518486,0.151676,0.262497
3,0.430725,0.559186,0.058978,0.169673
4,0.429916,0.578710,0.011379,0.083633
5,0.429916,0.578710,0.000678,0.034564
6,0.300000,0.300000,0.003022,0.017037
7,0.300000,0.300000,0.000193,0.000000
8,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000
