sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,nelx,nely,nu,save_every,scale_factor,tol_change,tol_obj,void_size_frac,volfrac,window_size
0,circle,auxetic,True,0.16099405430674738,0.16099405430674807,33.56285768572745,38,True,7.54,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.205228,0.380277,20
1,circle,auxetic,True,0.2131492091360909,0.2131492091360918,82.08993570838302,38,True,7.26,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.27573,0.543497,20
2,circle,auxetic,True,0.23230332546140092,0.23230332546140395,31.72044713873065,38,True,7.46,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.230598,0.357626,20
3,circle,auxetic,True,0.2130863147875366,0.2132689568527243,119.31565436812042,150,True,26.72,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.204894,0.608242,20
4,circle,auxetic,True,0.16091602368074312,0.16091602368074498,51.518320879570524,31,True,6.26,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.324935,0.458957,20
5,circle,auxetic,True,0.3831679178270021,0.3831679178270106,55.77984014198859,33,True,6.39,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.144302,0.42528,20
6,circle,auxetic,True,0.42719301232845136,0.42719301232846413,32.864710078097346,44,True,8.65,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.119605,0.31704,20
7,circle,auxetic,True,0.19994127009518528,0.19994127009519086,33.39694925568887,41,True,7.72,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.213863,0.374969,20
8,circle,auxetic,True,0.1261348314517431,0.12613483145173468,87.58477971974386,33,True,6.3,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.354287,0.577716,20
9,circle,auxetic,True,0.26319999991114745,0.2631999999111199,38.877868794981666,48,True,8.97,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.241449,0.38688,20
10,circle,auxetic,True,0.1507568584795715,0.1507568584795685,37.242016272401244,42,True,7.88,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.361861,0.403551,20
11,circle,auxetic,True,0.2322469565071304,0.23224695650713073,44.31875556172815,41,True,7.72,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.267455,0.413947,20
12,circle,auxetic,True,0.3314492546161981,0.3314492546162176,51.102217361655725,33,True,6.34,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.19241,0.419887,20
13,circle,auxetic,True,0.13767374300133767,0.13767374300133706,80.55408279671462,32,True,6.02,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.337827,0.556647,20
14,circle,auxetic,True,0.20032390805709624,0.20032928861188568,145.8409624270517,150,True,27.99,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.199443,0.650199,20
15,circle,auxetic,True,0.11364966846442008,0.11364966846442213,25.454413604659656,43,True,8.25,,199.0,1e-09,2,150,50,50,0.3,9999,1,0.01,0.05,0.392649,0.337844,20
