Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.977200
1,0.239238,0.239238,332.058996,0.879480
2,0.305843,0.305843,339.167172,0.781760
3,0.305843,0.305843,349.235982,0.686793
4,0.300798,0.300798,359.289572,0.686794
5,0.239061,0.239061,335.458490,0.686793
6,0.302649,0.302649,280.701421,0.686793
7,0.323820,0.323820,218.056138,0.686794
8,0.329269,0.329269,210.158888,0.686793
9,0.324790,0.324790,204.496239,0.686793
10,0.326662,0.326662,198.444009,0.686794
11,0.324939,0.324939,191.446090,0.686794
12,0.322050,0.322050,184.271825,0.686793
13,0.316434,0.316434,178.350144,0.686794
14,0.314161,0.314161,177.029993,0.686793
15,0.310550,0.310550,176.296290,0.686793
16,0.303477,0.303477,176.397369,0.686792
17,0.288985,0.288985,178.282503,0.686792
18,0.271833,0.271833,180.081563,0.686792
19,0.255995,0.255995,181.063410,0.686793
20,0.246375,0.246375,181.387355,0.686794
21,0.239894,0.239894,181.460874,0.686793
22,0.235880,0.235880,181.616157,0.686793
23,0.232963,0.232963,181.884261,0.686793
24,0.228706,0.228706,182.050592,0.686793
25,0.224096,0.224096,182.061987,0.686794
26,0.219663,0.219663,181.911010,0.686793
27,0.215537,0.215537,181.786265,0.686794
28,0.214207,0.214207,182.040675,0.686793
29,0.214226,0.214226,182.490183,0.686793
30,0.214436,0.214436,182.943711,0.686793
31,0.214558,0.214558,183.332300,0.686792
32,0.213927,0.213927,183.722747,0.686794
33,0.213209,0.213209,184.139699,0.686793
34,0.213147,0.213146,184.614787,0.686793
35,0.213966,0.213961,185.095782,0.686792
36,0.213646,0.213635,185.454990,0.686793
37,0.213370,0.213305,185.207876,0.686793
38,0.210402,0.210299,185.394107,0.686792
39,0.210748,0.210434,184.840816,0.686793
40,0.210844,0.210198,185.053374,0.686793
41,0.211121,0.209359,184.449173,0.686793
42,0.214013,0.211317,183.792244,0.686794
43,0.215212,0.211291,181.354597,0.686793
44,0.213899,0.210287,175.860632,0.686794
45,0.207972,0.206860,168.829150,0.686793
46,0.202045,0.204320,161.905417,0.686793
47,0.199756,0.205272,157.706898,0.686793
48,0.201160,0.208175,156.737278,0.686792
49,0.203439,0.210456,156.784375,0.686793
50,0.206512,0.211885,157.476635,0.686793
51,0.209828,0.211933,158.633534,0.686794
52,0.212505,0.211048,159.771151,0.686793
53,0.213896,0.209055,160.515794,0.686792
54,0.213919,0.206287,160.987566,0.686793
55,0.212932,0.203218,161.312382,0.686793
56,0.211092,0.199746,161.400356,0.686793
57,0.209092,0.196948,161.497717,0.686793
58,0.207030,0.194801,161.501477,0.686794
59,0.205171,0.192824,161.451190,0.686793
60,0.203312,0.190677,161.268913,0.686793
61,0.201501,0.188526,161.031179,0.686793
62,0.199898,0.186615,160.771053,0.686792
63,0.198297,0.184751,160.511967,0.686792
64,0.196839,0.183120,160.300507,0.686794
