Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.910000
1,0.350177,0.350177,130.853892,0.819000
2,0.355061,0.355061,154.073980,0.728000
3,0.355061,0.355061,174.124519,0.637000
4,0.355061,0.355061,190.609150,0.546000
5,0.355061,0.355061,203.497918,0.534658
6,0.102383,0.102383,193.720209,0.534658
7,0.105988,0.105988,163.564721,0.534658
8,0.130339,0.130339,126.921463,0.534659
9,0.141275,0.141275,91.003617,0.534657
10,0.140670,0.140670,85.114003,0.534659
11,0.138917,0.138917,81.929515,0.534658
12,0.137203,0.137203,79.656165,0.534657
13,0.135466,0.135466,77.564496,0.534658
14,0.134176,0.134176,75.835167,0.534659
15,0.133217,0.133217,74.420855,0.534658
16,0.132737,0.132737,73.247016,0.534657
17,0.132722,0.132722,72.382291,0.534658
18,0.132321,0.132321,72.265316,0.534658
19,0.131958,0.131958,72.170560,0.534657
20,0.131803,0.131803,72.091710,0.534658
21,0.132075,0.132075,72.007395,0.534657
22,0.132132,0.132132,71.941149,0.534658
23,0.132083,0.132083,71.912264,0.534658
24,0.132066,0.132066,71.886221,0.534658
25,0.132076,0.132076,71.865622,0.534658
26,0.132075,0.132075,71.847883,0.534657
27,0.132030,0.132030,71.837850,0.534658
28,0.131884,0.131884,71.837142,0.534658
29,0.131793,0.131793,71.836761,0.534659
30,0.131719,0.131719,71.836513,0.534658
31,0.131649,0.131649,71.836124,0.534658
32,0.131583,0.131583,71.834953,0.534658
33,0.131522,0.131522,71.832571,0.534658
34,0.131466,0.131466,71.828440,0.534658
35,0.131416,0.131416,71.821860,0.534659
36,0.131373,0.131373,71.811888,0.534657
37,0.131359,0.131359,71.808120,0.534658
