Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.929200
1,0.294067,0.294067,4.163522,0.825761
2,0.288829,0.288829,3.012708,0.722323
3,0.288829,0.288829,2.449227,0.636402
4,0.273265,0.273265,2.109631,0.607503
5,0.220542,0.220542,1.819588,0.604234
6,0.158028,0.158028,1.609405,0.636401
7,0.115883,0.115883,1.450596,0.636400
8,0.105867,0.105867,1.406297,0.636400
9,0.072996,0.072996,1.288540,0.636401
10,-0.018805,-0.018805,1.079271,0.636401
11,-0.062921,-0.062921,0.874442,0.636400
12,-0.129968,-0.129968,0.699607,0.636400
13,-0.171556,-0.171556,0.548871,0.636401
14,-0.209165,-0.209165,0.429723,0.636402
15,-0.242257,-0.242257,0.327227,0.636401
16,-0.266506,-0.266506,0.252488,0.636401
17,-0.289782,-0.289782,0.191827,0.636400
18,-0.312800,-0.312800,0.150565,0.636401
19,-0.328640,-0.328640,0.119230,0.636401
20,-0.344150,-0.344150,0.094662,0.636401
21,-0.358028,-0.358028,0.076818,0.636401
22,-0.367920,-0.367920,0.065120,0.636401
23,-0.377463,-0.377463,0.055370,0.636402
24,-0.384874,-0.384874,0.048871,0.636400
25,-0.391984,-0.391984,0.043671,0.636402
26,-0.397308,-0.397308,0.039773,0.636402
27,-0.401785,-0.401785,0.036498,0.636402
28,-0.403796,-0.403796,0.034435,0.636401
29,-0.405111,-0.405111,0.032790,0.636401
30,-0.407165,-0.407165,0.031675,0.636401
31,-0.409129,-0.409129,0.030830,0.636401
32,-0.410171,-0.410171,0.030418,0.636401
33,-0.410735,-0.410735,0.030120,0.636400
34,-0.411131,-0.411131,0.029985,0.636401
35,-0.411250,-0.411250,0.029892,0.636401
36,-0.411492,-0.411492,0.029740,0.636401
37,-0.411604,-0.411604,0.029593,0.636401
38,-0.411769,-0.411769,0.029456,0.636402
39,-0.411858,-0.411857,0.029333,0.636400
40,-0.411984,-0.411983,0.029229,0.636401
41,-0.412062,-0.412059,0.029138,0.636402
42,-0.412164,-0.412156,0.029062,0.636401
43,-0.412231,-0.412214,0.029009,0.636401
44,-0.412230,-0.412191,0.029005,0.636401
45,-0.412256,-0.412166,0.029002,0.636400
46,-0.412312,-0.412102,0.029001,0.636401
47,-0.412444,-0.411950,0.029001,0.636402
48,-0.412780,-0.411847,0.029011,0.636401
49,-0.413242,-0.411828,0.029041,0.636400
50,-0.413674,-0.411701,0.029113,0.636402
51,-0.414110,-0.411317,0.029296,0.636401
52,-0.414592,-0.410913,0.029566,0.636400
53,-0.414906,-0.410513,0.029848,0.636401
54,-0.415027,-0.409906,0.030195,0.636400
55,-0.415056,-0.409348,0.030574,0.636401
56,-0.415002,-0.408819,0.030856,0.636402
57,-0.414978,-0.408384,0.030997,0.636401
58,-0.414955,-0.407973,0.031149,0.636401
59,-0.414940,-0.407596,0.031303,0.636400
60,-0.414934,-0.407255,0.031456,0.636401
61,-0.414986,-0.407025,0.031523,0.636401
62,-0.415058,-0.406834,0.031571,0.636402
63,-0.415139,-0.406661,0.031620,0.636401
64,-0.415207,-0.406598,0.031642,0.636402
65,-0.415270,-0.406580,0.031647,0.636401
66,-0.415333,-0.406556,0.031656,0.636401
67,-0.415389,-0.406518,0.031664,0.636401
68,-0.415436,-0.406464,0.031678,0.636401
69,-0.415468,-0.406387,0.031698,0.636401
70,-0.415483,-0.406277,0.031726,0.636401
71,-0.415475,-0.406120,0.031761,0.636401
72,-0.415446,-0.405870,0.031798,0.636401
73,-0.415392,-0.405518,0.031845,0.636401
74,-0.415324,-0.405114,0.031901,0.636401
75,-0.415255,-0.404725,0.031959,0.636402
76,-0.415188,-0.404353,0.032016,0.636400
77,-0.415126,-0.404002,0.032080,0.636401
78,-0.415070,-0.403672,0.032141,0.636401
79,-0.415017,-0.403414,0.032193,0.636401
