sample_id,seed,objective,success,v12,v21,obj_value,n_iters,converged,elapsed_time,error,E0,Emin,ft,max_iter,move,nelx,nely,nu,penal,rmin,save_every,scale_factor,tol_change,tol_obj,verbose,void_size_frac,volfrac,window_size
0,circle,auxetic,True,-0.4093571345204712,-0.434254334010901,1.0051719133038066,150,True,20.6,,199.0,1e-09,2,150,0.110869,50,50,0.3,4.120883,1.060131,9999,1,0.01,0.05,False,0.353973,0.609425,20
1,circle,auxetic,True,-0.3037106061300291,-0.27633723398218185,0.6207307150144901,150,True,22.89,,199.0,1e-09,2,150,0.132322,50,50,0.3,3.601675,1.469247,9999,1,0.01,0.05,False,0.426956,0.628205,20
2,circle,auxetic,True,-0.07258395053244886,-0.07113108029588394,0.8058783845204465,150,True,20.14,,199.0,1e-09,2,150,0.160655,50,50,0.3,3.566473,1.302322,9999,1,0.01,0.05,False,0.42966,0.587877,20
3,circle,auxetic,True,-0.3824006899556906,-0.38033992719796855,0.5763394237680305,150,True,20.97,,199.0,1e-09,2,150,0.187309,50,50,0.3,3.458107,1.199986,9999,1,0.01,0.05,False,0.327962,0.549721,20
4,circle,auxetic,True,-0.45404369617777457,-0.4222483597765657,0.5581380360397912,150,True,22.17,,199.0,1e-09,2,150,0.122831,50,50,0.3,4.264258,1.178653,9999,1,0.01,0.05,False,0.335044,0.567946,20
5,circle,auxetic,True,-0.528193275146347,-0.5480425496884439,0.40022984974866616,150,True,23.67,,199.0,1e-09,2,150,0.093518,50,50,0.3,3.14429,1.072934,9999,1,0.01,0.05,False,0.4064,0.521172,20
6,circle,auxetic,True,-0.23760317246419585,-0.2572711049729794,0.6907178540309755,102,True,11.62,,199.0,1e-09,2,150,0.095742,50,50,0.3,2.650273,1.621187,9999,1,0.01,0.05,False,0.305297,0.58042,20
7,circle,auxetic,True,-0.04149049050845629,-0.04166274786757315,0.8904406136165237,150,True,21.3,,199.0,1e-09,2,150,0.18058,50,50,0.3,4.04913,1.203694,9999,1,0.01,0.05,False,0.355938,0.519155,20
8,circle,auxetic,True,-0.3473059175031315,-0.3285126364471316,0.5360785657776671,150,True,22.22,,199.0,1e-09,2,150,0.141679,50,50,0.3,3.490735,1.184192,9999,1,0.01,0.05,False,0.461222,0.540287,20
9,circle,auxetic,True,-0.27397114438907083,-0.2675874063478891,0.5546612227093287,150,True,21.53,,199.0,1e-09,2,150,0.156981,50,50,0.3,2.750672,1.315273,9999,1,0.01,0.05,False,0.369249,0.633782,20
10,circle,auxetic,True,-0.030287039857210294,-0.030454949789129188,0.8913065017084482,150,True,22.55,,199.0,1e-09,2,150,0.099903,50,50,0.3,2.766848,1.508896,9999,1,0.01,0.05,False,0.298453,0.535057,20
11,circle,auxetic,True,-0.21608559756061996,-0.21609290878196516,0.6899917058317228,150,True,22.41,,199.0,1e-09,2,150,0.146922,50,50,0.3,2.806165,1.656939,9999,1,0.01,0.05,False,0.312743,0.561402,20
12,circle,auxetic,True,-0.1444966751292763,-0.1593332412848812,0.7604134920292105,150,True,21.22,,199.0,1e-09,2,150,0.173506,50,50,0.3,3.089508,1.408487,9999,1,0.01,0.05,False,0.301259,0.531642,20
13,circle,auxetic,True,-0.4788440353250689,-0.47911982442835255,0.41115127343230606,150,True,23.25,,199.0,1e-09,2,150,0.182225,50,50,0.3,4.323211,1.132431,9999,1,0.01,0.05,False,0.423895,0.528756,20
14,circle,auxetic,True,-0.11979226735754317,-0.11681537338402362,1.0037484787554836,150,True,22.05,,199.0,1e-09,2,150,0.150912,50,50,0.3,3.970268,1.401451,9999,1,0.01,0.05,False,0.384965,0.572706,20
15,circle,auxetic,True,-0.4285373025869077,-0.4345383273840259,0.42018675612491085,150,True,21.98,,199.0,1e-09,2,150,0.101688,50,50,0.3,3.403206,1.088197,9999,1,0.01,0.05,False,0.401295,0.497219,20
16,circle,auxetic,True,-0.14462034936904739,-0.14462034936913246,0.7925925165257239,150,True,22.27,,199.0,1e-09,2,150,0.19407,50,50,0.3,2.901899,1.662808,9999,1,0.01,0.05,False,0.295316,0.613082,20
17,circle,auxetic,True,-0.0802705675140709,-0.08027056751413007,0.8782021290589272,150,True,23.01,,199.0,1e-09,2,150,0.167403,50,50,0.3,3.736417,1.52784,9999,1,0.01,0.05,False,0.321264,0.63684,20
18,circle,auxetic,True,-0.4214836221456544,-0.4025203216640913,0.6050487934084278,150,True,23.5,,199.0,1e-09,2,150,0.082412,50,50,0.3,3.519265,1.552297,9999,1,0.01,0.05,False,0.365018,0.590348,20
19,circle,auxetic,True,-0.24397386464487544,-0.25100743252942825,0.7327796929945846,150,True,21.0,,199.0,1e-09,2,150,0.138991,50,50,0.3,3.80573,1.598053,9999,1,0.01,0.05,False,0.335848,0.591551,20
20,circle,auxetic,True,-0.49694955495644605,-0.49567659005845677,0.6153650792415333,150,True,21.58,,199.0,1e-09,2,150,0.193423,50,50,0.3,3.871761,1.163729,9999,1,0.01,0.05,False,0.442565,0.502444,20
21,circle,auxetic,True,-0.09859386677830712,-0.0990100155263594,0.6847235078544649,150,True,22.01,,199.0,1e-09,2,150,0.127779,50,50,0.3,3.904492,1.09872,9999,1,0.01,0.05,False,0.387876,0.495531,20
22,circle,auxetic,True,-0.45830058233959886,-0.4610915294858724,0.6678144993687608,150,True,21.55,,199.0,1e-09,2,150,0.20446,50,50,0.3,4.038703,1.103865,9999,1,0.01,0.05,False,0.381722,0.504771,20
23,circle,auxetic,True,-0.30404346741105176,-0.31110337627286416,0.5707094472822711,150,True,23.44,,199.0,1e-09,2,150,0.08041,50,50,0.3,2.957272,1.284758,9999,1,0.01,0.05,False,0.418426,0.583596,20
24,circle,auxetic,True,-0.30868667434967084,-0.2694387700805506,0.7743792013982536,132,True,19.73,,199.0,1e-09,2,150,0.144307,50,50,0.3,4.13982,1.296591,9999,1,0.01,0.05,False,0.412377,0.546492,20
25,circle,auxetic,True,-0.4071390813204813,-0.3759721657275604,0.9809032707715243,150,True,21.85,,199.0,1e-09,2,150,0.069869,50,50,0.3,3.31955,1.275921,9999,1,0.01,0.05,False,0.391695,0.569196,20
26,circle,auxetic,True,-0.3660028211675462,-0.36053808067096754,0.8443452393743075,150,True,21.1,,199.0,1e-09,2,150,0.190789,50,50,0.3,4.21813,1.455669,9999,1,0.01,0.05,False,0.367485,0.564798,20
27,circle,auxetic,True,-0.20929799546718936,-0.209032204357974,0.818468152913578,150,True,22.45,,199.0,1e-09,2,150,0.148174,50,50,0.3,3.846539,1.425118,9999,1,0.01,0.05,False,0.383464,0.635866,20
28,circle,auxetic,True,-0.29923068389736174,-0.3009429609262885,0.6013509996503082,150,True,22.41,,199.0,1e-09,2,150,0.117782,50,50,0.3,3.383006,1.441613,9999,1,0.01,0.05,False,0.37788,0.517058,20
29,circle,auxetic,True,-0.1705104575143107,-0.1731505482739522,0.8509283819105613,150,True,22.22,,199.0,1e-09,2,150,0.126526,50,50,0.3,2.781184,1.46084,9999,1,0.01,0.05,False,0.288546,0.625355,20
30,circle,auxetic,True,-0.06429442716478892,-0.06426929489317276,0.8559588428111373,150,True,21.54,,199.0,1e-09,2,150,0.154829,50,50,0.3,3.615282,1.151719,9999,1,0.01,0.05,False,0.360544,0.500107,20
31,circle,auxetic,True,-0.008845482792127324,-0.009131783572895728,0.9061722846421021,150,True,22.4,,199.0,1e-09,2,150,0.118454,50,50,0.3,3.260761,1.632073,9999,1,0.01,0.05,False,0.308652,0.509788,20
32,circle,auxetic,True,-0.38571636760268574,-0.4566041619545633,0.7647267890513183,150,True,21.68,,199.0,1e-09,2,150,0.077456,50,50,0.3,2.880427,1.533644,9999,1,0.01,0.05,False,0.321759,0.546851,20
33,circle,auxetic,True,-0.029030244681768937,-0.028967993327745332,0.9289458785164524,150,True,23.82,,199.0,1e-09,2,150,0.152175,50,50,0.3,3.99097,1.606231,9999,1,0.01,0.05,False,0.330678,0.542698,20
34,circle,auxetic,True,-0.38911387420800114,-0.37202884884919796,0.7978603040690787,150,True,23.09,,199.0,1e-09,2,150,0.201432,50,50,0.3,4.372913,1.667369,9999,1,0.01,0.05,False,0.280238,0.538071,20
35,circle,auxetic,True,-0.23480846766515387,-0.24325571561024692,0.5512143759562007,150,True,23.65,,199.0,1e-09,2,150,0.186182,50,50,0.3,3.112207,1.118525,9999,1,0.01,0.05,False,0.426182,0.551764,20
36,circle,auxetic,True,-0.2066273306221488,-0.20698667359182948,0.6112812798702587,150,True,23.29,,199.0,1e-09,2,150,0.191234,50,50,0.3,2.864242,1.243846,9999,1,0.01,0.05,False,0.400494,0.610596,20
37,circle,auxetic,True,-0.4040301321246964,-0.40070727538591283,0.636663156118833,150,True,22.29,,199.0,1e-09,2,150,0.198817,50,50,0.3,4.303152,1.22611,9999,1,0.01,0.05,False,0.325019,0.489789,20
38,circle,auxetic,True,-0.40756320878596386,-0.4103974862676952,0.3435130173102009,150,True,22.7,,199.0,1e-09,2,150,0.108857,50,50,0.3,3.239552,1.147915,9999,1,0.01,0.05,False,0.278298,0.607145,20
39,circle,auxetic,True,-0.3759062145460247,-0.37972162458289116,0.4277783892088276,124,True,19.2,,199.0,1e-09,2,150,0.104574,50,50,0.3,2.721114,1.318716,9999,1,0.01,0.05,False,0.376009,0.602489,20
40,circle,auxetic,True,-0.4052780521754276,-0.39467866587958544,0.42438137523822406,150,True,22.67,,199.0,1e-09,2,150,0.145452,50,50,0.3,4.232748,1.114526,9999,1,0.01,0.05,False,0.290142,0.600906,20
41,circle,auxetic,True,0.019030460144774147,0.020551018014332335,1.1330560504549947,150,True,18.84,,199.0,1e-09,2,150,0.149344,50,50,0.3,3.69935,1.324761,9999,1,0.01,0.05,False,0.361829,0.534771,20
42,circle,auxetic,True,-0.5099571656039086,-0.5066863012702,0.36964377657611336,150,True,23.0,,199.0,1e-09,2,150,0.090957,50,50,0.3,2.851649,1.158398,9999,1,0.01,0.05,False,0.283542,0.556835,20
43,circle,auxetic,True,-0.3931992964485627,-0.4054320014074646,0.592741316573092,150,True,22.44,,199.0,1e-09,2,150,0.079474,50,50,0.3,2.831088,1.541172,9999,1,0.01,0.05,False,0.44203,0.571291,20
44,circle,auxetic,True,-0.27379657854408546,-0.25553972108205425,0.6202815612420878,150,True,22.42,,199.0,1e-09,2,150,0.204048,50,50,0.3,3.662346,1.212561,9999,1,0.01,0.05,False,0.42158,0.555803,20
45,circle,auxetic,True,0.03771739997592101,0.037825787857831576,0.9968844139830764,150,True,22.81,,199.0,1e-09,2,150,0.169799,50,50,0.3,4.176524,1.47482,9999,1,0.01,0.05,False,0.296084,0.507963,20
46,circle,auxetic,True,-0.2618517366325932,-0.1992965469482878,0.8420845533288251,150,True,24.14,,199.0,1e-09,2,150,0.068235,50,50,0.3,2.561112,1.573724,9999,1,0.01,0.05,False,0.409839,0.645576,20
47,circle,auxetic,True,-0.39037170251044384,-0.4110026731565344,0.8592136122261378,150,True,22.97,,199.0,1e-09,2,150,0.114231,50,50,0.3,3.477372,1.078994,9999,1,0.01,0.05,False,0.404181,0.575213,20
48,circle,auxetic,True,-0.3348098532268493,-0.3464141829605931,0.5315527927164304,150,True,23.37,,199.0,1e-09,2,150,0.097733,50,50,0.3,3.624276,1.415047,9999,1,0.01,0.05,False,0.406775,0.618801,20
49,circle,auxetic,True,-0.4034806741117424,-0.3871552205886848,0.5954917917454962,150,True,21.84,,199.0,1e-09,2,150,0.098617,50,50,0.3,4.156445,1.193313,9999,1,0.01,0.05,False,0.457306,0.550103,20
50,circle,auxetic,True,-0.35119345265234314,-0.34899624723907363,0.39607842684226513,150,True,22.7,,199.0,1e-09,2,150,0.174137,50,50,0.3,2.475982,1.17186,9999,1,0.01,0.05,False,0.431489,0.611432,20
51,circle,auxetic,True,-0.3273152786911523,-0.3210262550168682,0.5073886454955204,150,True,23.19,,199.0,1e-09,2,150,0.121324,50,50,0.3,4.025786,1.269547,9999,1,0.01,0.05,False,0.357733,0.630119,20
52,circle,auxetic,True,-0.25130530757202146,-0.25819897389402513,0.7636608701442437,150,True,23.26,,199.0,1e-09,2,150,0.166121,50,50,0.3,2.619728,1.697172,9999,1,0.01,0.05,False,0.34899,0.588938,20
53,circle,auxetic,True,-0.2519218941636123,-0.2519740098540528,0.5186096990197562,150,True,23.4,,199.0,1e-09,2,150,0.199969,50,50,0.3,3.027816,1.064661,9999,1,0.01,0.05,False,0.306033,0.506829,20
54,circle,auxetic,True,0.013361231048193672,0.01335209148977218,0.9364601185595329,150,True,22.7,,199.0,1e-09,2,150,0.074473,50,50,0.3,3.046123,1.331074,9999,1,0.01,0.05,False,0.286468,0.527933,20
55,circle,auxetic,True,-0.35007754125530005,-0.30490213742264954,0.7987293664197729,150,True,22.27,,199.0,1e-09,2,150,0.116228,50,50,0.3,2.698761,1.387002,9999,1,0.01,0.05,False,0.459253,0.576502,20
56,circle,auxetic,True,-0.0918777087079284,-0.09187770870837084,0.7848830528053986,150,True,22.76,,199.0,1e-09,2,150,0.182612,50,50,0.3,2.668453,1.681768,9999,1,0.01,0.05,False,0.343284,0.623325,20
57,circle,auxetic,True,-0.0038035828194271106,-0.003930790485208332,0.9400310929213893,150,True,23.15,,199.0,1e-09,2,150,0.17565,50,50,0.3,3.525509,1.486427,9999,1,0.01,0.05,False,0.37425,0.494974,20
58,circle,auxetic,True,-0.2277500332791805,-0.22800378033873844,0.5795706477643088,150,True,23.01,,199.0,1e-09,2,150,0.207025,50,50,0.3,2.931003,1.418574,9999,1,0.01,0.05,False,0.419342,0.554275,20
59,circle,auxetic,True,-0.35581585228490126,-0.37926226566635374,0.517282253107779,150,True,21.64,,199.0,1e-09,2,150,0.198287,50,50,0.3,4.275673,1.393263,9999,1,0.01,0.05,False,0.332833,0.632241,20
60,circle,auxetic,True,-0.14734412797449475,-0.14734412797461047,0.6594143863542319,150,True,23.03,,199.0,1e-09,2,150,0.176483,50,50,0.3,2.526959,1.141602,9999,1,0.01,0.05,False,0.349717,0.640413,20
61,circle,auxetic,True,-0.1458971499913325,-0.14319185256227632,0.7145550998220065,150,True,22.4,,199.0,1e-09,2,150,0.129491,50,50,0.3,3.074319,1.56043,9999,1,0.01,0.05,False,0.412623,0.638689,20
62,circle,auxetic,True,-0.10861701593083001,-0.10866472280905771,0.7597668529898964,150,True,22.83,,199.0,1e-09,2,150,0.1684,50,50,0.3,3.555718,1.370183,9999,1,0.01,0.05,False,0.450815,0.566101,20
63,circle,auxetic,True,-0.3291850506722923,-0.33196274457626346,0.6361991457277879,150,True,26.11,,199.0,1e-09,2,150,0.159515,50,50,0.3,3.167307,1.582917,9999,1,0.01,0.05,False,0.327097,0.596758,20
64,circle,auxetic,True,-0.30831715405865123,-0.3086758819691508,0.5229700261283906,150,True,21.38,,199.0,1e-09,2,150,0.195786,50,50,0.3,2.97157,1.253757,9999,1,0.01,0.05,False,0.435684,0.594767,20
65,circle,auxetic,True,-0.3091455786152669,-0.3040817604294623,0.6036009543897551,150,True,23.38,,199.0,1e-09,2,150,0.131274,50,50,0.3,3.747935,1.491345,9999,1,0.01,0.05,False,0.463761,0.604099,20
66,circle,auxetic,True,-0.2692363081163988,-0.2583774693693944,0.5824629510159771,150,True,22.05,,199.0,1e-09,2,150,0.089492,50,50,0.3,2.686451,1.260028,9999,1,0.01,0.05,False,0.437729,0.621776,20
67,circle,auxetic,True,-0.40688250979736984,-0.41091311363444155,0.5302224714300415,150,True,22.41,,199.0,1e-09,2,150,0.092125,50,50,0.3,2.554588,1.347116,9999,1,0.01,0.05,False,0.448731,0.516801,20
68,circle,auxetic,True,-0.25176581556723265,-0.24616546932953084,0.6803638613120756,150,True,22.87,,199.0,1e-09,2,150,0.16353,50,50,0.3,4.353536,1.512744,9999,1,0.01,0.05,False,0.439248,0.51189,20
69,circle,auxetic,True,-0.2271312160772873,-0.24825750586414497,0.6655968898187722,150,True,21.14,,199.0,1e-09,2,150,0.171964,50,50,0.3,2.987114,1.569902,9999,1,0.01,0.05,False,0.284811,0.605719,20
70,circle,auxetic,True,-0.05372093835509981,-0.05372093835513077,0.858344897223825,150,True,22.05,,199.0,1e-09,2,150,0.137718,50,50,0.3,3.2642,1.598644,9999,1,0.01,0.05,False,0.276412,0.585186,20
71,circle,auxetic,True,-0.31274007516277014,-0.2702147315927806,0.6900796430309669,150,True,23.51,,199.0,1e-09,2,150,0.125363,50,50,0.3,2.582339,1.627947,9999,1,0.01,0.05,False,0.393563,0.500754,20
72,circle,auxetic,True,-0.36818168745400714,-0.3720806961776635,0.5865244699690756,150,True,23.92,,199.0,1e-09,2,150,0.106117,50,50,0.3,4.070761,1.547193,9999,1,0.01,0.05,False,0.310071,0.526371,20
73,circle,auxetic,True,-0.5300122257918123,-0.5465928113571927,0.7493707231313751,139,True,20.24,,199.0,1e-09,2,150,0.140402,50,50,0.3,3.435104,1.30641,9999,1,0.01,0.05,False,0.389855,0.615634,20
74,circle,auxetic,True,-0.10345870185392701,-0.10602736812124987,0.7829308705195155,150,True,21.56,,199.0,1e-09,2,150,0.1362,50,50,0.3,4.100553,1.432985,9999,1,0.01,0.05,False,0.446545,0.539207,20
75,circle,auxetic,True,-0.24602274077664507,-0.24602274077656233,0.6795991572338738,150,True,24.43,,199.0,1e-09,2,150,0.103454,50,50,0.3,3.768855,1.589464,9999,1,0.01,0.05,False,0.452482,0.620448,20
76,circle,auxetic,True,-0.3626530720507111,-0.3294059668468805,0.6991059525236566,150,True,21.14,,199.0,1e-09,2,150,0.087108,50,50,0.3,3.785765,1.38058,9999,1,0.01,0.05,False,0.314838,0.513888,20
77,circle,auxetic,True,0.06128067850003836,0.06125954269898417,0.9759888028579616,150,True,21.26,,199.0,1e-09,2,150,0.133296,50,50,0.3,3.963314,1.128684,9999,1,0.01,0.05,False,0.318885,0.493627,20
78,circle,auxetic,True,-0.10815833337265128,-0.1081583333727196,0.8554637541844208,150,True,22.07,,199.0,1e-09,2,150,0.157819,50,50,0.3,2.600832,1.482428,9999,1,0.01,0.05,False,0.303915,0.647401,20
79,circle,auxetic,True,-0.08018692955916541,-0.08017513634677333,0.7818926158069424,150,True,21.48,,199.0,1e-09,2,150,0.120289,50,50,0.3,3.359998,1.279091,9999,1,0.01,0.05,False,0.465337,0.562246,20
80,circle,auxetic,True,-0.14015145723505712,-0.16723489066768732,0.7696245278378777,150,True,19.9,,199.0,1e-09,2,150,0.162007,50,50,0.3,3.182633,1.236836,9999,1,0.01,0.05,False,0.345215,0.52273,20
81,circle,auxetic,True,-0.41147264489371127,-0.43708900016892865,0.48577631307854074,150,True,22.89,,199.0,1e-09,2,150,0.08577,50,50,0.3,3.206097,1.338769,9999,1,0.01,0.05,False,0.415478,0.543674,20
82,circle,auxetic,True,0.012185454403365758,0.012364199971667133,0.957752750636021,150,True,21.21,,199.0,1e-09,2,150,0.073997,50,50,0.3,3.291488,1.640225,9999,1,0.01,0.05,False,0.379138,0.574382,20
83,circle,auxetic,True,0.049075924373562625,0.04899485993602247,0.9189906147157564,150,True,22.16,,199.0,1e-09,2,150,0.178595,50,50,0.3,3.921743,1.24041,9999,1,0.01,0.05,False,0.346093,0.491056,20
84,circle,auxetic,True,0.015104917799538936,0.013944995040565273,0.9475474704786355,150,True,22.03,,199.0,1e-09,2,150,0.087869,50,50,0.3,3.671586,1.612709,9999,1,0.01,0.05,False,0.34032,0.523598,20
85,circle,auxetic,True,-0.07599157426835806,-0.07599817187776137,0.7713184483064286,150,True,22.66,,199.0,1e-09,2,150,0.112615,50,50,0.3,3.712159,1.352765,9999,1,0.01,0.05,False,0.444802,0.598249,20
86,circle,auxetic,True,-0.2674001559456464,-0.2647318361370989,0.6505303398271671,150,True,22.9,,199.0,1e-09,2,150,0.184028,50,50,0.3,3.136974,1.685821,9999,1,0.01,0.05,False,0.352803,0.616996,20
87,circle,auxetic,True,-0.4424194936131255,-0.43845677071474015,0.43844757746650154,150,True,23.61,,199.0,1e-09,2,150,0.072045,50,50,0.3,3.37471,1.448433,9999,1,0.01,0.05,False,0.292374,0.578685,20
88,circle,auxetic,True,-0.49304265773272843,-0.4645689622178816,0.6816652541912558,150,True,23.11,,199.0,1e-09,2,150,0.077058,50,50,0.3,4.208592,1.49899,9999,1,0.01,0.05,False,0.339305,0.533255,20
89,circle,auxetic,True,-0.3301000881797914,-0.33010008817992303,0.6132800514709478,150,True,22.19,,199.0,1e-09,2,150,0.188565,50,50,0.3,3.836579,1.220126,9999,1,0.01,0.05,False,0.372915,0.644314,20
90,circle,auxetic,True,-0.3010758710369975,-0.337197804163681,1.069321086185296,150,True,23.52,,199.0,1e-09,2,150,0.111846,50,50,0.3,2.513666,1.675063,9999,1,0.01,0.05,False,0.397164,0.582898,20
91,circle,auxetic,True,-0.12287567415042666,-0.1229746046554016,0.8407611056462218,150,True,23.54,,199.0,1e-09,2,150,0.134377,50,50,0.3,4.331834,1.645643,9999,1,0.01,0.05,False,0.455099,0.62736,20
92,circle,auxetic,True,-0.4046354008895905,-0.40830743055239965,0.9119143567532079,150,True,27.47,,199.0,1e-09,2,150,0.153499,50,50,0.3,3.940465,1.371163,9999,1,0.01,0.05,False,0.317465,0.510215,20
93,circle,auxetic,True,-0.40429699952650255,-0.4386401226922363,0.46454374138575993,150,True,23.85,,199.0,1e-09,2,150,0.084104,50,50,0.3,4.402825,1.358429,9999,1,0.01,0.05,False,0.395917,0.558417,20
94,circle,auxetic,True,-0.21839562775323512,-0.21176200934022243,0.8283516418417061,150,True,21.73,,199.0,1e-09,2,150,0.070128,50,50,0.3,3.014956,1.520099,9999,1,0.01,0.05,False,0.366605,0.594532,20
95,circle,auxetic,True,-0.5098206039518318,-0.49411926772130876,0.13437601297747848,150,True,23.73,,199.0,1e-09,2,150,0.107368,50,50,0.3,3.330936,1.090506,9999,1,0.01,0.05,False,0.432932,0.642477,20
96,circle_half_quarter,auxetic,True,-0.12050090001180723,-0.14448878571075682,1.1286400740989304,150,True,23.71,,199.0,1e-09,2,150,0.097125,50,50,0.3,3.552601,1.447239,9999,1,0.01,0.05,False,0.374152,0.562528,20
97,circle_half_quarter,auxetic,True,0.13241482405789406,0.1324148240580288,1.4512056428871327,150,True,23.53,,199.0,1e-09,2,150,0.190923,50,50,0.3,2.797302,1.292237,9999,1,0.01,0.05,False,0.278482,0.547055,20
98,circle_half_quarter,auxetic,True,0.08896187495428737,0.08896187495432024,1.5095477097024688,150,True,23.26,,199.0,1e-09,2,150,0.154752,50,50,0.3,4.276198,1.496665,9999,1,0.01,0.05,False,0.398515,0.645759,20
99,circle_half_quarter,auxetic,True,-0.07938248166420374,-0.0795826313116409,0.9767975613777806,150,True,23.17,,199.0,1e-09,2,150,0.137112,50,50,0.3,3.821731,1.186333,9999,1,0.01,0.05,False,0.403344,0.505052,20
100,circle_half_quarter,auxetic,True,0.05862683559960388,0.05862683559963078,1.4020613211345707,150,True,23.07,,199.0,1e-09,2,150,0.15184,50,50,0.3,3.319228,1.133601,9999,1,0.01,0.05,False,0.454018,0.541526,20
101,circle_half_quarter,auxetic,True,-0.04666085471407642,-0.046660854714107594,1.178167603363303,150,True,23.03,,199.0,1e-09,2,150,0.070402,50,50,0.3,3.179332,1.163528,9999,1,0.01,0.05,False,0.419745,0.559014,20
102,circle_half_quarter,auxetic,True,0.0684694481841276,0.06846944818415278,1.3025187262011353,150,True,23.73,,199.0,1e-09,2,150,0.160732,50,50,0.3,3.289898,1.464164,9999,1,0.01,0.05,False,0.42231,0.52703,20
103,circle_half_quarter,auxetic,True,0.0702341947514579,0.07023419475148451,1.1739469301124046,150,True,24.4,,199.0,1e-09,2,150,0.095783,50,50,0.3,2.653037,1.290149,9999,1,0.01,0.05,False,0.309951,0.624121,20
104,circle_half_quarter,auxetic,True,-0.1900465617848379,-0.1797634962495076,0.8372270020998331,150,True,23.41,,199.0,1e-09,2,150,0.207037,50,50,0.3,3.866681,1.175092,9999,1,0.01,0.05,False,0.367848,0.505962,20
105,circle_half_quarter,auxetic,True,-0.18700384792122166,-0.1870038479213544,1.0034746851431322,150,True,23.96,,199.0,1e-09,2,150,0.125444,50,50,0.3,2.957095,1.405071,9999,1,0.01,0.05,False,0.375616,0.633589,20
106,circle_half_quarter,auxetic,True,-0.2433190472953323,-0.24794856888915742,0.6840810618077955,150,True,23.27,,199.0,1e-09,2,150,0.188313,50,50,0.3,4.157281,1.137429,9999,1,0.01,0.05,False,0.287461,0.610639,20
107,circle_half_quarter,auxetic,True,-0.2797930522456167,-0.2850739921264995,0.7391458261293538,150,True,24.83,,199.0,1e-09,2,150,0.168331,50,50,0.3,3.332424,1.545871,9999,1,0.01,0.05,False,0.323493,0.552758,20
108,circle_half_quarter,auxetic,True,0.08335966029061156,0.08335966029064323,1.3114319847713232,150,True,25.1,,199.0,1e-09,2,150,0.164059,50,50,0.3,4.24088,1.653733,9999,1,0.01,0.05,False,0.432633,0.4971,20
109,circle_half_quarter,auxetic,True,-0.29321949704691314,-0.28159530936406213,0.47877045542904983,150,True,24.44,,199.0,1e-09,2,150,0.091556,50,50,0.3,3.145346,1.153096,9999,1,0.01,0.05,False,0.300295,0.584447,20
110,circle_half_quarter,auxetic,True,-0.20999619032685712,-0.20999617808531224,0.5290194715336584,40,True,5.97,,199.0,1e-09,2,150,0.113779,50,50,0.3,2.766327,1.081148,9999,1,0.01,0.05,False,0.335196,0.532605,20
111,circle_half_quarter,auxetic,True,-0.16615113387441072,-0.16818839919276798,0.7548670246651525,150,True,24.11,,199.0,1e-09,2,150,0.104837,50,50,0.3,3.85488,1.402833,9999,1,0.01,0.05,False,0.342329,0.62064,20
112,circle_half_quarter,auxetic,True,-0.05143999432415417,-0.05143999432418818,1.2958991291161417,150,True,24.18,,199.0,1e-09,2,150,0.110781,50,50,0.3,3.84163,1.390672,9999,1,0.01,0.05,False,0.430106,0.627659,20
