Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.899600
1,0.288352,0.288473,3.769218,0.808290
2,0.287404,0.287265,2.831357,0.716979
3,0.287404,0.287265,2.352187,0.637555
4,0.272551,0.271912,2.064922,0.620868
5,0.204897,0.202364,1.753403,0.623573
6,0.137228,0.134098,1.556568,0.637556
7,0.089025,0.086081,1.496923,0.637555
8,0.122076,0.120360,1.482945,0.637555
9,0.096302,0.081322,1.484363,0.637555
10,0.102995,0.110416,1.498714,0.637554
11,0.105319,0.114064,1.533660,0.637554
12,0.108375,0.095989,1.545146,0.637556
13,0.102573,0.084652,1.519122,0.637555
14,0.100771,0.085294,1.482699,0.637555
15,0.104357,0.091878,1.452143,0.637554
16,0.109753,0.100913,1.434915,0.637556
17,0.113563,0.112296,1.426790,0.631520
18,0.100524,0.098908,1.429076,0.637554
19,0.110485,0.114400,1.425832,0.631099
20,0.103085,0.097967,1.430732,0.637555
21,0.105534,0.110827,1.424465,0.635762
22,0.103182,0.115887,1.422049,0.628500
23,0.099960,0.103815,1.423103,0.635984
24,0.097972,0.109270,1.416733,0.637555
25,0.096646,0.106056,1.413626,0.637555
26,0.095999,0.103633,1.410334,0.637555
27,0.093941,0.101302,1.404365,0.637555
28,0.090505,0.098134,1.395656,0.637555
29,0.086603,0.094899,1.384670,0.637556
30,0.082793,0.090710,1.375088,0.637554
31,0.079288,0.087385,1.365939,0.637555
32,0.076038,0.083862,1.357381,0.637555
33,0.073079,0.080881,1.349455,0.637555
34,0.071734,0.079421,1.346217,0.637555
35,0.071091,0.079129,1.344026,0.637555
36,0.070232,0.077956,1.342386,0.637556
37,0.069567,0.077230,1.341250,0.637555
38,0.069012,0.076165,1.340717,0.637555
39,0.068513,0.075528,1.339554,0.637554
40,0.068003,0.074832,1.338336,0.637555
41,0.067482,0.074239,1.336906,0.637555
42,0.066756,0.073292,1.335633,0.637554
43,0.066385,0.072886,1.334152,0.637556
44,0.065624,0.071946,1.332853,0.637555
45,0.065263,0.071501,1.332039,0.637556
46,0.064842,0.071107,1.331452,0.637555
47,0.064773,0.071191,1.331150,0.637554
48,0.064570,0.071110,1.330824,0.637555
49,0.064448,0.071131,1.330670,0.637555
50,0.064369,0.071168,1.330568,0.637555
51,0.064509,0.071510,1.330506,0.637555
52,0.064235,0.071219,1.330536,0.637554
53,0.064404,0.071560,1.330470,0.637555
54,0.064091,0.071182,1.330489,0.637555
55,0.064254,0.071430,1.330446,0.637555
56,0.064081,0.071233,1.330370,0.637555
57,0.064109,0.071238,1.330465,0.637554
58,0.064017,0.071078,1.330424,0.637555
59,0.064104,0.071099,1.330525,0.637555
60,0.063977,0.070894,1.330431,0.637556
61,0.064134,0.071120,1.330479,0.637554
62,0.064056,0.070936,1.330451,0.637555
63,0.064221,0.071155,1.330539,0.637555
64,0.064216,0.071227,1.330421,0.637556
65,0.064308,0.071387,1.330468,0.637554
66,0.064102,0.071052,1.330441,0.637555
67,0.064282,0.071319,1.330479,0.637556
