Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.546410
1,0.276009,0.247420,1.894698,0.542685
2,0.218086,0.201408,1.793809,0.561772
3,0.154126,0.132716,1.659301,0.587411
4,0.115303,0.101538,1.538820,0.587411
5,0.076109,0.065170,1.503831,0.587411
6,0.091757,0.085390,1.477707,0.587410
7,0.069916,0.059502,1.444155,0.587412
8,0.078425,0.069269,1.411611,0.587410
9,0.071820,0.065859,1.387163,0.587411
10,0.064147,0.062724,1.375372,0.587411
11,0.053673,0.055708,1.368970,0.587411
12,0.044860,0.047307,1.347075,0.587411
13,0.037098,0.038364,1.315641,0.587410
14,0.030943,0.031290,1.286504,0.587411
15,0.023544,0.023033,1.257940,0.587411
16,0.014345,0.013891,1.228016,0.587411
17,0.004112,0.003901,1.195372,0.587411
18,-0.003871,-0.003580,1.166715,0.587411
19,-0.007543,-0.006688,1.145636,0.587411
20,-0.008972,-0.007554,1.133887,0.587411
21,-0.010631,-0.008487,1.126835,0.587410
22,-0.013423,-0.010153,1.122390,0.587411
23,-0.018002,-0.013076,1.118660,0.587411
24,-0.024130,-0.017061,1.113157,0.587410
25,-0.033789,-0.023847,1.100620,0.587411
26,-0.045753,-0.032790,1.087387,0.587411
27,-0.058705,-0.042791,1.072792,0.587412
28,-0.072088,-0.053906,1.054230,0.587412
29,-0.084115,-0.064149,1.034348,0.587411
30,-0.094005,-0.072547,1.015586,0.587411
31,-0.099598,-0.077374,1.000511,0.587412
32,-0.101671,-0.079023,0.989419,0.587411
33,-0.101802,-0.078817,0.982859,0.587410
34,-0.102727,-0.079610,0.977130,0.587411
35,-0.104123,-0.081121,0.974100,0.587410
36,-0.105629,-0.082622,0.973776,0.587411
37,-0.107163,-0.084084,0.972491,0.587412
38,-0.108007,-0.084657,0.973159,0.587411
39,-0.108359,-0.084949,0.974964,0.587411
40,-0.106597,-0.083154,0.979219,0.587357
41,-0.103710,-0.080284,0.989400,0.587422
42,-0.098324,-0.075667,1.002989,0.587414
43,-0.090639,-0.069595,1.024173,0.586664
44,-0.084197,-0.064532,1.045309,0.585897
45,-0.081869,-0.062425,1.057795,0.585298
46,-0.080637,-0.061646,1.070941,0.584544
47,-0.081745,-0.062645,1.078756,0.584297
48,-0.088032,-0.067433,1.078738,0.584534
