Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.215990
1,0.155424,0.274078,1.994699,0.313009
2,0.068811,0.189895,1.910455,0.375087
3,0.047501,0.079082,1.783191,0.443149
4,0.043901,0.070881,1.564237,0.499011
5,0.051352,0.077557,1.350111,0.499012
6,0.056266,0.059320,1.341764,0.499011
7,0.059422,0.058057,1.360570,0.499011
8,0.057637,0.060661,1.376710,0.499011
9,0.056643,0.067191,1.363102,0.499010
10,0.067862,0.076586,1.282175,0.499012
11,0.078705,0.080164,1.196156,0.499011
12,0.086433,0.081315,1.133821,0.499011
13,0.091416,0.081750,1.090789,0.499012
14,0.092514,0.079577,1.059673,0.499012
15,0.088332,0.076037,1.034755,0.499012
16,0.081281,0.071703,1.014660,0.499011
17,0.074096,0.067090,1.000412,0.499012
18,0.069665,0.063996,0.991166,0.499012
19,0.066848,0.063326,0.984647,0.499011
20,0.065225,0.063293,0.978074,0.499012
21,0.063376,0.062818,0.971793,0.499011
22,0.063378,0.062272,0.967211,0.499012
23,0.062697,0.062317,0.962473,0.499011
24,0.063097,0.062397,0.958590,0.499010
25,0.062548,0.062345,0.955587,0.499011
26,0.062411,0.062064,0.952908,0.499010
27,0.061507,0.061559,0.951530,0.499011
28,0.061934,0.061612,0.950014,0.499011
29,0.061289,0.060737,0.949020,0.499011
30,0.060993,0.060682,0.947380,0.499011
31,0.060515,0.060252,0.944996,0.499010
32,0.059591,0.059089,0.942276,0.499011
33,0.058748,0.058621,0.940325,0.499011
34,0.057568,0.057497,0.937965,0.499012
35,0.056278,0.056525,0.935403,0.499011
36,0.055278,0.055633,0.932528,0.499011
37,0.054061,0.054456,0.929735,0.499011
38,0.052804,0.053129,0.927206,0.499011
39,0.051771,0.051985,0.924642,0.499011
40,0.050927,0.050902,0.922373,0.499010
41,0.050189,0.049928,0.920404,0.499011
42,0.049504,0.048940,0.918618,0.499010
43,0.048798,0.048042,0.916676,0.499010
44,0.048016,0.047230,0.914531,0.499011
45,0.047128,0.046329,0.912270,0.499011
46,0.045866,0.045109,0.909276,0.499011
47,0.044225,0.043584,0.905557,0.499010
48,0.042413,0.041901,0.901341,0.499012
49,0.040785,0.040347,0.897290,0.499012
50,0.039081,0.038672,0.892900,0.499011
51,0.037417,0.037022,0.888356,0.499011
52,0.036009,0.035634,0.884717,0.499011
53,0.034741,0.034404,0.881827,0.499011
54,0.033744,0.033428,0.880042,0.499011
55,0.033006,0.032703,0.878950,0.499011
56,0.032321,0.032020,0.878073,0.499012
57,0.032037,0.031679,0.877978,0.499012
58,0.031828,0.031442,0.878331,0.499011
59,0.031488,0.031096,0.878584,0.499011
60,0.031331,0.030954,0.878493,0.499011
61,0.031211,0.030849,0.878295,0.499010
62,0.031033,0.030695,0.878055,0.499011
63,0.030818,0.030498,0.877809,0.499012
64,0.031015,0.030664,0.878113,0.499010
65,0.030794,0.030462,0.877832,0.499011
66,0.030554,0.030246,0.877545,0.499011
67,0.030708,0.030377,0.877923,0.499011
68,0.030321,0.029983,0.877632,0.499011
69,0.030227,0.029962,0.877523,0.499011
70,0.030066,0.029739,0.877711,0.499011
71,0.029937,0.029671,0.877887,0.499011
72,0.029939,0.029580,0.878290,0.499010
73,0.029684,0.029269,0.878846,0.499012
74,0.029740,0.029342,0.879461,0.499011
75,0.029842,0.029321,0.880315,0.499011
76,0.029548,0.028945,0.880982,0.499010
77,0.029577,0.028980,0.881621,0.499011
78,0.029671,0.028977,0.882305,0.499012
79,0.029581,0.028848,0.883100,0.499011
80,0.029533,0.028693,0.883262,0.499010
81,0.029301,0.028460,0.883964,0.499010
82,0.029275,0.028458,0.884713,0.499011
83,0.029426,0.028544,0.885092,0.499011
