Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.823600
1,0.228317,0.228317,2.446592,0.765932
2,0.227561,0.227561,1.990647,0.708263
3,0.227561,0.227561,1.822535,0.650595
4,0.227561,0.227561,1.780955,0.592926
5,0.227561,0.227561,1.801498,0.590952
6,0.151232,0.151232,1.611290,0.590951
7,0.093558,0.093558,1.525771,0.590952
8,0.067593,0.067593,1.506607,0.590952
9,0.081672,0.081672,1.466047,0.590953
10,0.051379,0.051379,1.418962,0.590951
11,0.054048,0.054048,1.360858,0.590952
12,0.032032,0.032032,1.295515,0.590953
13,0.013131,0.013131,1.217067,0.590951
14,-0.009229,-0.009229,1.157591,0.590952
15,-0.033405,-0.033405,1.096943,0.590952
16,-0.061796,-0.061796,1.035224,0.590953
17,-0.096042,-0.096042,0.967566,0.590953
18,-0.131562,-0.131562,0.897636,0.590952
19,-0.167734,-0.167734,0.835092,0.590952
20,-0.200041,-0.200041,0.783690,0.590952
21,-0.232169,-0.232169,0.733722,0.590952
22,-0.266923,-0.266923,0.689391,0.590952
23,-0.295773,-0.295773,0.649486,0.590951
24,-0.319770,-0.319770,0.617356,0.590952
25,-0.344483,-0.344482,0.587626,0.590952
26,-0.363974,-0.363974,0.560660,0.590952
27,-0.377366,-0.377366,0.541176,0.590953
28,-0.388002,-0.388002,0.525555,0.590952
29,-0.398782,-0.398782,0.511761,0.590952
30,-0.409274,-0.409274,0.501030,0.590953
31,-0.417253,-0.417253,0.491301,0.590951
32,-0.425703,-0.425703,0.483552,0.590952
33,-0.430168,-0.430168,0.476759,0.590952
34,-0.437286,-0.437286,0.470153,0.590952
35,-0.442544,-0.442544,0.463715,0.590953
36,-0.446761,-0.446762,0.458871,0.590953
37,-0.449455,-0.449455,0.455033,0.590952
38,-0.455044,-0.455043,0.452067,0.590953
39,-0.456236,-0.456235,0.450071,0.590951
40,-0.459304,-0.459305,0.448527,0.590951
41,-0.459607,-0.459598,0.447130,0.590952
42,-0.462177,-0.462106,0.446055,0.590953
43,-0.463060,-0.463068,0.445048,0.590952
44,-0.465449,-0.465334,0.444061,0.590952
45,-0.465908,-0.465938,0.443316,0.590952
46,-0.468052,-0.467565,0.442686,0.590952
47,-0.469115,-0.468645,0.442266,0.590953
48,-0.470430,-0.470007,0.442256,0.590952
49,-0.469228,-0.469115,0.442627,0.590951
50,-0.467685,-0.468263,0.443194,0.590953
51,-0.465661,-0.467454,0.443985,0.590952
52,-0.463358,-0.466796,0.444839,0.590952
53,-0.461916,-0.466740,0.446013,0.590953
54,-0.460391,-0.466736,0.447454,0.590951
55,-0.459562,-0.466613,0.449700,0.590951
56,-0.459309,-0.466517,0.452644,0.590952
57,-0.459125,-0.466869,0.456656,0.590952
58,-0.458561,-0.466256,0.461198,0.590952
59,-0.458374,-0.466110,0.466402,0.590952
60,-0.458389,-0.465994,0.471325,0.590952
61,-0.458607,-0.465955,0.475832,0.590953
62,-0.459246,-0.466514,0.479562,0.590951
63,-0.460018,-0.466906,0.482682,0.590952
64,-0.461785,-0.467243,0.485256,0.590952
65,-0.464153,-0.467652,0.487016,0.590953
66,-0.465460,-0.467092,0.488349,0.590952
67,-0.466439,-0.466381,0.489747,0.590951
68,-0.466422,-0.465306,0.490824,0.590952
69,-0.467512,-0.465309,0.491146,0.590952
70,-0.467978,-0.464529,0.491595,0.590952
71,-0.468176,-0.463890,0.492254,0.590952
72,-0.468652,-0.464113,0.492868,0.590953
73,-0.469258,-0.464221,0.494298,0.590952
74,-0.470176,-0.464429,0.496658,0.590951
75,-0.471346,-0.464793,0.499347,0.590951
76,-0.472585,-0.465161,0.502056,0.590952
77,-0.473818,-0.465396,0.505107,0.590952
78,-0.474857,-0.465657,0.508005,0.590951
79,-0.475669,-0.466168,0.510978,0.590952
80,-0.475837,-0.466526,0.515523,0.590951
81,-0.475588,-0.466550,0.520071,0.590952
82,-0.475024,-0.466359,0.524368,0.590952
83,-0.473845,-0.465803,0.529170,0.590952
84,-0.472840,-0.465172,0.534870,0.590953
85,-0.471815,-0.464291,0.540425,0.590953
86,-0.470841,-0.463247,0.544938,0.590951
87,-0.470927,-0.462775,0.548448,0.590952
88,-0.470955,-0.462427,0.551402,0.590952
89,-0.470659,-0.462189,0.553462,0.590951
90,-0.470051,-0.461980,0.554630,0.590951
91,-0.470907,-0.462530,0.554383,0.590953
92,-0.472690,-0.463529,0.553396,0.590951
93,-0.474406,-0.464689,0.552004,0.590953
94,-0.475942,-0.465514,0.550451,0.590951
95,-0.476913,-0.466084,0.549045,0.590952
96,-0.477610,-0.466606,0.547290,0.590952
97,-0.477902,-0.466792,0.545912,0.590952
98,-0.477939,-0.466428,0.544717,0.590952
99,-0.477709,-0.465727,0.543904,0.590952
100,-0.477275,-0.464666,0.543363,0.590953
101,-0.476499,-0.463090,0.543186,0.590951
102,-0.475336,-0.460901,0.543491,0.590951
103,-0.473792,-0.458024,0.544029,0.590953
104,-0.471714,-0.454379,0.545129,0.590952
105,-0.469004,-0.449800,0.546870,0.590952
106,-0.466309,-0.445494,0.548616,0.590952
107,-0.465779,-0.445626,0.548623,0.590953
108,-0.465037,-0.445899,0.549209,0.590951
109,-0.464145,-0.446034,0.549876,0.590952
110,-0.463623,-0.446380,0.550464,0.590953
111,-0.463038,-0.446662,0.551036,0.590951
112,-0.462373,-0.446901,0.551636,0.590952
113,-0.461582,-0.447004,0.552232,0.590953
114,-0.460626,-0.446970,0.552913,0.590952
115,-0.459494,-0.446844,0.553758,0.590952
116,-0.458203,-0.446625,0.554709,0.590951
117,-0.457232,-0.446391,0.555595,0.590952
118,-0.457498,-0.446834,0.555933,0.590951
119,-0.457712,-0.447294,0.556437,0.590953
120,-0.457929,-0.447670,0.556811,0.590952
121,-0.457997,-0.447727,0.557254,0.590953
122,-0.458007,-0.447666,0.557714,0.590951
123,-0.458025,-0.447574,0.558111,0.590952
124,-0.458055,-0.447439,0.558335,0.590952
125,-0.458073,-0.447331,0.558603,0.590952
126,-0.458079,-0.447246,0.558911,0.590952
127,-0.458077,-0.447175,0.559237,0.590952
128,-0.458149,-0.447018,0.559334,0.590953
