Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.940400
1,0.300384,0.300384,4.387339,0.801995
2,0.298536,0.298536,2.935349,0.663589
3,0.298536,0.298536,2.250650,0.585535
4,0.259319,0.259319,1.900388,0.581826
5,0.173184,0.173184,1.622119,0.585535
6,0.153299,0.153299,1.547104,0.585534
7,0.064923,0.064923,1.544464,0.585535
8,0.109342,0.109342,1.402193,0.585535
9,0.109024,0.109024,1.310608,0.585536
10,0.097988,0.097988,1.246212,0.585534
11,0.086534,0.086534,1.165938,0.585536
12,0.067347,0.067347,1.097702,0.585535
13,0.057967,0.057967,1.041594,0.585535
14,0.048389,0.048389,0.992408,0.585535
15,0.034467,0.034467,0.944741,0.585536
16,0.022403,0.022403,0.905118,0.585535
17,0.013890,0.013890,0.883009,0.585535
18,0.012475,0.012475,0.866964,0.584885
19,-0.000217,-0.000217,0.856097,0.585535
20,-0.004056,-0.004056,0.846762,0.585534
21,-0.017293,-0.017293,0.834626,0.585534
22,-0.028363,-0.028363,0.813030,0.585535
23,-0.048251,-0.048251,0.789710,0.585535
24,-0.073827,-0.073827,0.761223,0.585535
25,-0.091230,-0.091230,0.737892,0.585534
26,-0.099500,-0.099500,0.724126,0.585534
27,-0.118922,-0.118922,0.712809,0.585535
28,-0.117568,-0.117568,0.699074,0.585535
29,-0.130865,-0.130865,0.688742,0.585534
30,-0.130358,-0.130358,0.679067,0.585534
31,-0.147869,-0.147869,0.674185,0.585534
32,-0.149095,-0.149095,0.662703,0.585535
33,-0.152889,-0.152889,0.655393,0.585535
34,-0.148448,-0.148448,0.651495,0.585542
35,-0.158795,-0.158795,0.651952,0.585535
36,-0.153375,-0.153375,0.648667,0.585535
37,-0.162861,-0.162861,0.650563,0.585535
38,-0.154935,-0.154935,0.647801,0.585535
39,-0.164713,-0.164713,0.649793,0.585536
40,-0.157415,-0.157415,0.647578,0.585535
41,-0.168862,-0.168862,0.649245,0.585534
42,-0.161477,-0.161477,0.646783,0.585534
43,-0.175999,-0.175999,0.649433,0.585535
44,-0.163660,-0.163660,0.646034,0.585535
45,-0.177105,-0.177105,0.649217,0.585535
46,-0.164159,-0.164159,0.645896,0.585535
47,-0.177585,-0.177585,0.649116,0.585535
48,-0.163873,-0.163873,0.645648,0.585535
49,-0.176555,-0.176555,0.648753,0.585535
50,-0.164139,-0.164139,0.645932,0.585534
51,-0.177003,-0.177003,0.648784,0.585535
52,-0.164161,-0.164161,0.645929,0.585535
53,-0.177004,-0.177004,0.648776,0.585536
54,-0.164161,-0.164161,0.645925,0.585535
55,-0.177006,-0.177006,0.648769,0.585535
56,-0.164161,-0.164161,0.645920,0.585534
57,-0.177007,-0.177007,0.648761,0.585535
58,-0.164162,-0.164162,0.645915,0.585535
59,-0.177008,-0.177008,0.648751,0.585536
60,-0.164164,-0.164164,0.645912,0.585535
61,-0.177009,-0.177009,0.648744,0.585536
62,-0.164165,-0.164165,0.645909,0.585536
63,-0.177010,-0.177010,0.648738,0.585535
64,-0.164166,-0.164166,0.645908,0.585535
65,-0.177020,-0.177020,0.648732,0.585535
66,-0.164173,-0.164173,0.645907,0.585535
67,-0.177020,-0.177020,0.648730,0.585535
68,-0.164173,-0.164173,0.645906,0.585535
69,-0.177020,-0.177020,0.648728,0.585535
70,-0.164174,-0.164174,0.645906,0.585534
71,-0.177020,-0.177020,0.648728,0.585536
72,-0.164174,-0.164174,0.645906,0.585535
73,-0.177020,-0.177020,0.648727,0.585535
74,-0.164174,-0.164174,0.645906,0.585536
75,-0.177020,-0.177020,0.648727,0.585535
76,-0.164174,-0.164174,0.645906,0.585535
77,-0.177020,-0.177020,0.648727,0.585535
78,-0.164174,-0.164174,0.645906,0.585535
79,-0.177020,-0.177020,0.648727,0.585535
80,-0.164174,-0.164174,0.645906,0.585536
81,-0.177020,-0.177020,0.648727,0.585535
82,-0.164174,-0.164174,0.645906,0.585536
83,-0.177020,-0.177020,0.648727,0.585536
84,-0.164174,-0.164174,0.645906,0.585534
85,-0.177020,-0.177020,0.648727,0.585536
86,-0.164174,-0.164174,0.645906,0.585534
87,-0.177020,-0.177020,0.648727,0.585534
88,-0.164174,-0.164174,0.645906,0.585535
89,-0.177020,-0.177020,0.648727,0.585535
90,-0.164174,-0.164174,0.645906,0.585534
91,-0.177020,-0.177020,0.648727,0.585536
92,-0.164174,-0.164174,0.645906,0.585535
93,-0.177020,-0.177020,0.648727,0.585535
94,-0.164174,-0.164174,0.645906,0.585536
95,-0.177021,-0.177020,0.648727,0.585536
96,-0.164174,-0.164174,0.645906,0.585535
97,-0.177021,-0.177020,0.648727,0.585534
98,-0.164174,-0.164174,0.645906,0.585535
99,-0.177021,-0.177020,0.648727,0.585536
100,-0.164174,-0.164174,0.645906,0.585534
101,-0.177021,-0.177020,0.648727,0.585535
102,-0.164174,-0.164173,0.645906,0.585535
103,-0.177021,-0.177020,0.648727,0.585535
104,-0.164174,-0.164173,0.645907,0.585536
105,-0.177021,-0.177020,0.648728,0.585534
106,-0.164174,-0.164173,0.645907,0.585535
107,-0.177021,-0.177019,0.648728,0.585535
108,-0.164174,-0.164173,0.645908,0.585536
109,-0.177021,-0.177019,0.648729,0.585535
110,-0.164175,-0.164172,0.645909,0.585535
111,-0.177021,-0.177018,0.648731,0.585535
112,-0.164174,-0.164172,0.645911,0.585536
113,-0.177021,-0.177018,0.648733,0.585536
114,-0.164174,-0.164171,0.645913,0.585535
115,-0.177020,-0.177017,0.648735,0.585536
116,-0.164174,-0.164171,0.645915,0.585535
117,-0.177020,-0.177017,0.648736,0.585536
118,-0.164174,-0.164171,0.645914,0.585535
119,-0.177020,-0.177017,0.648735,0.585535
120,-0.164174,-0.164171,0.645914,0.585536
121,-0.177020,-0.177017,0.648735,0.585534
