Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.791200
1,0.411493,0.411493,3.751204,0.708080
2,0.416770,0.416770,2.929335,0.624944
3,0.416770,0.416770,2.486896,0.541808
4,0.416770,0.416770,2.242071,0.499692
5,0.325521,0.325521,1.973124,0.489190
6,0.188452,0.188452,1.658786,0.486085
7,0.104520,0.104520,1.429603,0.532624
8,0.117164,0.117164,1.355559,0.508336
9,0.079943,0.079943,1.264564,0.532624
10,0.081577,0.081577,1.234911,0.500367
11,0.050313,0.050313,1.213506,0.532623
12,0.041951,0.041951,1.130676,0.532623
13,0.000170,0.000170,1.069427,0.532625
14,-0.018992,-0.018992,1.031839,0.532625
15,-0.054648,-0.054648,0.966840,0.532625
16,-0.078129,-0.078129,0.905321,0.532623
17,-0.092683,-0.092683,0.862295,0.532624
18,-0.110257,-0.110257,0.829016,0.532624
19,-0.118872,-0.118872,0.806064,0.532625
20,-0.126780,-0.126780,0.795961,0.532623
21,-0.137756,-0.137756,0.787351,0.532623
22,-0.146916,-0.146916,0.780430,0.532623
23,-0.156359,-0.156359,0.776313,0.532625
24,-0.162982,-0.162982,0.773599,0.532624
25,-0.164471,-0.164471,0.771404,0.532624
26,-0.166529,-0.166529,0.769806,0.532624
27,-0.164901,-0.164901,0.768687,0.532623
28,-0.166003,-0.166003,0.767820,0.532625
29,-0.162595,-0.162595,0.767133,0.532625
30,-0.164281,-0.164281,0.766416,0.532625
31,-0.161341,-0.161341,0.766080,0.532623
32,-0.161665,-0.161665,0.765648,0.532623
33,-0.163383,-0.163383,0.765576,0.532625
34,-0.160390,-0.160391,0.765473,0.532624
35,-0.163652,-0.163652,0.765376,0.532624
36,-0.160586,-0.160586,0.765302,0.532624
37,-0.163798,-0.163799,0.765213,0.532624
38,-0.160808,-0.160805,0.765126,0.532624
39,-0.163320,-0.163328,0.764988,0.532624
40,-0.160370,-0.160366,0.764940,0.532623
41,-0.163685,-0.163685,0.764835,0.532625
42,-0.160506,-0.160509,0.764812,0.532624
43,-0.161930,-0.162160,0.764604,0.532624
44,-0.159109,-0.159254,0.764636,0.532624
45,-0.162350,-0.162590,0.764508,0.532623
46,-0.161143,-0.160633,0.764450,0.532624
47,-0.159898,-0.160043,0.764850,0.532625
48,-0.159732,-0.159439,0.765196,0.532624
49,-0.158352,-0.158316,0.765821,0.532624
50,-0.157646,-0.156346,0.766800,0.532625
51,-0.157930,-0.156205,0.767815,0.532624
52,-0.157569,-0.155832,0.769056,0.532624
53,-0.158179,-0.154829,0.771006,0.532623
54,-0.158618,-0.154954,0.773619,0.532623
55,-0.160264,-0.155381,0.775700,0.532624
56,-0.160817,-0.155763,0.780245,0.532625
57,-0.162684,-0.157217,0.785332,0.532625
58,-0.165058,-0.158235,0.788851,0.532624
59,-0.166482,-0.159183,0.792291,0.532624
60,-0.170517,-0.162250,0.793955,0.532624
61,-0.173790,-0.164225,0.794877,0.532624
62,-0.174967,-0.165838,0.796890,0.532625
63,-0.175497,-0.165919,0.799450,0.532623
64,-0.175974,-0.166467,0.802544,0.532623
65,-0.174782,-0.165315,0.805571,0.532623
66,-0.175355,-0.165310,0.807690,0.532624
67,-0.175377,-0.165638,0.809228,0.532624
68,-0.174694,-0.164793,0.811402,0.532625
69,-0.175947,-0.165738,0.813119,0.532624
70,-0.174969,-0.164679,0.815302,0.532625
71,-0.175979,-0.165387,0.817060,0.532624
72,-0.174999,-0.164302,0.818513,0.532625
73,-0.175131,-0.163797,0.819818,0.532625
74,-0.174543,-0.163652,0.820486,0.532624
75,-0.174850,-0.163432,0.820493,0.532623
76,-0.174420,-0.163586,0.819955,0.532625
77,-0.174855,-0.163554,0.819240,0.532625
78,-0.174485,-0.163753,0.818586,0.532625
79,-0.174958,-0.163745,0.817855,0.532624
80,-0.174896,-0.164176,0.816895,0.532624
81,-0.175670,-0.164399,0.815830,0.532623
82,-0.175604,-0.164833,0.814938,0.532624
83,-0.176367,-0.165053,0.814059,0.532624
84,-0.176274,-0.165469,0.813445,0.532623
85,-0.176992,-0.165610,0.813089,0.532624
86,-0.176688,-0.165802,0.813172,0.532625
87,-0.176913,-0.165494,0.813700,0.532625
88,-0.176286,-0.165429,0.814103,0.532624
89,-0.176549,-0.165236,0.814044,0.532624
90,-0.175984,-0.165257,0.814083,0.532624
