Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.895600
1,0.287874,0.287874,3.619409,0.787984
2,0.286805,0.286805,2.523380,0.680368
3,0.286805,0.286805,2.086185,0.577148
4,0.278568,0.278568,1.928372,0.570371
5,0.170844,0.170844,1.646690,0.577149
6,0.081024,0.081024,1.603618,0.577148
7,0.150765,0.150765,1.582729,0.577148
8,0.066766,0.066766,1.553061,0.577147
9,0.129173,0.129173,1.506560,0.577149
10,0.058887,0.058887,1.457664,0.577149
11,0.099323,0.099323,1.391641,0.577148
12,0.047494,0.047494,1.321703,0.577148
13,0.055485,0.055485,1.247179,0.577149
14,0.025648,0.025648,1.228268,0.577149
15,0.017449,0.017449,1.156507,0.577148
16,-0.001695,-0.001695,1.136155,0.577148
17,-0.006029,-0.006029,1.100812,0.577148
18,-0.031161,-0.031161,1.068978,0.577147
19,-0.055760,-0.055760,1.008720,0.577148
20,-0.104876,-0.104876,0.926755,0.577149
21,-0.135854,-0.135854,0.831097,0.577149
22,-0.182537,-0.182537,0.743933,0.577148
23,-0.222317,-0.222317,0.664048,0.577148
24,-0.251758,-0.251758,0.604778,0.577149
25,-0.278527,-0.278527,0.554495,0.577149
26,-0.294029,-0.294029,0.511263,0.577148
27,-0.317800,-0.317800,0.467437,0.577149
28,-0.340219,-0.340219,0.429462,0.577148
29,-0.359345,-0.359345,0.402153,0.577148
30,-0.372372,-0.372372,0.390102,0.577148
31,-0.381747,-0.381747,0.383491,0.577148
32,-0.386641,-0.386641,0.379610,0.577148
33,-0.389634,-0.389634,0.376411,0.577147
34,-0.390278,-0.390278,0.373579,0.577147
35,-0.390449,-0.390449,0.370859,0.577148
36,-0.389951,-0.389951,0.368247,0.577148
37,-0.389311,-0.389311,0.365850,0.577149
38,-0.389519,-0.389519,0.363760,0.577148
39,-0.388757,-0.388757,0.361784,0.577147
40,-0.386521,-0.386521,0.359990,0.577149
41,-0.385979,-0.385979,0.358409,0.577148
42,-0.384529,-0.384531,0.356953,0.577148
43,-0.384922,-0.384924,0.355708,0.577147
44,-0.386145,-0.386146,0.354673,0.577149
45,-0.387132,-0.387133,0.354156,0.577147
46,-0.388566,-0.388568,0.353746,0.577149
47,-0.388725,-0.388755,0.353336,0.577148
48,-0.389398,-0.389539,0.352863,0.577149
49,-0.389869,-0.390273,0.352250,0.577148
50,-0.389704,-0.390845,0.351586,0.577147
51,-0.388981,-0.391625,0.350917,0.577147
52,-0.387247,-0.391188,0.350580,0.577147
53,-0.386369,-0.390685,0.350514,0.577149
54,-0.385368,-0.389751,0.350648,0.577148
55,-0.384764,-0.389073,0.350873,0.577148
56,-0.384863,-0.389047,0.351213,0.577148
57,-0.385307,-0.389281,0.351621,0.577147
58,-0.385770,-0.389527,0.352184,0.577148
59,-0.386313,-0.389885,0.352625,0.577148
60,-0.386957,-0.390382,0.352942,0.577148
61,-0.387168,-0.390792,0.353129,0.577148
62,-0.387341,-0.391281,0.353319,0.577148
63,-0.387788,-0.391973,0.353702,0.577149
64,-0.388435,-0.392781,0.354076,0.577148
65,-0.389119,-0.393644,0.354548,0.577148
66,-0.389938,-0.394536,0.355016,0.577149
67,-0.389922,-0.394915,0.355587,0.577149
68,-0.389375,-0.395127,0.356245,0.577147
69,-0.389179,-0.395441,0.356831,0.577148
70,-0.389210,-0.395831,0.357305,0.577148
71,-0.389386,-0.396215,0.357697,0.577147
72,-0.389733,-0.396579,0.358026,0.577148
73,-0.390084,-0.396910,0.358283,0.577147
74,-0.390430,-0.397241,0.358499,0.577148
75,-0.390584,-0.397542,0.358607,0.577148
76,-0.390663,-0.397813,0.358644,0.577148
77,-0.390751,-0.398070,0.358676,0.577148
78,-0.390993,-0.398318,0.358761,0.577148
79,-0.391416,-0.398530,0.358904,0.577148
80,-0.391917,-0.398674,0.359113,0.577148
81,-0.392354,-0.398709,0.359428,0.577148
82,-0.392781,-0.398656,0.359858,0.577147
83,-0.392772,-0.398386,0.360400,0.577147
84,-0.392614,-0.398063,0.360951,0.577148
85,-0.392429,-0.397744,0.361441,0.577148
86,-0.392216,-0.397442,0.361838,0.577148
87,-0.392161,-0.397223,0.362097,0.577149
88,-0.392243,-0.397097,0.362189,0.577148
89,-0.392392,-0.397070,0.362141,0.577148
90,-0.392626,-0.397082,0.362023,0.577148
91,-0.392895,-0.397122,0.361889,0.577148
92,-0.393118,-0.397144,0.361823,0.577147
93,-0.393409,-0.397161,0.361826,0.577147
94,-0.393780,-0.397160,0.361890,0.577148
95,-0.393888,-0.397068,0.361916,0.577148
96,-0.394026,-0.396976,0.361958,0.577148
97,-0.394197,-0.396885,0.362011,0.577148
98,-0.394380,-0.396793,0.362073,0.577148
99,-0.394572,-0.396706,0.362145,0.577148
100,-0.394769,-0.396622,0.362230,0.577148
101,-0.394965,-0.396543,0.362323,0.577148
102,-0.395010,-0.396531,0.362348,0.577149
103,-0.395084,-0.396550,0.362367,0.577148
104,-0.395162,-0.396569,0.362396,0.577149
105,-0.395235,-0.396586,0.362425,0.577148
106,-0.395314,-0.396604,0.362464,0.577148
107,-0.395389,-0.396619,0.362505,0.577148
108,-0.395464,-0.396633,0.362550,0.577147
109,-0.395539,-0.396644,0.362598,0.577148
