Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.916800
1,0.295616,0.295616,4.075285,0.841818
2,0.292429,0.292429,3.008374,0.766835
3,0.292429,0.292429,2.380911,0.691853
4,0.292429,0.292429,2.062336,0.616871
5,0.292429,0.292429,1.928519,0.541888
6,0.292429,0.292429,1.895384,0.530089
7,0.224945,0.224945,1.748161,0.530089
8,0.153546,0.153546,1.662171,0.530089
9,0.151958,0.151958,1.646794,0.530090
10,0.096132,0.096132,1.632304,0.530088
11,0.144364,0.144364,1.611671,0.530089
12,0.086541,0.086541,1.586245,0.530089
13,0.127985,0.127985,1.554171,0.530090
14,0.083795,0.083795,1.522735,0.530089
15,0.102433,0.102433,1.469314,0.530089
16,0.076606,0.076606,1.437873,0.530090
17,0.090678,0.090678,1.390492,0.530089
18,0.083425,0.083425,1.357782,0.530088
19,0.082426,0.082426,1.323148,0.530089
20,0.075127,0.075127,1.297802,0.530090
21,0.070178,0.070178,1.263835,0.530089
22,0.052497,0.052497,1.234092,0.530088
23,0.038861,0.038861,1.196544,0.530088
24,0.013005,0.013005,1.155859,0.530089
25,-0.004596,-0.004596,1.115453,0.530088
26,-0.033077,-0.033077,1.068652,0.530089
27,-0.060249,-0.060249,1.018012,0.530089
28,-0.092053,-0.092053,0.964727,0.530089
29,-0.125811,-0.125811,0.910201,0.530089
30,-0.159649,-0.159649,0.859862,0.530088
31,-0.192540,-0.192539,0.816244,0.530088
32,-0.216828,-0.216828,0.776549,0.530088
33,-0.243447,-0.243456,0.740354,0.530090
34,-0.268368,-0.268358,0.708447,0.530089
35,-0.288084,-0.288245,0.678826,0.530089
36,-0.304610,-0.304671,0.652163,0.530090
37,-0.318411,-0.318431,0.628598,0.530088
38,-0.329661,-0.329649,0.608349,0.530089
39,-0.340249,-0.340162,0.591499,0.530089
40,-0.351566,-0.351524,0.578439,0.530089
41,-0.363374,-0.363015,0.568634,0.530090
42,-0.373890,-0.373091,0.561282,0.530089
43,-0.385985,-0.384646,0.556290,0.530089
44,-0.396523,-0.395054,0.552998,0.530090
45,-0.405985,-0.406208,0.550173,0.530089
46,-0.413287,-0.415600,0.547222,0.530089
47,-0.421290,-0.425239,0.543398,0.530089
48,-0.429120,-0.434478,0.539729,0.530090
49,-0.433787,-0.440529,0.536881,0.530089
50,-0.436460,-0.444603,0.534163,0.530088
51,-0.438632,-0.447338,0.531586,0.530089
52,-0.438570,-0.447183,0.529302,0.530089
53,-0.438015,-0.446147,0.527020,0.530089
54,-0.437590,-0.445039,0.524930,0.530088
55,-0.436741,-0.443532,0.523265,0.530089
56,-0.436294,-0.442259,0.522991,0.530089
57,-0.435716,-0.440993,0.522694,0.530090
58,-0.434577,-0.440135,0.523812,0.530089
59,-0.433293,-0.439576,0.526038,0.530088
60,-0.431497,-0.439359,0.529946,0.530088
61,-0.429198,-0.439306,0.535764,0.530088
62,-0.426302,-0.439359,0.544585,0.530089
63,-0.423000,-0.439896,0.557040,0.530089
64,-0.418238,-0.440013,0.571975,0.530088
65,-0.413053,-0.439785,0.588486,0.530090
66,-0.408407,-0.439236,0.604993,0.530089
67,-0.404859,-0.438964,0.621958,0.530089
68,-0.401991,-0.438086,0.637729,0.530089
69,-0.399429,-0.436806,0.654379,0.530089
70,-0.397567,-0.434739,0.670632,0.530089
71,-0.397613,-0.433625,0.684621,0.530089
72,-0.400535,-0.434027,0.693576,0.530088
73,-0.406565,-0.435924,0.697512,0.530088
74,-0.414666,-0.439024,0.699435,0.530089
75,-0.423663,-0.442987,0.699511,0.530089
76,-0.430489,-0.446257,0.699670,0.530089
77,-0.435235,-0.448401,0.701074,0.530089
78,-0.439302,-0.449888,0.704078,0.530089
79,-0.443717,-0.451677,0.707801,0.530089
80,-0.448570,-0.452445,0.711002,0.530088
81,-0.454281,-0.454099,0.713022,0.530089
82,-0.461476,-0.456938,0.712945,0.530089
83,-0.468018,-0.459129,0.712012,0.530089
84,-0.473039,-0.461197,0.710712,0.530090
85,-0.475257,-0.462555,0.710251,0.530089
86,-0.475917,-0.463349,0.709893,0.530090
87,-0.475006,-0.462197,0.713071,0.530090
88,-0.473958,-0.461506,0.718340,0.530088
89,-0.471278,-0.460269,0.728111,0.530089
90,-0.468118,-0.459216,0.740954,0.530089
91,-0.465698,-0.459118,0.753714,0.530089
92,-0.464536,-0.461157,0.762276,0.530089
