Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.926000
1,0.294224,0.294224,4.148418,0.812246
2,0.289108,0.289108,2.558588,0.698493
3,0.289108,0.289108,1.989794,0.584739
4,0.289108,0.289108,1.871230,0.518548
5,0.229366,0.229366,1.785797,0.518546
6,0.130849,0.130849,1.701966,0.518547
7,0.155083,0.155083,1.672506,0.518547
8,0.068330,0.068330,1.624343,0.518547
9,0.086938,0.086938,1.492598,0.518546
10,0.072437,0.072437,1.376793,0.518547
11,0.066667,0.066667,1.275153,0.518548
12,0.073668,0.073668,1.189647,0.518547
13,0.071772,0.071772,1.132280,0.518548
14,0.067170,0.067170,1.095538,0.518548
15,0.048556,0.048556,1.052158,0.518547
16,0.014733,0.014733,0.984186,0.518547
17,-0.041654,-0.041654,0.889752,0.518548
18,-0.118505,-0.118505,0.784963,0.518547
19,-0.194420,-0.194420,0.690757,0.518547
20,-0.256557,-0.256557,0.615997,0.518546
21,-0.293601,-0.293601,0.556463,0.518547
22,-0.326108,-0.326108,0.508996,0.518546
23,-0.357664,-0.357664,0.470758,0.518547
24,-0.373806,-0.373806,0.437512,0.518547
25,-0.386541,-0.386541,0.412088,0.518548
26,-0.390681,-0.390681,0.393624,0.518546
27,-0.395018,-0.395018,0.380458,0.518546
28,-0.400300,-0.400300,0.372154,0.518546
29,-0.406313,-0.406313,0.365435,0.518547
30,-0.411753,-0.411753,0.360591,0.518547
31,-0.416961,-0.416961,0.356065,0.518547
32,-0.419613,-0.419613,0.352691,0.518546
33,-0.421308,-0.421308,0.349959,0.518548
34,-0.423733,-0.423730,0.348468,0.518547
35,-0.425484,-0.425482,0.346374,0.518546
36,-0.427600,-0.427598,0.345116,0.518547
37,-0.428046,-0.428045,0.343534,0.518547
38,-0.430797,-0.430796,0.343007,0.518548
39,-0.432589,-0.432583,0.341872,0.518547
40,-0.435853,-0.435858,0.341497,0.518547
41,-0.437204,-0.437144,0.340525,0.518548
42,-0.436402,-0.436374,0.340116,0.518547
43,-0.437065,-0.436913,0.339030,0.518548
44,-0.436065,-0.435857,0.338684,0.518548
45,-0.437156,-0.436472,0.337583,0.518547
46,-0.436565,-0.435800,0.337449,0.518548
47,-0.439024,-0.437449,0.336901,0.518547
48,-0.439353,-0.439831,0.337951,0.518548
49,-0.441934,-0.443030,0.338214,0.518547
50,-0.441782,-0.443012,0.337411,0.518548
51,-0.444071,-0.445726,0.336404,0.518547
52,-0.443228,-0.445258,0.335015,0.518548
53,-0.444299,-0.446771,0.334282,0.518546
54,-0.442228,-0.445183,0.333732,0.518547
55,-0.443570,-0.446659,0.333177,0.518547
56,-0.441678,-0.444858,0.332668,0.518547
57,-0.443240,-0.446368,0.332266,0.518547
58,-0.440787,-0.444128,0.332019,0.518546
59,-0.442111,-0.445830,0.331903,0.518547
60,-0.439757,-0.443731,0.331903,0.518546
61,-0.440477,-0.444842,0.332014,0.518546
62,-0.439490,-0.443940,0.332298,0.518548
63,-0.438092,-0.442711,0.332635,0.518547
64,-0.437076,-0.441484,0.332794,0.518546
65,-0.436158,-0.440348,0.333093,0.518548
