seed,obj,v12,v21,obj_val,success,n_iters,converged,elapsed,volfrac,penal,rmin,move,void_size_frac,rotation_deg,v12_clipped,f_proxy
circle_half_quarter,auxetic,0.0459069937093632,0.0460045237074023,63.270317510007104,True,41,True,15.17,0.558782,2.144294,3.355384,0.163095,0.476985,13.265491,0.0459069937093632,1.1942448435145303
hexagonal,auxetic,0.0521044864541889,0.0513033133181241,78.444924555482,True,121,True,33.98,0.581456,3.279638,2.6125,0.055744,0.539565,55.473303,0.0521044864541889,1.3239328451372965
circle,auxetic,0.0564182596233772,0.0564182596235161,79.32907582224229,True,80,True,24.63,0.581456,3.279638,2.6125,0.055744,0.539565,55.473303,0.0564182596233772,1.3776479148373264
cross_rectangular,auxetic,0.0628553888765935,0.0628548473214684,71.76026238189338,True,102,True,37.19,0.558782,2.144294,3.355384,0.163095,0.476985,13.265491,0.0628553888765935,1.3974143766230658
cross_rectangular,auxetic,0.0631312839513322,0.0633570313172436,79.78909136478762,True,150,True,42.25,0.581456,3.279638,2.6125,0.055744,0.539565,55.473303,0.0631312839513322,1.4573058480980547
hexagonal,auxetic,0.0717565484631321,0.072176120198786,73.77465702061798,True,106,True,39.45,0.558782,2.144294,3.355384,0.163095,0.476985,13.265491,0.0717565484631321,1.4930856396825107
cross_rectangular,auxetic,0.083132696634613,0.0831387625695585,72.70852964277276,True,116,True,39.42,0.520874,4.048524,4.648114,0.18342,0.60228,56.40901,0.083132696634613,1.4980632638229636
square,auxetic,0.0907442423475886,0.0906759260570954,68.21610151862625,True,150,True,51.91,0.558782,2.144294,3.355384,0.163095,0.476985,13.265491,0.0907442423475886,1.6790494530848448
small_square_cross,auxetic,0.0910309194138263,0.0909691294015593,72.88848383021664,True,150,True,41.03,0.581456,3.279638,2.6125,0.055744,0.539565,55.473303,0.0910309194138263,1.749938803013596
hexagonal,auxetic,0.1105890032503795,0.1103263237288955,98.1878091861497,True,98,True,34.8,0.565105,4.752988,5.888199,0.225191,0.680914,68.940527,0.1105890032503795,1.8745484171193445
square,auxetic,0.1144192966664172,0.1144192981805546,94.42423127671351,True,39,True,14.66,0.593808,4.80489,2.81414,0.066513,0.279058,32.44388,0.1144192966664172,2.003582462233318
hourglass,auxetic,0.1314429145338207,0.1314430595095486,102.47635192728346,True,53,True,20.3,0.565105,4.752988,5.888199,0.225191,0.680914,68.940527,0.1314429145338207,2.043662991672339
square,auxetic,0.1427122331890918,0.1426560237813713,82.0172631695026,True,81,True,24.82,0.581456,3.279638,2.6125,0.055744,0.539565,55.473303,0.1427122331890918,2.1910838499195644
