batch,seed,sample_id,image_path,v12,v21,volfrac_achieved,obj_value,converged,volfrac,penal,rmin,move,void_size_frac,n_components,is_connected,degenerate,solid_frac
1,circle,9,outputs/multi_batch/batch_1/circle/sample_0009/iteration_00150.png,-0.2869537832908558,-0.2984028186702886,0.622847,0.6837106933066914,True,0.63433,3.247278,2.124004,0.052368,0.282766,3,False,False,0.626708984375
1,circle,14,outputs/multi_batch/batch_1/circle/sample_0014/iteration_00150.png,-0.0080839441164849,-0.0093288477911618,0.501768,1.63677679064361,True,0.602903,4.038759,2.356372,0.079108,0.30143,2,False,False,0.502685546875
1,circle,16,outputs/multi_batch/batch_1/circle/sample_0016/iteration_00150.png,-0.3329431892924739,-0.333063195086857,0.651875,0.6711589967901271,True,0.651875,3.901334,2.071143,0.240419,0.39533,2,False,False,0.66552734375
1,circle,21,outputs/multi_batch/batch_1/circle/sample_0021/iteration_00150.png,-0.3555955719559078,-0.3480241461293335,0.491319,0.9208563448247092,True,0.491319,2.081488,1.869401,0.112808,0.323602,4,False,False,0.50244140625
1,circle,25,outputs/multi_batch/batch_1/circle/sample_0025/iteration_00150.png,-0.2168626689496253,-0.2168626689498588,0.573415,0.8340798922723066,True,0.658726,2.587172,2.496136,0.069279,0.521611,2,False,False,0.578125
1,circle,26,outputs/multi_batch/batch_1/circle/sample_0026/iteration_00150.png,-0.4390669617144275,-0.4237968664402911,0.622328,0.6836451235723419,True,0.622328,4.130411,1.587567,0.105427,0.344714,2,False,False,0.630615234375
1,circle,31,outputs/multi_batch/batch_1/circle/sample_0031/iteration_00150.png,-0.3858077307188081,-0.4074007436082787,0.518866,0.7286717869976738,True,0.532526,2.199259,1.4155,0.229035,0.27124,2,False,False,0.518798828125
1,circle,34,outputs/multi_batch/batch_1/circle/sample_0034/iteration_00150.png,-0.1291584915891857,-0.2095808259497518,0.4012,1.6999099199541725,True,0.518387,4.998916,1.522834,0.130772,0.317944,2,False,False,0.40576171875
1,circle,37,outputs/multi_batch/batch_1/circle/sample_0037/iteration_00150.png,0.0191638642727849,0.0130378280730704,0.347132,1.6968065355194484,True,0.549934,2.662028,1.009207,0.100899,0.261629,13,False,False,0.3359375
1,circle,41,outputs/multi_batch/batch_1/circle/sample_0041/iteration_00150.png,-0.2470827944258726,-0.2443739624516105,0.579458,0.753730026697348,True,0.600054,2.147257,1.624888,0.057761,0.494796,2,False,False,0.581787109375
