batch,seed,sample_id,image_path,v12,v21,volfrac_achieved,obj_value,converged,volfrac,penal,rmin,move,void_size_frac,n_components,is_connected,degenerate,solid_frac,n_iters,max_iter,hit_cap,osc_score,osc_unstable
1,circle,1,outputs/multi_batch/batch_1/circle/sample_0001/iteration_00150.png,3.214699359769191e-05,3.235548369000134e-05,0.456511,0.8413833821152656,True,0.456512,2.360669,1.136855,0.090492,0.332027,1,True,False,0.45556640625,150,150,True,0.18729484456458778,True
1,circle,9,outputs/multi_batch/batch_1/circle/sample_0009/iteration_00150.png,-0.2869537832908558,-0.2984028186702886,0.622847,0.6837106933066914,True,0.63433,3.247278,2.124004,0.052368,0.282766,3,False,False,0.626708984375,150,150,True,0.0007953849611111606,False
1,circle,13,outputs/multi_batch/batch_1/circle/sample_0013/iteration_00150.png,-0.1041374468868904,-0.1041374468869677,0.6888,0.6710094073559295,True,0.6935,2.494026,1.729053,0.146183,0.433947,1,True,False,0.688720703125,150,150,True,0.18691798303097204,True
1,circle,14,outputs/multi_batch/batch_1/circle/sample_0014/iteration_00150.png,-0.0080839441164849,-0.0093288477911618,0.501768,1.63677679064361,True,0.602903,4.038759,2.356372,0.079108,0.30143,2,False,False,0.502685546875,150,150,True,1.782550845846797,True
1,circle,16,outputs/multi_batch/batch_1/circle/sample_0016/iteration_00150.png,-0.3329431892924739,-0.333063195086857,0.651875,0.6711589967901271,True,0.651875,3.901334,2.071143,0.240419,0.39533,2,False,False,0.66552734375,150,150,True,0.044294910931417124,False
1,circle,19,outputs/multi_batch/batch_1/circle/sample_0019/iteration_00150.png,-0.1122186375482908,-0.1122186391747889,0.617431,0.6465854677316459,True,0.617431,2.444499,1.268775,0.185851,0.487996,1,True,False,0.620361328125,150,150,True,0.1656703305427282,True
1,circle,20,outputs/multi_batch/batch_1/circle/sample_0020/iteration_00150.png,-0.0757013045139706,-0.0757012916857736,0.585868,0.8768984687188544,True,0.585869,4.653945,1.688254,0.159102,0.544149,1,True,False,0.584716796875,150,150,True,0.38806627701250623,True
1,circle,21,outputs/multi_batch/batch_1/circle/sample_0021/iteration_00150.png,-0.3555955719559078,-0.3480241461293335,0.491319,0.9208563448247092,True,0.491319,2.081488,1.869401,0.112808,0.323602,4,False,False,0.50244140625,150,150,True,0.0029410302428940728,False
1,circle,25,outputs/multi_batch/batch_1/circle/sample_0025/iteration_00150.png,-0.2168626689496253,-0.2168626689498588,0.573415,0.8340798922723066,True,0.658726,2.587172,2.496136,0.069279,0.521611,2,False,False,0.578125,150,150,True,0.19349936910548246,True
1,circle,26,outputs/multi_batch/batch_1/circle/sample_0026/iteration_00150.png,-0.4390669617144275,-0.4237968664402911,0.622328,0.6836451235723419,True,0.622328,4.130411,1.587567,0.105427,0.344714,2,False,False,0.630615234375,150,150,True,0.004361485250162269,False
1,circle,31,outputs/multi_batch/batch_1/circle/sample_0031/iteration_00150.png,-0.3858077307188081,-0.4074007436082787,0.518866,0.7286717869976738,True,0.532526,2.199259,1.4155,0.229035,0.27124,2,False,False,0.518798828125,150,150,True,0.004781211006891904,False
