design_id,png_path,target_v12,target_v21,v12_achieved,is_auxetic_target,hit,n_manufacturable,frac_manufacturable,n_valid_samples,best_is_manufacturable
design_000,outputs/phase5/design_library/design_000.png,-0.7216401100158691,-0.388627827167511,-0.7228376192527332,True,True,9,0.3,9,True
design_001,outputs/phase5/design_library/design_001.png,-0.3186587989330292,-0.6799765229225159,-0.28915632194955176,True,True,5,0.16666666666666666,5,True
design_002,outputs/phase5/design_library/design_002.png,-0.6785142421722412,-0.46737003326416016,-0.6751535597943732,True,True,5,0.16666666666666666,5,True
design_003,outputs/phase5/design_library/design_003.png,-0.22394098341464996,-0.29576393961906433,-0.22836153711799984,True,True,14,0.4666666666666667,14,True
design_004,outputs/phase5/design_library/design_004.png,-0.13853277266025543,-0.12451320886611938,-0.13309168424298545,True,True,16,0.5333333333333333,16,True
design_005,outputs/phase5/design_library/design_005.png,-0.6281712055206299,-0.3879254162311554,-0.6150673893795742,True,True,13,0.43333333333333335,13,True
design_006,outputs/phase5/design_library/design_006.png,-0.6960035562515259,-0.46687236428260803,-0.6881182913055061,True,True,5,0.16666666666666666,5,True
design_007,outputs/phase5/design_library/design_007.png,-0.47584012150764465,-0.41958996653556824,-0.4560925131280331,True,True,9,0.3,9,True
design_008,outputs/phase5/design_library/design_008.png,-0.03852575272321701,-0.8256574869155884,-0.04938627355535992,True,True,3,0.1,3,True
design_009,outputs/phase5/design_library/design_009.png,-0.3822976052761078,-0.6391703486442566,-0.3537167270015333,True,True,6,0.2,6,True
design_010,outputs/phase5/design_library/design_010.png,-0.5192636847496033,-0.5601204037666321,-0.54110606860014,True,True,5,0.16666666666666666,5,True
design_011,outputs/phase5/design_library/design_011.png,-0.8118477463722229,-0.39119136333465576,-0.8083228934095473,True,True,9,0.3,9,True
design_012,outputs/phase5/design_library/design_012.png,-0.6024829745292664,-0.530307412147522,-0.5901659522531705,True,True,5,0.16666666666666666,5,True
design_013,outputs/phase5/design_library/design_013.png,-0.13118219375610352,-1.2060645818710327,-0.12435653914600843,True,True,0,0.0,30,False
design_014,outputs/phase5/design_library/design_014.png,-0.3155035972595215,-0.3155093789100647,-0.32803534219362224,True,True,14,0.4666666666666667,14,True
design_015,outputs/phase5/design_library/design_015.png,-0.20514678955078125,-0.4774373173713684,-0.20276102252445005,True,True,12,0.4,12,True
design_016,outputs/phase5/design_library/design_016.png,-0.24205510318279266,-0.24142853915691376,-0.22486123779364345,True,True,13,0.43333333333333335,13,True
design_017,outputs/phase5/design_library/design_017.png,-0.4501860737800598,-0.45725345611572266,-0.45305488770028707,True,True,11,0.36666666666666664,11,True
design_018,outputs/phase5/design_library/design_018.png,-0.5449835658073425,-0.5122517347335815,-0.5529269133036525,True,True,4,0.13333333333333333,4,True
design_019,outputs/phase5/design_library/design_019.png,-0.25037357211112976,-0.520362913608551,-0.2474435324613684,True,True,7,0.23333333333333334,7,True
design_020,outputs/phase5/design_library/design_020.png,-0.4277324974536896,-0.4630504846572876,-0.41492079478261024,True,True,12,0.4,12,True
design_021,outputs/phase5/design_library/design_021.png,-0.7130417227745056,-0.3939507305622101,-0.7138955488198737,True,True,9,0.3,9,True
design_022,outputs/phase5/design_library/design_022.png,-0.06912685185670853,-1.0094614028930664,-0.06800351371389327,True,True,0,0.0,30,False
design_023,outputs/phase5/design_library/design_023.png,-0.1029205173254013,-1.1041653156280518,-0.09829481663744317,True,True,0,0.0,30,False
