config,sample_id,pair_idx,volfrac,void_size_frac,v12,v21,Q11,Q22,converged,n_iters,hit_cap,is_connected,n_components,degenerate,volfrac_achieved,osc_score,osc_unstable,is_clean,elapsed_s
q12,q12_00008,8,0.524339379436763,0.3324756431632238,-0.6424231354017298,-0.7621656367967522,20.713006174635332,24.642786398564283,True,85,False,True,1,False,0.5243384461896085,0.024798404728321514,False,True,12.003562211990356
normalized,normalized_00008,8,0.524339379436763,0.3324756431632238,0.12038157697335632,0.12053881034017654,38.8560620799628,38.90681294746107,True,150,True,False,10,False,0.7108895851892397,1.210144927536232,True,False,20.144220113754272
q12,q12_00002,2,0.5124814912353949,0.2955994520336203,-0.623439565743755,-0.7822449582293802,19.670514260926602,24.681078100578468,True,81,False,True,1,False,0.5124814315526274,0.021364752623065145,False,True,11.630874395370483
normalized,normalized_00002,2,0.5124814912353949,0.2955994520336203,-0.587802228114273,-0.7786502084423484,13.56928265357869,15.393553900173913,True,150,True,True,1,False,0.6095777199064231,0.17240852179918437,True,False,21.53167200088501
q12,q12_00004,4,0.5480892009394567,0.35080725777960453,-0.7430856126046065,-0.6771807508114325,25.193393348840765,22.959009749159552,True,104,False,True,1,False,0.5480899416801736,0.003687963793593776,False,True,15.075319051742554
normalized,normalized_00004,4,0.5480892009394567,0.35080725777960453,0.11825217246289518,0.11851127676797274,36.05997239926959,36.13898400552625,True,150,True,False,12,False,0.6957381426633901,1.3746586487442514,True,False,20.722422122955322
q12,q12_00009,9,0.5345556014913693,0.3091229140198042,-0.71087003803033,-0.6728587019209782,23.376399034352065,22.056940038096563,True,150,True,True,1,False,0.534556270442341,0.00700847192706285,False,True,20.882489919662476
normalized,normalized_00009,9,0.5345556014913693,0.3091229140198042,0.1301085818890407,0.12984852851455506,42.19648670076019,42.112146847088226,True,150,True,False,8,False,0.7234397039720625,1.1262578091468354,True,False,20.873876333236694
q12,q12_00000,0,0.529963209507789,0.37507143064099163,-0.2498289625994368,-0.4776735242397189,15.381738828734953,21.866489395488756,True,150,True,True,1,False,0.5299628650906134,0.009997696530719443,False,True,22.311121463775635
normalized,normalized_00000,0,0.529963209507789,0.37507143064099163,0.10120980857330554,0.08896847143158709,39.479391355391364,34.70435476018527,True,150,True,False,10,False,0.6807022590564833,1.102415857939294,True,False,20.033730506896973
q12,q12_00006,6,0.5665954112640337,0.30123391106782765,-0.6515327482016577,-0.7141682092076096,23.391376215819776,25.64011904459264,True,150,True,True,1,False,0.5665955337703255,0.007407215887177554,False,True,21.725053548812866
normalized,normalized_00006,6,0.5665954112640337,0.30123391106782765,0.12331775025958347,0.13050079458025293,41.78959847701864,44.22376985438759,True,150,True,False,8,False,0.7313937845544498,1.2848385562542939,True,False,21.585991144180298
q12,q12_00001,1,0.5585595153449123,0.3398658484197037,-0.6356440516270169,-0.6403549949354751,25.449245264275465,25.641628962087648,True,150,True,True,1,False,0.5585585730456096,0.011771437070080494,False,True,21.7292423248291
