Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.944400
1,0.300735,0.299279,0.300006,0.755576
2,0.297965,0.298022,0.297993,0.566696
3,0.297965,0.298022,0.297994,0.524369
4,0.192245,0.196004,0.194116,0.524370
5,0.070820,0.077173,0.075786,0.571695
6,0.125939,0.001613,0.926211,0.609364
7,0.124196,0.061947,0.087713,0.524369
8,0.044883,0.038911,0.041790,0.524372
9,0.005418,0.001531,0.144760,0.573417
10,0.005417,0.006261,0.005824,0.524370
11,-0.072152,-0.175502,-0.112529,0.484769
12,-0.172822,-0.358492,-0.200059,0.502203
13,-0.274846,-0.171258,-0.214950,0.470906
14,-0.490095,-0.564973,-0.521563,0.457025
15,-0.592923,-0.724231,-0.609469,0.496780
16,-0.605751,-0.654874,-0.629834,0.491424
17,-0.651565,-0.806272,-0.598456,0.556580
18,-0.576655,-0.619915,-0.597894,0.524370
19,-0.655364,-0.805988,-0.643962,0.576751
20,-0.617183,-0.676899,-0.646352,0.524370
21,-0.671397,-0.827838,-0.628721,0.587442
22,-0.582520,-0.624448,-0.603119,0.524369
23,-0.664193,-0.827586,-0.644542,0.585462
24,-0.601310,-0.644982,-0.622764,0.524369
25,-0.667201,-0.829075,-0.641575,0.586271
26,-0.594243,-0.634263,-0.613927,0.524370
27,-0.664694,-0.830412,-0.646517,0.585980
28,-0.599515,-0.643011,-0.620882,0.524369
29,-0.666050,-0.831370,-0.635750,0.587586
30,-0.586632,-0.627377,-0.606662,0.524369
31,-0.664436,-0.828696,-0.644945,0.586926
32,-0.591687,-0.633084,-0.612035,0.524368
33,-0.664470,-0.829335,-0.640485,0.587028
34,-0.589805,-0.632196,-0.610632,0.524369
35,-0.664798,-0.828911,-0.639308,0.587238
36,-0.587185,-0.627655,-0.607083,0.524369
37,-0.664259,-0.829139,-0.644534,0.586817
38,-0.594065,-0.637913,-0.615599,0.524369
39,-0.665233,-0.828784,-0.636666,0.587297
40,-0.589607,-0.632352,-0.610606,0.524370
41,-0.664723,-0.828836,-0.639756,0.587464
42,-0.587040,-0.627752,-0.607055,0.524369
43,-0.664243,-0.828949,-0.644992,0.586984
44,-0.593996,-0.637926,-0.615569,0.524369
45,-0.665205,-0.828821,-0.636610,0.587464
46,-0.589593,-0.632362,-0.610603,0.524368
47,-0.664713,-0.828845,-0.639764,0.587474
48,-0.587031,-0.627763,-0.607056,0.524370
49,-0.664234,-0.828957,-0.644999,0.586994
50,-0.593986,-0.637936,-0.615569,0.524369
51,-0.665195,-0.828832,-0.636611,0.587474
52,-0.589584,-0.632372,-0.610603,0.524369
53,-0.664710,-0.828846,-0.639770,0.587637
54,-0.587021,-0.627769,-0.607053,0.524370
55,-0.664231,-0.828960,-0.645003,0.586997
56,-0.593983,-0.637940,-0.615569,0.524368
57,-0.665191,-0.828837,-0.636611,0.587477
58,-0.589581,-0.632376,-0.610603,0.524368
59,-0.664709,-0.828847,-0.639772,0.587639
60,-0.587019,-0.627770,-0.607053,0.524369
61,-0.664230,-0.828961,-0.645004,0.586999
62,-0.593982,-0.637941,-0.615569,0.524370
63,-0.665190,-0.828838,-0.636612,0.587479
64,-0.589580,-0.632377,-0.610604,0.524369
65,-0.664708,-0.828847,-0.639773,0.587639
66,-0.587019,-0.627771,-0.607053,0.524370
67,-0.664229,-0.828961,-0.645005,0.586999
68,-0.593981,-0.637941,-0.615569,0.524370
69,-0.665189,-0.828838,-0.636612,0.587479
70,-0.589579,-0.632377,-0.610604,0.524369
71,-0.664708,-0.828847,-0.639773,0.587639
72,-0.587019,-0.627771,-0.607053,0.524370
73,-0.664229,-0.828961,-0.645005,0.586999
74,-0.593981,-0.637942,-0.615569,0.524369
75,-0.665189,-0.828839,-0.636611,0.587479
76,-0.589579,-0.632378,-0.610604,0.524369
77,-0.664708,-0.828847,-0.639774,0.587639
78,-0.587019,-0.627771,-0.607053,0.524370
79,-0.664229,-0.828962,-0.645005,0.586999
80,-0.593981,-0.637942,-0.615569,0.524369
81,-0.665189,-0.828839,-0.636611,0.587479
82,-0.589579,-0.632378,-0.610604,0.524369
83,-0.664708,-0.828847,-0.639774,0.587639
84,-0.587019,-0.627771,-0.607053,0.524370
85,-0.664229,-0.828962,-0.645005,0.586999
86,-0.593981,-0.637942,-0.615569,0.524369
87,-0.665189,-0.828839,-0.636611,0.587479
88,-0.589579,-0.632378,-0.610604,0.524369
89,-0.664708,-0.828847,-0.639774,0.587639
90,-0.587019,-0.627771,-0.607053,0.524370
91,-0.664229,-0.828962,-0.645005,0.586999
92,-0.593981,-0.637942,-0.615569,0.524369
93,-0.665189,-0.828839,-0.636611,0.587479
94,-0.589579,-0.632378,-0.610604,0.524369
95,-0.664708,-0.828847,-0.639774,0.587639
96,-0.587019,-0.627771,-0.607053,0.524370
97,-0.664229,-0.828962,-0.645005,0.586999
98,-0.593981,-0.637942,-0.615569,0.524369
99,-0.665189,-0.828839,-0.636611,0.587479
100,-0.589579,-0.632378,-0.610604,0.524369
101,-0.664708,-0.828847,-0.639774,0.587639
102,-0.587019,-0.627771,-0.607053,0.524370
103,-0.664229,-0.828962,-0.645005,0.586999
104,-0.593981,-0.637942,-0.615569,0.524369
105,-0.665189,-0.828839,-0.636611,0.587479
106,-0.589579,-0.632378,-0.610604,0.524369
107,-0.664708,-0.828847,-0.639774,0.587639
108,-0.587019,-0.627771,-0.607053,0.524370
109,-0.664229,-0.828962,-0.645005,0.586999
110,-0.593981,-0.637942,-0.615569,0.524369
111,-0.665189,-0.828839,-0.636611,0.587479
112,-0.589579,-0.632378,-0.610604,0.524369
113,-0.664708,-0.828847,-0.639774,0.587639
114,-0.587019,-0.627771,-0.607053,0.524370
115,-0.664229,-0.828962,-0.645005,0.586999
116,-0.593981,-0.637942,-0.615569,0.524369
117,-0.665189,-0.828839,-0.636611,0.587479
118,-0.589579,-0.632378,-0.610604,0.524369
119,-0.664708,-0.828847,-0.639774,0.587639
120,-0.587019,-0.627771,-0.607053,0.524370
121,-0.664229,-0.828962,-0.645005,0.586999
122,-0.593981,-0.637942,-0.615569,0.524369
123,-0.665189,-0.828839,-0.636611,0.587479
124,-0.589579,-0.632378,-0.610604,0.524369
125,-0.664708,-0.828847,-0.639774,0.587639
126,-0.587019,-0.627771,-0.607053,0.524370
127,-0.664229,-0.828962,-0.645005,0.586999
128,-0.593981,-0.637942,-0.615569,0.524369
129,-0.665189,-0.828839,-0.636611,0.587479
130,-0.589579,-0.632378,-0.610604,0.524369
131,-0.664708,-0.828847,-0.639774,0.587639
132,-0.587019,-0.627771,-0.607053,0.524370
133,-0.664229,-0.828962,-0.645005,0.586999
134,-0.593981,-0.637942,-0.615569,0.524369
135,-0.665189,-0.828839,-0.636611,0.587479
136,-0.589579,-0.632378,-0.610604,0.524369
137,-0.664708,-0.828847,-0.639774,0.587639
138,-0.587019,-0.627771,-0.607053,0.524370
139,-0.664229,-0.828962,-0.645005,0.586999
140,-0.593981,-0.637942,-0.615569,0.524369
141,-0.665189,-0.828839,-0.636611,0.587479
142,-0.589579,-0.632378,-0.610604,0.524369
143,-0.664708,-0.828847,-0.639774,0.587639
144,-0.587019,-0.627771,-0.607053,0.524370
145,-0.664229,-0.828962,-0.645005,0.586999
146,-0.593981,-0.637942,-0.615569,0.524369
147,-0.665189,-0.828839,-0.636611,0.587479
148,-0.589579,-0.632378,-0.610604,0.524369
149,-0.664708,-0.828847,-0.639774,0.587639
