Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.922000
1,0.296185,0.294014,51.493016,0.737678
2,0.294090,0.292248,25.731497,0.553278
3,0.294091,0.292249,10.855633,0.370318
4,0.293952,0.291601,3.215846,0.190878
5,0.286232,0.288605,1.898686,0.224314
6,0.355723,0.357473,1.999999,0.281028
7,0.108117,0.150296,1.415986,0.322909
8,0.052713,0.088629,0.843503,0.428265
9,-0.111043,-0.170193,-1.333339,0.416062
10,-0.339323,-0.404965,-3.863515,0.482759
11,-0.388353,-0.489661,-6.058289,0.505496
12,-0.505135,-0.541878,-7.605387,0.520703
13,-0.564662,-0.538450,-9.208671,0.520702
14,-0.606206,-0.549785,-10.146282,0.520702
15,-0.643206,-0.532361,-11.050470,0.520703
16,-0.658688,-0.531628,-11.549417,0.520702
17,-0.658429,-0.535475,-12.009005,0.520702
18,-0.651418,-0.541439,-12.419793,0.520702
19,-0.641005,-0.548288,-12.736395,0.520702
20,-0.629974,-0.554034,-12.995981,0.520703
21,-0.625909,-0.559305,-13.248474,0.520703
22,-0.627062,-0.565744,-13.494298,0.520703
23,-0.628710,-0.574674,-13.715243,0.520703
24,-0.628292,-0.579413,-13.854761,0.520703
25,-0.627042,-0.582902,-13.939791,0.520703
26,-0.625154,-0.586428,-14.021553,0.520702
27,-0.622567,-0.589295,-14.093166,0.520701
28,-0.620047,-0.591905,-14.144886,0.520702
29,-0.617823,-0.595542,-14.191777,0.520703
30,-0.616007,-0.597995,-14.229511,0.520701
31,-0.614784,-0.601483,-14.260384,0.520703
32,-0.613483,-0.612011,-14.299714,0.520702
33,-0.611867,-0.624215,-14.341369,0.520702
34,-0.609939,-0.635594,-14.382945,0.520702
35,-0.608105,-0.645694,-14.426423,0.520703
36,-0.606211,-0.652518,-14.462389,0.520702
37,-0.604912,-0.656030,-14.486959,0.520701
38,-0.607180,-0.658764,-14.518770,0.520702
39,-0.611261,-0.661393,-14.552335,0.520703
40,-0.615454,-0.664003,-14.586967,0.520703
41,-0.620365,-0.666548,-14.622841,0.520702
42,-0.626162,-0.668257,-14.657040,0.520703
43,-0.631383,-0.669195,-14.685693,0.520703
44,-0.634670,-0.670317,-14.708837,0.520703
45,-0.637239,-0.670945,-14.730577,0.520703
46,-0.638998,-0.671232,-14.746347,0.520702
47,-0.640432,-0.671195,-14.760839,0.520702
48,-0.641667,-0.670928,-14.772059,0.520703
49,-0.642711,-0.670607,-14.783210,0.520703
50,-0.643159,-0.670587,-14.791616,0.520702
51,-0.643082,-0.670835,-14.797468,0.520702
52,-0.642965,-0.670983,-14.803621,0.520703
53,-0.642839,-0.670983,-14.809430,0.520703
54,-0.642738,-0.670781,-14.814747,0.520702
55,-0.642703,-0.670373,-14.820232,0.520703
56,-0.642846,-0.669699,-14.825675,0.520703
57,-0.643276,-0.668709,-14.830710,0.520702
58,-0.643931,-0.667542,-14.834963,0.520703
59,-0.644574,-0.666449,-14.838448,0.520703
60,-0.644800,-0.666065,-14.840166,0.520703
61,-0.644810,-0.666018,-14.840981,0.520702
62,-0.644813,-0.665932,-14.841598,0.520702
63,-0.644808,-0.665804,-14.842130,0.520703
64,-0.644790,-0.665609,-14.842591,0.520702
