Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.288518
1,0.281460,0.256325,0.384687,0.488518
2,0.297246,0.290930,0.294071,0.310168
3,0.249813,0.231111,0.255349,0.483320
4,0.227979,0.211967,0.219827,0.310169
5,0.177044,0.155465,0.200884,0.486245
6,0.183457,0.180597,0.182021,0.310168
7,0.125047,0.117124,0.152356,0.493528
8,0.152003,0.152018,0.152011,0.310167
9,0.107031,0.101827,0.147897,0.496887
10,0.145316,0.144767,0.145041,0.310168
11,0.100376,0.095233,0.146453,0.497528
12,0.147866,0.147388,0.147627,0.310168
13,0.100376,0.095233,0.146453,0.497528
14,0.147866,0.147388,0.147627,0.310168
15,0.100376,0.095233,0.146453,0.497528
16,0.147866,0.147388,0.147627,0.310168
17,0.100376,0.095233,0.146453,0.497528
18,0.147866,0.147388,0.147627,0.310168
19,0.100376,0.095233,0.146453,0.497528
20,0.147866,0.147388,0.147627,0.310168
21,0.100376,0.095233,0.146453,0.497528
22,0.147866,0.147388,0.147627,0.310168
23,0.100376,0.095233,0.146453,0.497528
24,0.147866,0.147388,0.147627,0.310168
25,0.100376,0.095233,0.146453,0.497528
26,0.147866,0.147388,0.147627,0.310168
27,0.100376,0.095233,0.146453,0.497528
28,0.147866,0.147388,0.147627,0.310168
29,0.100376,0.095233,0.146453,0.497528
30,0.147866,0.147388,0.147627,0.310168
31,0.100376,0.095233,0.146453,0.497528
32,0.147866,0.147388,0.147627,0.310168
33,0.100376,0.095233,0.146453,0.497528
34,0.147866,0.147388,0.147627,0.310168
35,0.100376,0.095233,0.146453,0.497528
36,0.147866,0.147388,0.147627,0.310168
37,0.100376,0.095233,0.146453,0.497528
38,0.147866,0.147388,0.147627,0.310168
39,0.100376,0.095233,0.146453,0.497528
40,0.147866,0.147388,0.147627,0.310168
41,0.100376,0.095233,0.146453,0.497528
42,0.147866,0.147388,0.147627,0.310168
43,0.100376,0.095233,0.146453,0.497528
44,0.147866,0.147388,0.147627,0.310168
45,0.100376,0.095233,0.146453,0.497528
46,0.147866,0.147388,0.147627,0.310168
47,0.100376,0.095233,0.146453,0.497528
48,0.147866,0.147388,0.147627,0.310168
49,0.100376,0.095233,0.146453,0.497528
50,0.147866,0.147388,0.147627,0.310168
51,0.100376,0.095233,0.146453,0.497528
52,0.147866,0.147388,0.147627,0.310168
53,0.100376,0.095233,0.146453,0.497528
54,0.147866,0.147388,0.147627,0.310168
55,0.100376,0.095233,0.146453,0.497528
56,0.147866,0.147388,0.147627,0.310168
57,0.100376,0.095233,0.146453,0.497528
58,0.147866,0.147388,0.147627,0.310168
59,0.100376,0.095233,0.146453,0.497528
60,0.147866,0.147388,0.147627,0.310168
61,0.100376,0.095233,0.146453,0.497528
62,0.147866,0.147388,0.147627,0.310168
63,0.100376,0.095233,0.146453,0.497528
64,0.147866,0.147388,0.147627,0.310168
65,0.100376,0.095233,0.146453,0.497528
66,0.147866,0.147388,0.147627,0.310168
67,0.100376,0.095233,0.146453,0.497528
68,0.147866,0.147388,0.147627,0.310168
69,0.100376,0.095233,0.146453,0.497528
70,0.147866,0.147388,0.147627,0.310168
71,0.100376,0.095233,0.146453,0.497528
72,0.147866,0.147388,0.147627,0.310168
73,0.100376,0.095233,0.146453,0.497528
74,0.147866,0.147388,0.147627,0.310168
75,0.100376,0.095233,0.146453,0.497528
76,0.147866,0.147388,0.147627,0.310168
77,0.100376,0.095233,0.146453,0.497528
78,0.147866,0.147388,0.147627,0.310168
79,0.100376,0.095233,0.146453,0.497528
80,0.147866,0.147388,0.147627,0.310168
81,0.100376,0.095233,0.146453,0.497528
82,0.147866,0.147388,0.147627,0.310168
83,0.100376,0.095233,0.146453,0.497528
84,0.147866,0.147388,0.147627,0.310168
85,0.100376,0.095233,0.146453,0.497528
86,0.147866,0.147388,0.147627,0.310168
87,0.100376,0.095233,0.146453,0.497528
88,0.147866,0.147388,0.147627,0.310168
89,0.100376,0.095233,0.146453,0.497528
90,0.147866,0.147388,0.147627,0.310168
91,0.100376,0.095233,0.146453,0.497528
92,0.147866,0.147388,0.147627,0.310168
93,0.100376,0.095233,0.146453,0.497528
94,0.147866,0.147388,0.147627,0.310168
95,0.100376,0.095233,0.146453,0.497528
96,0.147866,0.147388,0.147627,0.310168
97,0.100376,0.095233,0.146453,0.497528
98,0.147866,0.147388,0.147627,0.310168
99,0.100376,0.095233,0.146453,0.497528
100,0.147866,0.147388,0.147627,0.310168
101,0.100376,0.095233,0.146453,0.497528
102,0.147866,0.147388,0.147627,0.310168
103,0.100376,0.095233,0.146453,0.497528
104,0.147866,0.147388,0.147627,0.310168
105,0.100376,0.095233,0.146453,0.497528
106,0.147866,0.147388,0.147627,0.310168
107,0.100376,0.095233,0.146453,0.497528
108,0.147866,0.147388,0.147627,0.310168
109,0.100376,0.095233,0.146453,0.497528
110,0.147866,0.147388,0.147627,0.310168
111,0.100376,0.095233,0.146453,0.497528
112,0.147866,0.147388,0.147627,0.310168
113,0.100376,0.095233,0.146453,0.497528
