Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.439778
1,0.281460,0.256325,4.467419,0.251458
2,0.190841,0.159693,1.490476,0.303342
3,0.030480,0.037979,1.847366,0.474061
4,0.037211,0.032300,0.327516,0.468277
5,0.000315,0.000988,1.399463,0.607643
6,0.047523,0.050681,0.737605,0.472778
7,-0.013340,-0.011131,0.158479,0.558857
8,0.035139,0.030190,0.660024,0.472778
9,-0.080376,-0.067794,-0.841388,0.472778
10,-0.182294,-0.173378,-2.606683,0.472778
11,-0.303717,-0.306187,-4.287666,0.472777
12,-0.392446,-0.416540,-5.854542,0.472778
13,-0.427751,-0.479512,-6.797145,0.472777
14,-0.429823,-0.504230,-7.366726,0.472778
15,-0.437744,-0.510267,-7.704321,0.472777
16,-0.447202,-0.533832,-7.984332,0.472778
17,-0.440336,-0.535117,-8.194942,0.472778
18,-0.449516,-0.552044,-8.332463,0.472778
19,-0.456401,-0.552104,-8.489208,0.472778
20,-0.459847,-0.559626,-8.625034,0.472777
21,-0.474745,-0.568014,-8.755821,0.472779
22,-0.475092,-0.566434,-8.846066,0.472778
23,-0.481770,-0.579495,-8.913247,0.472777
24,-0.475899,-0.577692,-8.984245,0.472778
25,-0.481757,-0.585360,-9.059802,0.472778
26,-0.480977,-0.589412,-9.129795,0.472777
27,-0.481720,-0.597908,-9.203936,0.472778
28,-0.481695,-0.604737,-9.264314,0.472779
29,-0.481340,-0.610617,-9.309223,0.472778
30,-0.481350,-0.617674,-9.350818,0.472778
31,-0.477899,-0.616060,-9.374034,0.472778
32,-0.475576,-0.618458,-9.384854,0.472777
33,-0.476953,-0.618496,-9.392008,0.472778
34,-0.473628,-0.617503,-9.404633,0.472777
35,-0.476146,-0.618146,-9.410591,0.472778
36,-0.472792,-0.617029,-9.425753,0.472778
37,-0.474808,-0.617518,-9.436012,0.472778
38,-0.472323,-0.616994,-9.452495,0.472778
39,-0.474369,-0.619338,-9.465357,0.472777
40,-0.470763,-0.617213,-9.478591,0.472779
41,-0.473025,-0.619371,-9.490951,0.472777
42,-0.470974,-0.616865,-9.500757,0.472777
43,-0.472510,-0.619591,-9.511678,0.472778
44,-0.470902,-0.619060,-9.525080,0.472778
45,-0.473282,-0.623091,-9.534362,0.472778
46,-0.473377,-0.623786,-9.545356,0.472778
47,-0.473834,-0.626634,-9.549434,0.472777
48,-0.476483,-0.626791,-9.559101,0.472779
49,-0.476358,-0.628732,-9.564245,0.472778
50,-0.478762,-0.628675,-9.576773,0.472779
51,-0.479221,-0.629933,-9.583705,0.472778
52,-0.482037,-0.631417,-9.601085,0.472778
53,-0.483299,-0.632987,-9.612399,0.472778
54,-0.483206,-0.636999,-9.633972,0.472778
55,-0.483482,-0.639081,-9.641957,0.472778
56,-0.485055,-0.641603,-9.658399,0.472778
57,-0.484926,-0.642508,-9.665814,0.472778
58,-0.485227,-0.646881,-9.683192,0.472777
59,-0.486030,-0.646843,-9.694706,0.472779
60,-0.487688,-0.645541,-9.709414,0.472778
61,-0.490321,-0.648410,-9.725951,0.472777
62,-0.491541,-0.649095,-9.744074,0.472779
63,-0.497159,-0.654745,-9.765163,0.472778
64,-0.498443,-0.654422,-9.779007,0.472777
65,-0.502339,-0.663103,-9.805595,0.472778
66,-0.499633,-0.659315,-9.810121,0.472778
67,-0.501666,-0.666559,-9.831238,0.472778
68,-0.501167,-0.663996,-9.826313,0.472779
69,-0.503743,-0.669403,-9.844123,0.472779
70,-0.502850,-0.664887,-9.844595,0.472777
71,-0.505899,-0.670910,-9.866261,0.472778
72,-0.506205,-0.669107,-9.871753,0.472778
73,-0.506847,-0.674868,-9.893268,0.472779
74,-0.505820,-0.676370,-9.899396,0.472779
75,-0.506589,-0.684187,-9.914618,0.472779
76,-0.503941,-0.684320,-9.920887,0.472778
77,-0.505463,-0.690093,-9.933913,0.472779
78,-0.509923,-0.688904,-9.945269,0.472778
79,-0.512120,-0.692503,-9.955228,0.472778
80,-0.515418,-0.690273,-9.968342,0.472779
81,-0.515867,-0.694321,-9.974576,0.472779
82,-0.518820,-0.690939,-9.989145,0.472779
83,-0.519399,-0.695083,-9.997993,0.472779
84,-0.520978,-0.691008,-10.011774,0.472778
85,-0.522134,-0.694066,-10.022755,0.472778
86,-0.523355,-0.690844,-10.041425,0.472777
87,-0.522055,-0.696922,-10.059933,0.472778
88,-0.523230,-0.694026,-10.081585,0.472778
89,-0.526894,-0.698334,-10.085834,0.472779
90,-0.528371,-0.694154,-10.107627,0.472779
91,-0.525347,-0.694093,-10.127389,0.472779
92,-0.531764,-0.693624,-10.133186,0.472778
93,-0.530375,-0.698630,-10.142739,0.472777
94,-0.532673,-0.696873,-10.154657,0.472778
95,-0.531002,-0.700302,-10.178109,0.472779
96,-0.537877,-0.699019,-10.182724,0.472779
97,-0.534592,-0.697079,-10.201294,0.472778
98,-0.541403,-0.699717,-10.206194,0.472778
99,-0.536564,-0.696153,-10.223726,0.472778
100,-0.544166,-0.699072,-10.224854,0.472777
101,-0.538107,-0.695804,-10.245367,0.472778
102,-0.546191,-0.700934,-10.244920,0.472778
103,-0.538863,-0.696787,-10.265801,0.472778
104,-0.547200,-0.703138,-10.265208,0.472777
105,-0.540130,-0.698744,-10.284248,0.472778
106,-0.547506,-0.706625,-10.287182,0.472777
107,-0.541149,-0.698387,-10.302258,0.472778
108,-0.549270,-0.706628,-10.301737,0.472779
109,-0.542959,-0.698705,-10.317294,0.472779
110,-0.548490,-0.703635,-10.322198,0.472778
111,-0.542649,-0.697066,-10.331421,0.472778
112,-0.548758,-0.700936,-10.336211,0.472777
113,-0.542857,-0.696097,-10.344119,0.472778
114,-0.550029,-0.697435,-10.346407,0.472778
115,-0.542021,-0.689268,-10.357322,0.472778
116,-0.546796,-0.692123,-10.366763,0.472778
117,-0.543411,-0.689833,-10.373373,0.472779
118,-0.549863,-0.694630,-10.377244,0.472778
119,-0.547009,-0.691429,-10.384630,0.472778
120,-0.552682,-0.695449,-10.386691,0.472778
121,-0.548867,-0.692395,-10.398201,0.472779
122,-0.555108,-0.695610,-10.400214,0.472778
123,-0.551087,-0.692334,-10.411570,0.472777
124,-0.558545,-0.696175,-10.414888,0.472778
