Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.169272
1,0.121713,0.216209,2.144729,0.281240
2,0.054381,0.557345,1.375918,0.417662
3,0.061499,0.283693,0.473805,0.521224
4,0.152313,0.206876,0.177510,0.466554
5,0.025343,0.062832,0.057457,0.554893
6,0.073368,0.020378,0.043200,0.528706
7,0.029319,0.063017,0.042984,0.479887
8,0.008095,0.018551,0.027662,0.546993
9,0.057905,0.013016,0.162117,0.584628
10,0.049375,0.063986,0.056208,0.514545
11,-0.033303,-0.049752,-0.040705,0.499747
12,-0.132273,-0.188763,-0.158010,0.470965
13,-0.581264,-0.411181,-0.283042,0.577706
14,-0.103391,-0.116488,-0.109685,0.514546
15,-0.657892,-0.431215,-0.462932,0.568732
16,-0.227137,-0.387702,-0.296495,0.514546
17,-0.730927,-0.593415,-0.600374,0.581366
18,-0.774819,-0.554369,-0.617305,0.577458
19,-0.809772,-0.693692,-0.732002,0.613928
20,-0.758006,-0.706090,-0.730577,0.590826
21,-0.859385,-0.792480,-0.759110,0.661843
22,-0.674467,-0.566326,-0.618045,0.514547
23,-0.909023,-0.780705,-0.637596,0.679911
24,-0.203427,-0.309587,-0.242429,0.514546
25,-0.880650,-0.753940,-0.656134,0.679443
26,-0.222114,-0.324027,-0.264515,0.514546
27,-0.883799,-0.748178,-0.658100,0.679675
28,-0.225983,-0.328519,-0.269781,0.514547
29,-0.884711,-0.748188,-0.659321,0.678913
30,-0.231605,-0.335921,-0.278929,0.514546
31,-0.880203,-0.745747,-0.660452,0.678685
32,-0.236827,-0.340538,-0.283216,0.514546
33,-0.877488,-0.746512,-0.659421,0.679112
34,-0.233698,-0.336189,-0.280308,0.514546
35,-0.878340,-0.746611,-0.658627,0.678991
36,-0.234443,-0.336304,-0.280790,0.514545
37,-0.878962,-0.745971,-0.658265,0.678866
38,-0.235023,-0.337118,-0.281443,0.514546
39,-0.878764,-0.746064,-0.658108,0.678803
40,-0.235136,-0.337168,-0.281528,0.514546
41,-0.878836,-0.745931,-0.658091,0.678810
42,-0.235162,-0.337157,-0.281538,0.514546
43,-0.878865,-0.745874,-0.658089,0.678814
44,-0.235173,-0.337152,-0.281543,0.514545
45,-0.878879,-0.745848,-0.658081,0.678815
46,-0.235179,-0.337149,-0.281545,0.514546
47,-0.878885,-0.745834,-0.658090,0.678816
48,-0.235182,-0.337148,-0.281546,0.514547
49,-0.878888,-0.745828,-0.658094,0.678816
50,-0.235183,-0.337147,-0.281547,0.514547
51,-0.878889,-0.745825,-0.658096,0.678816
52,-0.235184,-0.337147,-0.281547,0.514545
53,-0.878890,-0.745825,-0.658084,0.678816
54,-0.235184,-0.337147,-0.281547,0.514546
55,-0.878890,-0.745825,-0.658084,0.678817
56,-0.235184,-0.337147,-0.281547,0.514546
57,-0.878890,-0.745824,-0.658084,0.678817
58,-0.235184,-0.337147,-0.281547,0.514546
59,-0.878890,-0.745824,-0.658084,0.678817
60,-0.235184,-0.337147,-0.281547,0.514546
61,-0.878890,-0.745824,-0.658084,0.678817
62,-0.235184,-0.337147,-0.281547,0.514546
63,-0.878890,-0.745824,-0.658084,0.678817
64,-0.235184,-0.337147,-0.281547,0.514546
65,-0.878890,-0.745824,-0.658084,0.678817
66,-0.235184,-0.337147,-0.281547,0.514546
67,-0.878890,-0.745824,-0.658084,0.678817
68,-0.235184,-0.337147,-0.281547,0.514546
69,-0.878890,-0.745824,-0.658084,0.678817
70,-0.235184,-0.337147,-0.281547,0.514546
71,-0.878890,-0.745824,-0.658084,0.678817
72,-0.235184,-0.337147,-0.281547,0.514546
73,-0.878890,-0.745824,-0.658084,0.678817
74,-0.235184,-0.337147,-0.281547,0.514546
75,-0.878890,-0.745824,-0.658084,0.678817
76,-0.235184,-0.337147,-0.281547,0.514546
77,-0.878890,-0.745824,-0.658084,0.678817
78,-0.235184,-0.337147,-0.281547,0.514546
79,-0.878890,-0.745824,-0.658084,0.678817
80,-0.235184,-0.337147,-0.281547,0.514546
81,-0.878890,-0.745824,-0.658084,0.678817
82,-0.235184,-0.337147,-0.281547,0.514546
83,-0.878890,-0.745824,-0.658084,0.678817
84,-0.235184,-0.337147,-0.281547,0.514546
85,-0.878890,-0.745824,-0.658084,0.678817
86,-0.235184,-0.337147,-0.281547,0.514546
87,-0.878890,-0.745824,-0.658084,0.678817
88,-0.235184,-0.337147,-0.281547,0.514546
89,-0.878890,-0.745824,-0.658084,0.678817
90,-0.235184,-0.337147,-0.281547,0.514546
91,-0.878890,-0.745824,-0.658084,0.678817
92,-0.235184,-0.337147,-0.281547,0.514546
93,-0.878890,-0.745824,-0.658084,0.678817
94,-0.235184,-0.337147,-0.281547,0.514546
95,-0.878890,-0.745824,-0.658084,0.678817
96,-0.235184,-0.337147,-0.281547,0.514546
97,-0.878890,-0.745824,-0.658084,0.678817
98,-0.235184,-0.337147,-0.281547,0.514546
99,-0.878890,-0.745824,-0.658084,0.678817
100,-0.235184,-0.337147,-0.281547,0.514546
101,-0.878890,-0.745824,-0.658084,0.678817
102,-0.235184,-0.337147,-0.281547,0.514546
103,-0.878890,-0.745824,-0.658084,0.678817
104,-0.235184,-0.337147,-0.281547,0.514546
105,-0.878890,-0.745824,-0.658084,0.678817
106,-0.235184,-0.337147,-0.281547,0.514546
107,-0.878890,-0.745824,-0.658084,0.678817
108,-0.235184,-0.337147,-0.281547,0.514546
109,-0.878890,-0.745824,-0.658084,0.678817
110,-0.235184,-0.337147,-0.281547,0.514546
111,-0.878890,-0.745824,-0.658084,0.678817
