Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.213897
1,0.121713,0.216209,1.977996,0.380651
2,0.132747,0.242618,1.400007,0.357605
3,0.003475,0.009067,1.930195,0.510138
4,0.037940,0.070282,0.594454,0.507978
5,0.000997,0.001247,1.907085,0.639634
6,0.037044,0.045887,0.620840,0.501646
7,-0.000101,-0.000117,1.895946,0.647811
8,0.037479,0.043559,0.655835,0.501647
9,-0.000572,-0.000636,1.891486,0.641712
10,0.025092,0.026893,0.415054,0.501646
11,-0.127175,-0.004097,0.915633,0.610092
12,-0.107131,-0.041984,-1.259691,0.501647
13,-0.737875,-0.370810,-6.359331,0.555511
14,-0.634104,-0.391889,-8.487339,0.501647
15,-0.915121,-0.469326,-9.416142,0.501647
16,-0.937748,-0.502208,-10.523943,0.501646
17,-0.950849,-0.530780,-11.464052,0.501647
18,-0.932353,-0.528504,-12.110587,0.501648
19,-0.920477,-0.527857,-12.711838,0.501647
20,-0.909307,-0.532631,-13.273851,0.501647
21,-0.894027,-0.545251,-13.662899,0.501647
22,-0.880860,-0.558495,-13.953951,0.501648
23,-0.865896,-0.573706,-14.198791,0.501647
24,-0.851333,-0.589527,-14.427746,0.501648
25,-0.838011,-0.603560,-14.617197,0.501646
26,-0.826513,-0.617149,-14.789189,0.501646
27,-0.817721,-0.623023,-14.901731,0.501647
28,-0.808597,-0.627930,-14.997016,0.501648
29,-0.801085,-0.632305,-15.092241,0.501647
30,-0.792816,-0.635409,-15.156440,0.501646
31,-0.784388,-0.637794,-15.197103,0.501647
32,-0.784069,-0.639588,-15.232999,0.501647
33,-0.785320,-0.640342,-15.259513,0.501647
34,-0.785697,-0.640603,-15.279342,0.501646
35,-0.785525,-0.641546,-15.306599,0.501647
36,-0.784313,-0.643300,-15.338572,0.501646
37,-0.781951,-0.645345,-15.365172,0.501647
38,-0.779378,-0.648246,-15.388583,0.501646
39,-0.777005,-0.651356,-15.406270,0.501647
40,-0.775272,-0.653266,-15.414081,0.501647
41,-0.774914,-0.653944,-15.415772,0.501646
42,-0.774825,-0.654303,-15.416787,0.501647
43,-0.774849,-0.654422,-15.417431,0.501646
44,-0.774863,-0.654472,-15.417795,0.501647
45,-0.774875,-0.654429,-15.418093,0.501647
46,-0.774892,-0.654390,-15.418296,0.501646
