sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,error
0,True,0.18590293011074535,0.18590293011074838,102.83071048162637,36,True,13.43,0.593808,4.804890,2.814140,0.066513,0.279058,32.443880,
1,True,0.1098517305032715,0.10985173050326996,65.4393970353902,29,True,11.88,0.489911,3.177115,5.087189,0.247748,0.696292,66.731823,
2,True,0.10925975610635981,0.10925975610636858,10.396977050700979,35,True,13.33,0.298849,1.334179,1.655659,0.138864,0.664454,21.485129,
3,True,0.17818034596251786,0.17818034596251195,34.09335732099762,32,True,11.66,0.377379,4.629467,3.924191,0.298227,0.590293,30.792382,
4,True,0.12266471652073489,0.12266471652073081,23.120317231952562,33,True,12.47,0.305773,4.024429,2.953328,0.109781,0.408457,77.970512,
5,True,0.264463475272482,0.26425891988630823,8.894743376620543,150,True,53.90,0.274042,1.562599,4.967417,0.238148,0.525304,39.258952,
6,True,0.10082086600015246,0.10082086729330733,65.49850322387334,105,True,34.94,0.534961,2.001944,2.177309,0.146651,0.375628,29.101179,
7,True,0.09045824651345413,0.09045824651345147,41.51136026892932,33,True,11.53,0.418398,4.975011,3.016774,0.085976,0.416125,82.281009,
8,True,0.300000000018021,0.300000000018035,13.727978731622946,59,True,23.55,0.234540,3.628820,5.580009,0.064963,0.252131,34.803268,
9,True,0.15859477643215955,0.15859477643215597,15.029589055652545,37,True,12.85,0.266359,2.857542,2.754108,0.122156,0.468602,17.793846,
10,True,0.2999999999869837,0.2999999999870801,5.67564636230493,67,True,25.31,0.250653,1.682312,5.643476,0.216175,0.493653,53.003557,
11,True,0.18617471384405332,0.18617471384405615,48.84525005865867,33,True,12.06,0.451526,2.975684,2.296918,0.092816,0.297854,2.864648,
12,True,0.1571682565014111,0.15716825650138191,22.958240673026083,41,True,14.88,0.353173,2.501285,1.794170,0.208593,0.357064,25.808550,
13,True,0.12846678221180688,0.12846678221180743,18.510229681537574,49,True,17.51,0.331544,3.337288,1.533569,0.052968,0.431860,10.499449,
14,True,0.2017014258851481,0.20118476272977548,49.417657800688794,150,True,56.29,0.447818,1.792796,4.227764,0.232691,0.208387,72.898119,
15,True,0.06534941694582609,0.06534941694582724,72.51894553380767,38,True,14.36,0.558782,2.144294,3.355384,0.163095,0.476985,13.265491,
16,True,0.17564029711847956,0.17564029711847423,107.28057854160265,71,True,25.61,0.565105,4.752988,5.888199,0.225191,0.680914,68.940527,
17,True,0.09560212782100629,0.0956021278210071,29.574654447591016,30,True,10.33,0.429873,2.042466,1.022125,0.081416,0.445506,24.709965,
18,True,0.17579692356938303,0.175796923569386,31.914282612882538,37,True,14.00,0.327229,4.367792,3.754422,0.273988,0.366940,76.357405,
19,True,0.2979745736330764,0.2979728371721363,9.175046486270249,42,True,15.93,0.214586,2.211471,5.224148,0.221403,0.395679,74.470844,
20,True,0.30000000000513943,0.3000000000051475,6.626913793353031,57,True,21.07,0.219327,3.748012,3.291556,0.267921,0.249584,71.110817,
21,True,0.25718699095251357,0.24971372297072567,72.61264508206703,150,True,53.42,0.549361,1.148438,5.789660,0.077062,0.508294,43.334784,
22,True,0.3195235257776689,0.3195235257776827,4.544975158710692,41,True,14.22,0.203352,3.692250,1.440908,0.279886,0.230414,58.531854,
23,True,0.29999999999375765,0.29999999999372573,10.504664664272202,42,True,16.25,0.225738,4.353382,4.851334,0.072546,0.510622,83.570890,
24,True,0.18339744857608864,0.18339744857609275,24.868333520782883,35,True,12.19,0.340212,4.898642,2.066843,0.157397,0.285611,1.761098,
25,True,0.30000496274880956,0.30000496274881794,12.248518226122808,62,True,21.95,0.257390,4.128307,3.585975,0.177230,0.318914,41.989968,
26,True,0.07301297476717179,0.07301297476716954,35.07644959800891,48,True,15.70,0.437750,1.827246,2.427301,0.116157,0.488923,88.351179,
27,True,0.18490711719023117,0.18427415800741087,58.4564723622311,150,True,51.70,0.510158,1.317007,4.444515,0.173145,0.641702,61.545147,
28,True,0.28005901466459443,0.2800649951196116,33.298361553764686,150,True,50.85,0.365463,1.883768,3.470908,0.167425,0.227440,10.915122,
29,True,0.1496477693660185,0.14952021367670937,64.12777740276691,150,True,33.81,0.590683,1.556407,5.456490,0.190038,0.381083,47.252506,
30,True,0.07948290716164139,0.07948290716164144,71.1737678582503,43,True,15.38,0.520874,4.048524,4.648114,0.183420,0.602280,56.409010,
31,True,0.1262965970425428,0.12629659704254736,11.244305472412357,27,True,9.96,0.285011,4.592443,1.125321,0.258688,0.540632,51.766253,
32,True,0.2180516118480414,0.21704843719831693,32.563957798304,150,True,52.27,0.471018,1.173511,1.384672,0.154104,0.614006,14.625788,
33,True,0.300000000052565,0.300000000052575,9.29685194582183,32,True,10.27,0.246429,3.935174,3.122260,0.185141,0.304993,6.940984,
34,True,0.2999999999949291,0.2999999999949246,11.067197279502686,33,True,11.90,0.319889,3.541628,3.686818,0.281612,0.578782,22.488606,
