Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.951600
1,0.281075,0.281075,86.485057,0.753103
2,0.303306,0.303306,103.144552,0.554606
3,0.303306,0.303306,116.473266,0.403173
4,0.209826,0.209826,113.058657,0.403172
5,0.345546,0.345546,74.739783,0.403173
6,0.310627,0.310627,57.262289,0.403173
7,0.265455,0.265455,43.802115,0.403173
8,0.253058,0.253058,38.728511,0.403174
9,0.256281,0.256281,37.986458,0.403172
10,0.259003,0.259003,37.382875,0.403172
11,0.262486,0.262486,36.924178,0.403172
12,0.265821,0.265821,36.544733,0.403173
13,0.268840,0.268840,36.334643,0.403173
14,0.270967,0.270967,36.093644,0.403172
15,0.272009,0.272009,36.119463,0.403173
16,0.272750,0.272750,36.201102,0.403173
17,0.273367,0.273367,36.236054,0.403173
18,0.273919,0.273919,36.247624,0.403174
19,0.274498,0.274498,36.243978,0.403173
20,0.275049,0.275049,36.232657,0.403173
21,0.275435,0.275435,36.237963,0.403174
22,0.275413,0.275413,36.282458,0.403173
23,0.274822,0.274822,36.344517,0.403173
24,0.273649,0.273649,36.354142,0.403173
25,0.272279,0.272279,36.385105,0.403172
26,0.270760,0.270760,36.431702,0.403173
27,0.269935,0.269935,36.438637,0.403173
28,0.269475,0.269475,36.429159,0.403174
29,0.268993,0.268993,36.420587,0.403172
30,0.268479,0.268479,36.412763,0.403173
31,0.267931,0.267931,36.405000,0.403173
32,0.267325,0.267325,36.396410,0.403172
33,0.266649,0.266649,36.385437,0.403172
34,0.265892,0.265892,36.369816,0.403174
35,0.265040,0.265040,36.346392,0.403172
36,0.264071,0.264071,36.310909,0.403173
37,0.262989,0.262989,36.258259,0.403172
38,0.261790,0.261790,36.182027,0.403174
39,0.261019,0.261019,36.148522,0.403172
40,0.260691,0.260691,36.173403,0.403173
41,0.260297,0.260297,36.193734,0.403173
42,0.259838,0.259838,36.209148,0.403172
43,0.259325,0.259325,36.219771,0.403174
44,0.258772,0.258772,36.228448,0.403173
45,0.258170,0.258170,36.237806,0.403172
46,0.257522,0.257522,36.248311,0.403174
47,0.256819,0.256819,36.259915,0.403173
48,0.256033,0.256033,36.275401,0.403173
49,0.255143,0.255143,36.293746,0.403173
50,0.254928,0.254928,36.313692,0.403173
51,0.255021,0.255021,36.331211,0.403173
52,0.255124,0.255124,36.350918,0.403172
53,0.255228,0.255228,36.370440,0.403173
54,0.255326,0.255326,36.386765,0.403173
55,0.255403,0.255403,36.399990,0.403173
56,0.255472,0.255472,36.410780,0.403173
57,0.255531,0.255531,36.419393,0.403173
