sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,rotation_deg,beta,error
0,True,-0.9999999999989506,-0.9999999999996575,-0.9986720303938778,43,True,7.90,0.389681,2.808150,3.023567,0.210855,0.215097,48.073133,0.589554,
1,True,-0.9999999999979272,-0.9999999999991538,-0.50861060705903,34,True,6.17,0.309519,3.782918,2.758269,0.080243,0.684554,46.068405,0.747090,
2,True,-0.9999999999992386,-0.9999999999999847,-1.4746261671979337,38,True,6.80,0.540754,4.836368,3.240903,0.091135,0.352873,19.105007,0.869676,
3,True,-0.9999999999993446,-0.9999999999998522,-1.946725053857859,34,True,6.38,0.288606,1.003907,4.851146,0.051847,0.396756,28.599837,0.938248,
4,True,-0.9686304869047192,-0.9686304865639421,-1.520848349932713e-07,100,True,18.38,0.304609,1.575593,1.709206,0.275271,0.311236,25.888621,1.081218,
5,True,-0.9999999999992992,-0.9999999999999379,-1.4908396468231475,31,True,5.79,0.450807,3.249344,3.754049,0.189776,0.505503,40.688544,0.306693,
6,True,-0.9999999999979877,-0.9999999999994733,-0.5757799376759399,27,True,5.38,0.337330,4.691684,2.861290,0.176627,0.660209,59.135016,0.832700,
7,True,-0.9999999999985795,-0.9999999999996727,-0.7811920695060809,33,True,6.56,0.384803,2.573346,3.998773,0.068442,0.672252,9.884504,0.428771,
8,True,-0.9999999999989256,-0.9999999999995425,-1.6297349562556147,25,True,5.00,0.487214,2.657501,4.643367,0.124046,0.238860,4.586711,0.957391,
9,True,-0.9999999999993245,-1.0000000000002025,-3370616677045.3237,150,False,26.95,0.456467,1.182038,1.574403,0.262007,0.544934,80.907546,1.202531,
10,True,-0.9999999999995585,-1.0000000000001683,-661.2904082423951,22,True,4.16,0.557139,1.345530,3.524433,0.273051,0.449028,38.155848,1.248256,
11,True,-0.9999999999938389,-0.999999999994592,-0.1637833385069677,33,True,6.60,0.204508,3.592396,5.202684,0.152797,0.576560,12.557939,0.413321,
12,True,-0.9999999999994411,-1.000000000000227,-2.2162658440813887,25,True,5.24,0.573031,1.921327,5.546273,0.062818,0.530645,67.496866,0.733908,
13,True,-0.9999999999991763,-1.0000000000001033,-2.2826215326921494e+17,150,False,30.95,0.257382,2.940512,5.436496,0.130821,0.289495,82.914562,1.296494,
14,True,-0.9999999999990458,-0.9999999999997463,-2389028175.377532,150,False,25.39,0.371760,3.005080,2.181903,0.094169,0.228902,30.092471,1.148850,
15,True,-0.9999999999994394,-0.9999999999999717,-2.0415887838829154,27,True,5.01,0.577108,2.006752,2.621293,0.232530,0.268290,61.632671,0.691905,
16,True,-0.9999999999985548,-0.9999999999992665,-0.7269037745882211,30,True,5.78,0.275921,2.122771,4.803871,0.134528,0.604025,87.841611,0.362716,
17,True,-0.9999999999985195,-0.9999999999992136,-0.6977105215092101,34,True,6.58,0.324969,4.122120,4.225026,0.149296,0.409737,77.875157,0.640240,
18,True,-0.9999999999990457,-0.9999999999996444,-1.0947855565894258,28,True,5.61,0.355602,1.780730,5.982766,0.111770,0.497157,42.224640,0.796758,
19,True,-0.9999999999973042,-0.9999999999985021,-175621046.26520175,150,False,30.95,0.248708,4.387878,5.829533,0.217012,0.425295,0.651794,1.136691,
20,True,-0.9999999999992724,-1.00000000000031,-18126.032514731025,30,True,5.68,0.593511,3.867906,1.177029,0.253569,0.592109,53.199073,1.326737,
21,True,-0.9999999999990624,-0.9999999999997846,-1.1187756583781576,28,True,5.62,0.419724,3.474812,5.163065,0.201448,0.551731,86.579253,0.477839,
22,True,-0.9999999999984536,-0.9999999999991547,-0.6558914620804628,41,True,7.46,0.225219,2.377035,2.453128,0.102838,0.471217,54.694058,0.575690,
23,True,-0.9999999999993592,-1.0000000000000138,-4.10363168801347,24,True,4.72,0.467787,2.302638,4.493765,0.245376,0.460485,6.510631,0.987670,
24,True,-0.9999999999996781,-1.0000000000003997,-1.708644162057116e+25,150,False,27.44,0.435771,4.872947,3.451514,0.195708,0.262401,63.191869,1.453416,
25,True,-0.999999999999615,-1.0000000000002587,-1.15808050539924e+20,150,False,27.13,0.532735,4.008654,1.334604,0.292569,0.320857,15.327623,1.344262,
26,True,-0.9999999999989146,-1.0000000000002465,-3.077782134655191e+25,150,False,27.10,0.233082,3.357876,2.037998,0.286153,0.627106,23.716600,1.470128,
27,True,-0.999999999999412,-1.0000000000001643,-1.8685346421569047,31,True,5.40,0.503167,4.208425,1.126505,0.165644,0.336148,71.540147,0.532829,
28,True,-0.9999999999984035,-0.9999999999997335,-47025870159.42358,72,True,13.02,0.405342,4.483392,4.133928,0.172414,0.637043,33.084521,1.399970,
29,True,-0.999999999999497,-1.0000000000000557,-13.061498854834433,24,True,4.22,0.518081,1.531475,1.961724,0.240568,0.372039,74.634502,1.039747,
