Iteration,Poisson_v12,Poisson_v21,Objective,Volume_Fraction
0,nan,nan,nan,0.959600
1,-1.000000,-1.000000,-17.468660,0.869235
2,-1.000000,-1.000000,-14.073851,0.778871
3,-1.000000,-1.000000,-11.211826,0.688506
4,-1.000000,-1.000000,-8.606215,0.598141
5,-1.000000,-1.000000,-6.291000,0.507777
6,-1.000000,-1.000000,-4.303604,0.417412
7,-1.000000,-1.000000,-2.680222,0.371760
8,-1.000000,-1.000000,-2.234562,0.371760
9,-1.000000,-1.000000,-2.556551,0.371760
10,-1.000000,-1.000000,-2.927938,0.371760
11,-1.000000,-1.000000,-3.366515,0.371760
12,-1.000000,-1.000000,-3.877748,0.371760
13,-1.000000,-1.000000,-4.489881,0.371760
14,-1.000000,-1.000000,-5.217287,0.371760
15,-1.000000,-1.000000,-6.134588,0.371760
16,-1.000000,-1.000000,-7.347332,0.371760
17,-1.000000,-1.000000,-9.206781,0.371760
18,-1.000000,-1.000000,-12.316429,0.371760
19,-1.000000,-1.000000,-17.343731,0.371760
20,-1.000000,-1.000000,-24.090251,0.371760
21,-1.000000,-1.000000,-31.845587,0.371760
22,-1.000000,-1.000000,-39.966991,0.371760
23,-1.000000,-1.000000,-48.402552,0.371760
24,-1.000000,-1.000000,-57.371458,0.371760
25,-1.000000,-1.000000,-67.205680,0.371760
26,-1.000000,-1.000000,-77.969155,0.371760
27,-1.000000,-1.000000,-90.049506,0.371760
28,-1.000000,-1.000000,-103.802612,0.371760
29,-1.000000,-1.000000,-119.513345,0.371760
30,-1.000000,-1.000000,-137.498718,0.371760
31,-1.000000,-1.000000,-158.112659,0.371760
32,-1.000000,-1.000000,-181.756798,0.371760
33,-1.000000,-1.000000,-208.887081,0.371760
34,-1.000000,-1.000000,-240.032489,0.371760
35,-1.000000,-1.000000,-275.796851,0.371760
36,-1.000000,-1.000000,-316.872136,0.371760
37,-1.000000,-1.000000,-364.051659,0.371760
38,-1.000000,-1.000000,-418.247917,0.371760
39,-1.000000,-1.000000,-480.508332,0.371760
40,-1.000000,-1.000000,-552.036197,0.371760
41,-1.000000,-1.000000,-634.214052,0.371760
42,-1.000000,-1.000000,-728.630541,0.371760
43,-1.000000,-1.000000,-837.111294,0.371760
44,-1.000000,-1.000000,-961.754490,0.371760
45,-1.000000,-1.000000,-1104.971775,0.371760
46,-1.000000,-1.000000,-1269.535325,0.371760
47,-1.000000,-1.000000,-1458.630624,0.371760
48,-1.000000,-1.000000,-1675.920171,0.371760
49,-1.000000,-1.000000,-1925.617497,0.371760
50,-1.000000,-1.000000,-2212.566872,0.371760
51,-1.000000,-1.000000,-2542.338250,0.371760
52,-1.000000,-1.000000,-2921.333706,0.371760
53,-1.000000,-1.000000,-3356.923722,0.371760
54,-1.000000,-1.000000,-3857.586481,0.371760
55,-1.000000,-1.000000,-4433.062270,0.371760
56,-1.000000,-1.000000,-5094.576014,0.371760
57,-1.000000,-1.000000,-5855.042174,0.371760
58,-1.000000,-1.000000,-6729.323843,0.371760
59,-1.000000,-1.000000,-7734.522687,0.371760
60,-1.000000,-1.000000,-8890.277411,0.371760
61,-1.000000,-1.000000,-10218.914651,0.371760
62,-1.000000,-1.000000,-11746.559305,0.371760
63,-1.000000,-1.000000,-13503.192010,0.371760
64,-1.000000,-1.000000,-15523.216988,0.371760
65,-1.000000,-1.000000,-17846.088754,0.371760
66,-1.000000,-1.000000,-20517.372601,0.371760
67,-1.000000,-1.000000,-23589.002239,0.371760
68,-1.000000,-1.000000,-27121.266215,0.371760
69,-1.000000,-1.000000,-31183.299153,0.371760
70,-1.000000,-1.000000,-35852.362876,0.371760
71,-1.000000,-1.000000,-41220.564010,0.371760
72,-1.000000,-1.000000,-47391.888396,0.371760
73,-1.000000,-1.000000,-54485.751118,0.371760
74,-1.000000,-1.000000,-62640.541758,0.371760
75,-1.000000,-1.000000,-72008.316086,0.371760
76,-1.000000,-1.000000,-82771.343897,0.371760
77,-1.000000,-1.000000,-95135.451385,0.371760
78,-1.000000,-1.000000,-109339.058464,0.371760
79,-1.000000,-1.000000,-125659.855362,0.371760
80,-1.000000,-1.000000,-144410.135073,0.371760
81,-1.000000,-1.000000,-165948.948018,0.371760
82,-1.000000,-1.000000,-190691.284140,0.371760
83,-1.000000,-1.000000,-219108.676396,0.371760
84,-1.000000,-1.000000,-251756.695412,0.371760
85,-1.000000,-1.000000,-289264.187651,0.371760
86,-1.000000,-1.000000,-332356.850730,0.371760
87,-1.000000,-1.000000,-381868.490019,0.371760
88,-1.000000,-1.000000,-438755.935905,0.371760
89,-1.000000,-1.000000,-504118.379074,0.371760
