sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
0,True,0.12082542732044496,0.12077546304563612,4.354321830625668,198,True,625.96,0.551130,3.173667,2.114242,0.067211,0.405435,
1,True,0.14077737624846792,0.14077620335597607,4.099593327353234,62,True,199.96,0.630122,2.494332,1.306418,0.193488,0.517298,
2,True,0.11565192516682303,0.11565192516529581,4.28788555566676,100,True,326.47,0.528146,4.584394,1.220684,0.094709,0.265340,
3,True,0.10824544375213459,0.10825125302441618,4.3543288925919725,164,True,519.56,0.473864,3.466725,2.468085,0.078689,0.480210,
4,True,0.15076536561686146,0.1507653656675581,4.169476284133806,43,True,142.23,0.666210,3.898728,1.390879,0.166428,0.509330,
5,True,0.16096237270746946,0.16096237270739763,4.274818820434868,28,True,89.08,0.694027,4.251997,2.288686,0.149383,0.335902,
6,True,0.12678438223740324,0.12676472755355966,4.167407437804771,200,True,650.08,0.571276,2.541949,1.290225,0.128518,0.421183,
7,True,0.13784070798996093,0.13783557750171763,4.180963024474877,200,True,559.79,0.614053,2.412205,2.155729,0.053092,0.467981,
8,True,0.10232410035733269,0.10216936098985259,4.3479653555850195,200,True,642.40,0.512814,3.690039,1.338992,0.172751,0.317006,
9,True,0.10361087016541194,0.10360995393294095,4.295925161555154,39,True,123.66,0.545976,3.776751,1.981350,0.215270,0.507161,
10,True,0.09750564980613866,0.09750763995641208,4.418981353187303,83,True,264.89,0.459000,4.519558,1.366392,0.107341,0.287769,
11,True,0.1270110465359885,0.12699804703305204,4.198278412084388,126,True,402.55,0.596096,3.652465,1.432938,0.229441,0.429313,
12,True,0.13578297520717814,0.13439447652649336,4.292027644637093,200,True,641.81,0.576658,2.031734,1.883043,0.154940,0.366192,
13,True,0.12563406176970093,0.12525912355690014,4.293912439647367,200,True,555.15,0.532232,2.746448,2.370881,0.093877,0.409380,
14,True,0.12538803529370832,0.1256847431674769,4.267693005259006,200,True,634.90,0.503927,2.095488,2.324398,0.057064,0.285650,
15,True,0.11718517482463257,0.11711827829233482,4.315968888018377,128,True,388.59,0.593593,4.742384,1.460143,0.219772,0.431297,
16,True,0.10895681623843893,0.10895681622603091,4.339494885331816,102,True,335.00,0.486678,4.195617,1.695579,0.133332,0.477864,
17,True,0.15640076376138326,0.15640076376055415,4.214204662618076,119,True,385.32,0.699550,4.896658,1.916144,0.125355,0.540994,
18,True,0.12895411222332062,0.12895411641392315,4.290555610639455,60,True,186.35,0.639238,4.778221,2.186615,0.196476,0.416191,
19,True,0.13937017716316602,0.1394184030897215,4.078940417208511,200,True,644.94,0.646849,2.458291,1.117371,0.153528,0.436229,
20,True,0.13378039413496412,0.13450876598945186,4.300215415999343,200,True,640.15,0.560457,2.678018,1.502024,0.230123,0.383327,
21,True,0.1492840134869037,0.14928401348692155,4.150413308013181,38,True,123.21,0.671416,4.853038,1.021833,0.209614,0.484584,
22,True,0.1226560735531048,0.12280052411919504,4.390978949068868,200,True,650.05,0.582721,3.847858,2.220821,0.099683,0.398939,
23,True,0.12329821530300286,0.12329821530418644,4.287456464533342,82,True,264.64,0.605717,4.654489,1.578416,0.248272,0.360236,
24,True,0.12703398718544567,0.126884603244096,4.283237042529547,110,True,353.48,0.542080,3.341009,1.537467,0.144337,0.345750,
25,True,0.14402147467635404,0.14402147467670282,4.1917767250616835,48,True,152.31,0.652530,4.980208,1.775664,0.061586,0.498474,
26,True,0.13730810871026572,0.13732260423420833,4.264242083001358,58,True,179.59,0.629147,3.384493,1.672568,0.072613,0.324455,
27,True,0.1136856557705326,0.11368565607149275,4.27704677830815,51,True,165.39,0.469886,3.082486,2.035531,0.234869,0.465504,
28,True,0.09260775658892295,0.09260780564042126,4.413525333125465,73,True,232.56,0.507567,4.070558,2.081865,0.063713,0.301159,
29,True,0.10829755481141497,0.10818494488887813,4.406752152995075,200,True,638.08,0.498665,4.320106,2.394380,0.116244,0.309870,
30,True,0.11807737712489058,0.11807748242053949,4.251760210572719,60,True,204.97,0.600869,4.526230,1.805793,0.199784,0.525349,
